item_key,id,vega_id,cfru_id,cfru_symbol,classification,display_name,description_key,icon_key,palette_key,pocket,price,importance,role,item_type_key,item_type_id,item_type_explicit,item_type_source,source_mystery,is_evolution_stone,is_evolution_item,hold_effect_key,hold_effect_param,field_effect_key,field_effect_param,field_use_callback_key,battle_usage,battle_effect_key,battle_effect_param,battle_use_callback_key,secondary_id,ball_kind,consume_policy,target_policy,supply_key,runtime_binding,status,notes
ITEM_KEY_NONE,0,0,0,ITEM_NONE,VEGA_CFRU_CANONICAL,？？？？？？？？,VEGA_ITEM_DESC_000,VEGA_ITEM_ICON_000,VEGA_ITEM_PALETTE_000,POCKET_ITEMS,0,0,FIELD_ITEM,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A34F9,0,NONE,NONE,NONE,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_LUXURY_BALL,11,11,11,ITEM_LUXURY_BALL,VEGA_CFRU_CANONICAL,ゴージャスボール,VEGA_ITEM_DESC_011,VEGA_ITEM_ICON_011,VEGA_ITEM_PALETTE_011,POCKET_POKE_BALLS,1000,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,10,BALL_KIND_LUXURY,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_PREMIER_BALL,12,12,12,ITEM_PREMIER_BALL,VEGA_CFRU_CANONICAL,プレミアボール,VEGA_ITEM_DESC_012,VEGA_ITEM_ICON_012,VEGA_ITEM_PALETTE_012,POCKET_POKE_BALLS,200,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,11,BALL_KIND_PREMIER,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_POTION,13,13,13,ITEM_POTION,VEGA_CFRU_CANONICAL,キズぐすり,VEGA_ITEM_DESC_013,VEGA_ITEM_ICON_013,VEGA_ITEM_PALETTE_013,POCKET_ITEMS,300,0,BATTLE_ITEM,ITEM_TYPE_POTION,8,1,src/Tables/item_tables.c:594:ITEM_POTION,0,0,0,NONE,20,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_ANTIDOTE,14,14,14,ITEM_ANTIDOTE,VEGA_CFRU_CANONICAL,どくけし,VEGA_ITEM_DESC_014,VEGA_ITEM_ICON_014,VEGA_ITEM_PALETTE_014,POCKET_ITEMS,100,0,BATTLE_ITEM,ITEM_TYPE_STATUS_RECOVERY,17,1,src/Tables/item_tables.c:606:ITEM_ANTIDOTE,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_BURN_HEAL,15,15,15,ITEM_BURN_HEAL,VEGA_CFRU_CANONICAL,やけどなおし,VEGA_ITEM_DESC_015,VEGA_ITEM_ICON_015,VEGA_ITEM_PALETTE_015,POCKET_ITEMS,250,0,BATTLE_ITEM,ITEM_TYPE_STATUS_RECOVERY,17,1,src/Tables/item_tables.c:607:ITEM_BURN_HEAL,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_ICE_HEAL,16,16,16,ITEM_ICE_HEAL,VEGA_CFRU_CANONICAL,こおりなおし,VEGA_ITEM_DESC_016,VEGA_ITEM_ICON_016,VEGA_ITEM_PALETTE_016,POCKET_ITEMS,250,0,BATTLE_ITEM,ITEM_TYPE_STATUS_RECOVERY,17,1,src/Tables/item_tables.c:608:ITEM_ICE_HEAL,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_AWAKENING,17,17,17,ITEM_AWAKENING,VEGA_CFRU_CANONICAL,ねむけざまし,VEGA_ITEM_DESC_017,VEGA_ITEM_ICON_017,VEGA_ITEM_PALETTE_017,POCKET_ITEMS,250,0,BATTLE_ITEM,ITEM_TYPE_STATUS_RECOVERY,17,1,src/Tables/item_tables.c:609:ITEM_AWAKENING,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_PARALYZE_HEAL,18,18,18,ITEM_PARALYZE_HEAL,VEGA_CFRU_CANONICAL,まひなおし,VEGA_ITEM_DESC_018,VEGA_ITEM_ICON_018,VEGA_ITEM_PALETTE_018,POCKET_ITEMS,200,0,BATTLE_ITEM,ITEM_TYPE_STATUS_RECOVERY,17,1,src/Tables/item_tables.c:610:ITEM_PARALYZE_HEAL,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_FULL_RESTORE,19,19,19,ITEM_FULL_RESTORE,VEGA_CFRU_CANONICAL,かいふくのくすり,VEGA_ITEM_DESC_019,VEGA_ITEM_ICON_019,VEGA_ITEM_PALETTE_019,POCKET_ITEMS,3000,0,BATTLE_ITEM,ITEM_TYPE_FULL_RESTORE,4,1,src/Tables/item_tables.c:590:ITEM_FULL_RESTORE,0,0,0,NONE,255,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_MAX_POTION,20,20,20,ITEM_MAX_POTION,VEGA_CFRU_CANONICAL,まんたんのくすり,VEGA_ITEM_DESC_020,VEGA_ITEM_ICON_020,VEGA_ITEM_PALETTE_020,POCKET_ITEMS,2500,0,BATTLE_ITEM,ITEM_TYPE_MAX_POTION,5,1,src/Tables/item_tables.c:591:ITEM_MAX_POTION,0,0,0,NONE,255,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_HYPER_POTION,21,21,21,ITEM_HYPER_POTION,VEGA_CFRU_CANONICAL,すごいキズぐすり,VEGA_ITEM_DESC_021,VEGA_ITEM_ICON_021,VEGA_ITEM_PALETTE_021,POCKET_ITEMS,1200,0,BATTLE_ITEM,ITEM_TYPE_HYPER_POTION,6,1,src/Tables/item_tables.c:592:ITEM_HYPER_POTION,0,0,0,NONE,200,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_SUPER_POTION,22,22,22,ITEM_SUPER_POTION,VEGA_CFRU_CANONICAL,いいキズぐすり,VEGA_ITEM_DESC_022,VEGA_ITEM_ICON_022,VEGA_ITEM_PALETTE_022,POCKET_ITEMS,700,0,BATTLE_ITEM,ITEM_TYPE_SUPER_POTION,7,1,src/Tables/item_tables.c:593:ITEM_SUPER_POTION,0,0,0,NONE,50,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_FULL_HEAL,23,23,23,ITEM_FULL_HEAL,VEGA_CFRU_CANONICAL,なんでもなおし,VEGA_ITEM_DESC_023,VEGA_ITEM_ICON_023,VEGA_ITEM_PALETTE_023,POCKET_ITEMS,600,0,BATTLE_ITEM,ITEM_TYPE_FULL_HEAL,15,1,src/Tables/item_tables.c:611:ITEM_FULL_HEAL,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_REVIVE,24,24,24,ITEM_REVIVE,VEGA_CFRU_CANONICAL,げんきのかけら,VEGA_ITEM_DESC_024,VEGA_ITEM_ICON_024,VEGA_ITEM_PALETTE_024,POCKET_ITEMS,1500,0,BATTLE_ITEM,ITEM_TYPE_REVIVE,9,1,src/Tables/item_tables.c:595:ITEM_REVIVE,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_MAX_REVIVE,25,25,25,ITEM_MAX_REVIVE,VEGA_CFRU_CANONICAL,げんきのかたまり,VEGA_ITEM_DESC_025,VEGA_ITEM_ICON_025,VEGA_ITEM_PALETTE_025,POCKET_ITEMS,4000,0,BATTLE_ITEM,ITEM_TYPE_REVIVE,9,1,src/Tables/item_tables.c:596:ITEM_MAX_REVIVE,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_FRESH_WATER,26,26,26,ITEM_FRESH_WATER,VEGA_CFRU_CANONICAL,おいしいみず,VEGA_ITEM_DESC_026,VEGA_ITEM_ICON_026,VEGA_ITEM_PALETTE_026,POCKET_ITEMS,200,0,BATTLE_ITEM,ITEM_TYPE_FRESH_WATER,13,1,src/Tables/item_tables.c:598:ITEM_FRESH_WATER,0,0,0,NONE,50,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_SODA_POP,27,27,27,ITEM_SODA_POP,VEGA_CFRU_CANONICAL,サイコソーダ,VEGA_ITEM_DESC_027,VEGA_ITEM_ICON_027,VEGA_ITEM_PALETTE_027,POCKET_ITEMS,300,0,BATTLE_ITEM,ITEM_TYPE_SODA_POP,12,1,src/Tables/item_tables.c:599:ITEM_SODA_POP,0,0,0,NONE,60,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_LEMONADE,28,28,28,ITEM_LEMONADE,VEGA_CFRU_CANONICAL,ミックスオレ,VEGA_ITEM_DESC_028,VEGA_ITEM_ICON_028,VEGA_ITEM_PALETTE_028,POCKET_ITEMS,350,0,BATTLE_ITEM,ITEM_TYPE_LEMONADE,11,1,src/Tables/item_tables.c:600:ITEM_LEMONADE,0,0,0,NONE,80,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_MOOMOO_MILK,29,29,29,ITEM_MOOMOO_MILK,VEGA_CFRU_CANONICAL,モーモーミルク,VEGA_ITEM_DESC_029,VEGA_ITEM_ICON_029,VEGA_ITEM_PALETTE_029,POCKET_ITEMS,500,0,BATTLE_ITEM,ITEM_TYPE_MOOMOO_MILK,10,1,src/Tables/item_tables.c:601:ITEM_MOOMOO_MILK,0,0,0,NONE,100,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_ENERGY_POWDER,30,30,30,ITEM_ENERGY_POWDER,VEGA_CFRU_CANONICAL,ちからのこな,VEGA_ITEM_DESC_030,VEGA_ITEM_ICON_030,VEGA_ITEM_PALETTE_030,POCKET_ITEMS,500,0,BATTLE_ITEM,ITEM_TYPE_HERB_HEAL,14,1,src/Tables/item_tables.c:602:ITEM_ENERGY_POWDER,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_ENERGY_ROOT,31,31,31,ITEM_ENERGY_ROOT,VEGA_CFRU_CANONICAL,ちからのねっこ,VEGA_ITEM_DESC_031,VEGA_ITEM_ICON_031,VEGA_ITEM_PALETTE_031,POCKET_ITEMS,800,0,BATTLE_ITEM,ITEM_TYPE_HERB_HEAL,14,1,src/Tables/item_tables.c:603:ITEM_ENERGY_ROOT,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_HEAL_POWDER,32,32,32,ITEM_HEAL_POWDER,VEGA_CFRU_CANONICAL,ばんのうごな,VEGA_ITEM_DESC_032,VEGA_ITEM_ICON_032,VEGA_ITEM_PALETTE_032,POCKET_ITEMS,450,0,BATTLE_ITEM,ITEM_TYPE_FOOD_STATUS_RECOVERY,16,1,src/Tables/item_tables.c:619:ITEM_HEAL_POWDER,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_REVIVAL_HERB,33,33,33,ITEM_REVIVAL_HERB,VEGA_CFRU_CANONICAL,ふっかつそう,VEGA_ITEM_DESC_033,VEGA_ITEM_ICON_033,VEGA_ITEM_PALETTE_033,POCKET_ITEMS,2800,0,BATTLE_ITEM,ITEM_TYPE_HERB_HEAL,14,1,src/Tables/item_tables.c:604:ITEM_REVIVAL_HERB,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A29B5,1,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A327D,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
