reward_encounter_key,npc_key,pool_key,tier,credit_key,cost,species_key,level_min,level_max,iv_floor,hidden_ability_rate,max_uncaught_rerolls,capture_policy,exp_ev_money_policy,item_theft_policy,drop_policy,chain_policy,unlock_key,presentation_profile,dedicated_map,full_screen_ui,status,notes
REWARD_ENCOUNTER_KEY_TYPE_05,NPC_KEY_RESEARCH_TYPE,ENCOUNTER_POOL_KEY_TYPE,TYPE,CREDIT_KEY_TYPE,25,SPECIES_KEY_NIDORAN_F,76,88,3,10,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_TYPE_06,NPC_KEY_RESEARCH_TYPE,ENCOUNTER_POOL_KEY_TYPE,TYPE,CREDIT_KEY_TYPE,25,SPECIES_KEY_NIDORAN_M,76,88,3,10,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RARE_01,NPC_KEY_RESEARCH_RARE,ENCOUNTER_POOL_KEY_RARE,RARE,CREDIT_KEY_RARE,50,SPECIES_KEY_VULPIX,88,100,4,20,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,RAID_HIGH_UNLOCKED,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RARE_02,NPC_KEY_RESEARCH_RARE,ENCOUNTER_POOL_KEY_RARE,RARE,CREDIT_KEY_RARE,50,SPECIES_KEY_ZUBAT,88,100,4,20,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,RAID_HIGH_UNLOCKED,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RARE_03,NPC_KEY_RESEARCH_RARE,ENCOUNTER_POOL_KEY_RARE,RARE,CREDIT_KEY_RARE,50,SPECIES_KEY_ODDISH,88,100,4,20,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,RAID_HIGH_UNLOCKED,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RARE_04,NPC_KEY_RESEARCH_RARE,ENCOUNTER_POOL_KEY_RARE,RARE,CREDIT_KEY_RARE,50,SPECIES_KEY_PARAS,88,100,4,20,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,RAID_HIGH_UNLOCKED,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RARE_05,NPC_KEY_RESEARCH_RARE,ENCOUNTER_POOL_KEY_RARE,RARE,CREDIT_KEY_RARE,50,SPECIES_KEY_VENONAT,88,100,4,20,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,RAID_HIGH_UNLOCKED,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RARE_06,NPC_KEY_RESEARCH_RARE,ENCOUNTER_POOL_KEY_RARE,RARE,CREDIT_KEY_RARE,50,SPECIES_KEY_DIGLETT,88,100,4,20,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,RAID_HIGH_UNLOCKED,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RANDOM_01,NPC_KEY_RESEARCH_RANDOM,ENCOUNTER_POOL_KEY_RANDOM,RANDOM,CREDIT_KEY_RANDOM,8,SPECIES_KEY_MEOWTH,68,100,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RANDOM_02,NPC_KEY_RESEARCH_RANDOM,ENCOUNTER_POOL_KEY_RANDOM,RANDOM,CREDIT_KEY_RANDOM,8,SPECIES_KEY_PSYDUCK,68,100,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RANDOM_03,NPC_KEY_RESEARCH_RANDOM,ENCOUNTER_POOL_KEY_RANDOM,RANDOM,CREDIT_KEY_RANDOM,8,SPECIES_KEY_MANKEY,68,100,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RANDOM_04,NPC_KEY_RESEARCH_RANDOM,ENCOUNTER_POOL_KEY_RANDOM,RANDOM,CREDIT_KEY_RANDOM,8,SPECIES_KEY_GROWLITHE,68,100,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RANDOM_05,NPC_KEY_RESEARCH_RANDOM,ENCOUNTER_POOL_KEY_RANDOM,RANDOM,CREDIT_KEY_RANDOM,8,SPECIES_KEY_POLIWAG,68,100,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_RANDOM_06,NPC_KEY_RESEARCH_RANDOM,ENCOUNTER_POOL_KEY_RANDOM,RANDOM,CREDIT_KEY_RANDOM,8,SPECIES_KEY_ABRA,68,100,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
