rematch_key,trainer_key,tier,league_stage,unlock_key,level_min,level_max,ai_profile_key,iv_floor,ev_policy,item_policy,mechanic_policy,registered_only,status,notes
REMATCH_KEY_TOHOKU_REMATCH_05_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_05,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_05_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_05,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_05_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_05,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_06_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_06,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_06_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_06,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_06_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_06,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_07_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_07,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_07_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_07,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_07_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_07,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_08_REMATCH_I,TRAINER_KEY_TOHOKU_REMATCH_08,REMATCH_I,NONE,VEGA_HALL_OF_FAME,58,84,AI_SEMI_SMART,31,ROLE_510,LEGAL_COMPETITIVE,NONE,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_08_REMATCH_II,TRAINER_KEY_TOHOKU_REMATCH_08,REMATCH_II,NONE,KANTO_CERT_4,72,94,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_TOHOKU_REMATCH_08_REMATCH_III,TRAINER_KEY_TOHOKU_REMATCH_08,REMATCH_III,NONE,KANTO_LEAGUE_CLEAR,88,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,ONE_OF_MEGA_Z_TERA,true,ACTIVE,登録済み地方強豪のみ
REMATCH_KEY_KANTO_LEAGUE_01_FINAL,TRAINER_KEY_KANTO_LEAGUE_01,FINAL,FINAL_LEAGUE,FINAL_LEAGUE_AVAILABLE,100,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,最終league再戦
REMATCH_KEY_KANTO_LEAGUE_02_FINAL,TRAINER_KEY_KANTO_LEAGUE_02,FINAL,FINAL_LEAGUE,FINAL_LEAGUE_AVAILABLE,100,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,最終league再戦
REMATCH_KEY_KANTO_LEAGUE_03_FINAL,TRAINER_KEY_KANTO_LEAGUE_03,FINAL,FINAL_LEAGUE,FINAL_LEAGUE_AVAILABLE,100,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,最終league再戦
REMATCH_KEY_KANTO_LEAGUE_04_FINAL,TRAINER_KEY_KANTO_LEAGUE_04,FINAL,FINAL_LEAGUE,FINAL_LEAGUE_AVAILABLE,100,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,最終league再戦
REMATCH_KEY_KANTO_LEAGUE_05_FINAL,TRAINER_KEY_KANTO_LEAGUE_05,FINAL,FINAL_LEAGUE,FINAL_LEAGUE_AVAILABLE,100,100,AI_FULL_SMART,31,ROLE_510,LEGAL_COMPETITIVE,MEGA,true,ACTIVE,最終league再戦
