species_key,id,vega_id,dpe_id,dpe_symbol,classification,display_name,form_key,is_official,canonical_national_dex,review_state,status,notes
SPECIES_KEY_HOUNDOOM,15,15,229,SPECIES_HOUNDOOM,VEGA_DPE_CANONICAL,ヘルガー,,true,229,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_DIGLETT,16,16,50,SPECIES_DIGLETT,VEGA_DPE_CANONICAL,ディグダ,,true,50,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_DUGTRIO,17,17,51,SPECIES_DUGTRIO,VEGA_DPE_CANONICAL,ダグトリオ,,true,51,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_TOGEPI,18,18,175,SPECIES_TOGEPI,VEGA_DPE_CANONICAL,トゲピー,,true,175,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_TOGETIC,19,19,176,SPECIES_TOGETIC,VEGA_DPE_CANONICAL,トゲチック,,true,176,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_TOGEKISS,20,20,521,SPECIES_TOGEKISS,VEGA_DPE_CANONICAL,トゲキッス,,true,468,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_021,21,21,,,VEGA_ORIGINAL,フロン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_022,22,22,,,VEGA_ORIGINAL,フロルル,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_023,23,23,,,VEGA_ORIGINAL,フローリア,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_PICHU,24,24,172,SPECIES_PICHU,VEGA_DPE_CANONICAL,ピチュー,,true,172,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_PIKACHU,25,25,25,SPECIES_PIKACHU,VEGA_DPE_CANONICAL,ピカチュウ,,true,25,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_RAICHU,26,26,26,SPECIES_RAICHU,VEGA_DPE_CANONICAL,ライチュウ,,true,26,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_027,27,27,,,VEGA_ORIGINAL,ゴリチュウ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_SKARMORY,28,28,227,SPECIES_SKARMORY,VEGA_DPE_CANONICAL,エアームド,,true,227,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_NIDORAN_F,29,29,29,SPECIES_NIDORAN_F,VEGA_DPE_CANONICAL,ニドラン♀,,true,29,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_NIDORINA,30,30,30,SPECIES_NIDORINA,VEGA_DPE_CANONICAL,ニドリーナ,,true,30,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_NIDOQUEEN,31,31,31,SPECIES_NIDOQUEEN,VEGA_DPE_CANONICAL,ニドクイン,,true,31,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_NIDORAN_M,32,32,32,SPECIES_NIDORAN_M,VEGA_DPE_CANONICAL,ニドラン♂,,true,32,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_NIDORINO,33,33,33,SPECIES_NIDORINO,VEGA_DPE_CANONICAL,ニドリーノ,,true,33,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_NIDOKING,34,34,34,SPECIES_NIDOKING,VEGA_DPE_CANONICAL,ニドキング,,true,34,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_BUIZEL,35,35,471,SPECIES_BUIZEL,VEGA_DPE_CANONICAL,ブイゼル,,true,418,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_FLOATZEL,36,36,472,SPECIES_FLOATZEL,VEGA_DPE_CANONICAL,フローゼル,,true,419,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_037,37,37,,,VEGA_ORIGINAL,ララベリー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_038,38,38,,,VEGA_ORIGINAL,セラーナ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_PINECO,39,39,204,SPECIES_PINECO,VEGA_DPE_CANONICAL,クヌギダマ,,true,204,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_FORRETRESS,40,40,205,SPECIES_FORRETRESS,VEGA_DPE_CANONICAL,フォレトス,,true,205,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_SHELLDER,41,41,90,SPECIES_SHELLDER,VEGA_DPE_CANONICAL,シェルダー,,true,90,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_CLOYSTER,42,42,91,SPECIES_CLOYSTER,VEGA_DPE_CANONICAL,パルシェン,,true,91,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_043,43,43,,,VEGA_ORIGINAL,マホース,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_044,44,44,,,VEGA_ORIGINAL,ペガーン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_045,45,45,,,VEGA_ORIGINAL,ユニサス,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_TYROGUE,46,46,236,SPECIES_TYROGUE,VEGA_DPE_CANONICAL,バルキー,,true,236,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_HITMONLEE,47,47,106,SPECIES_HITMONLEE,VEGA_DPE_CANONICAL,サワムラー,,true,106,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_HITMONCHAN,48,48,107,SPECIES_HITMONCHAN,VEGA_DPE_CANONICAL,エビワラー,,true,107,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_HITMONTOP,49,49,237,SPECIES_HITMONTOP,VEGA_DPE_CANONICAL,カポエラー,,true,237,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_050,50,50,,,VEGA_ORIGINAL,ライノス,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_051,51,51,,,VEGA_ORIGINAL,メタゲラス,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_ABSOL,52,52,376,SPECIES_ABSOL,VEGA_DPE_CANONICAL,アブソル,,true,359,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_053,53,53,,,VEGA_ORIGINAL,ディザソル,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_GIRAFARIG,54,54,203,SPECIES_GIRAFARIG,VEGA_DPE_CANONICAL,キリンリキ,,true,203,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_055,55,55,,,VEGA_ORIGINAL,フォリキー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_056,56,56,,,VEGA_ORIGINAL,バーニン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_057,57,57,,,VEGA_ORIGINAL,ファントマ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_MAGNEMITE,58,58,81,SPECIES_MAGNEMITE,VEGA_DPE_CANONICAL,コイル,,true,81,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MAGNETON,59,59,82,SPECIES_MAGNETON,VEGA_DPE_CANONICAL,レアコイル,,true,82,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MAGNEZONE,60,60,515,SPECIES_MAGNEZONE,VEGA_DPE_CANONICAL,ジバコイル,,true,462,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_STARYU,61,61,120,SPECIES_STARYU,VEGA_DPE_CANONICAL,ヒトデマン,,true,120,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_STARMIE,62,62,121,SPECIES_STARMIE,VEGA_DPE_CANONICAL,スターミー,,true,121,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_GASTLY,63,63,92,SPECIES_GASTLY,VEGA_DPE_CANONICAL,ゴース,,true,92,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_HAUNTER,64,64,93,SPECIES_HAUNTER,VEGA_DPE_CANONICAL,ゴースト,,true,93,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_GENGAR,65,65,94,SPECIES_GENGAR,VEGA_DPE_CANONICAL,ゲンガー,,true,94,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_EXEGGCUTE,66,66,102,SPECIES_EXEGGCUTE,VEGA_DPE_CANONICAL,タマタマ,,true,102,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_EXEGGUTOR,67,67,103,SPECIES_EXEGGUTOR,VEGA_DPE_CANONICAL,ナッシー,,true,103,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_068,68,68,,,VEGA_ORIGINAL,テディ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_069,69,69,,,VEGA_ORIGINAL,ググズリー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_070,70,70,,,VEGA_ORIGINAL,ハンタマ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_RHYHORN,71,71,111,SPECIES_RHYHORN,VEGA_DPE_CANONICAL,サイホーン,,true,111,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_RHYDON,72,72,112,SPECIES_RHYDON,VEGA_DPE_CANONICAL,サイドン,,true,112,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_RHYPERIOR,73,73,517,SPECIES_RHYPERIOR,VEGA_DPE_CANONICAL,ドサイドン,,true,464,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_TROPIUS,74,74,369,SPECIES_TROPIUS,VEGA_DPE_CANONICAL,トロピウス,,true,357,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_PORYGON,75,75,137,SPECIES_PORYGON,VEGA_DPE_CANONICAL,ポリゴン,,true,137,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_PORYGON2,76,76,233,SPECIES_PORYGON2,VEGA_DPE_CANONICAL,ポリゴン2,,true,233,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_PORYGON_Z,77,77,527,SPECIES_PORYGON_Z,VEGA_DPE_CANONICAL,ポリゴンZ,,true,474,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_SPHEAL,78,78,341,SPECIES_SPHEAL,VEGA_DPE_CANONICAL,タマザラシ,,true,363,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_SEALEO,79,79,342,SPECIES_SEALEO,VEGA_DPE_CANONICAL,トドグラー,,true,364,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_WALREIN,80,80,343,SPECIES_WALREIN,VEGA_DPE_CANONICAL,トドゼルガ,,true,365,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_081,81,81,,,VEGA_ORIGINAL,ダンゴロウ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_082,82,82,,,VEGA_ORIGINAL,マルマジロ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_083,83,83,,,VEGA_ORIGINAL,アロフィー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_084,84,84,,,VEGA_ORIGINAL,リーフィス,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_SNOVER,85,85,512,SPECIES_SNOVER,VEGA_DPE_CANONICAL,ユキカブリ,,true,459,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_ABOMASNOW,86,86,513,SPECIES_ABOMASNOW,VEGA_DPE_CANONICAL,ユキノオー,,true,460,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_087,87,87,,,VEGA_ORIGINAL,ユカリア,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_088,88,88,,,VEGA_ORIGINAL,ネクロシア,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_089,89,89,,,VEGA_ORIGINAL,カプリン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_090,90,90,,,VEGA_ORIGINAL,ゴートン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_091,91,91,,,VEGA_ORIGINAL,バフォット,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_MILTANK,92,92,241,SPECIES_MILTANK,VEGA_DPE_CANONICAL,ミルタンク,,true,241,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_SHUCKLE,93,93,213,SPECIES_SHUCKLE,VEGA_DPE_CANONICAL,ツボツボ,,true,213,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_094,94,94,,,VEGA_ORIGINAL,バードン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_095,95,95,,,VEGA_ORIGINAL,ゴルドー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_096,96,96,,,VEGA_ORIGINAL,フィニクス,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_097,97,97,,,VEGA_ORIGINAL,クロッチ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_098,98,98,,,VEGA_ORIGINAL,コクジャク,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_099,99,99,,,VEGA_ORIGINAL,シャミネ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_100,100,100,,,VEGA_ORIGINAL,コーシャン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_101,101,101,,,VEGA_ORIGINAL,プラズン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_102,102,102,,,VEGA_ORIGINAL,ボルトック,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_103,103,103,,,VEGA_ORIGINAL,カワラベ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_104,104,104,,,VEGA_ORIGINAL,テペトラー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_105,105,105,,,VEGA_ORIGINAL,ロップル,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_106,106,106,,,VEGA_ORIGINAL,オタクン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_107,107,107,,,VEGA_ORIGINAL,ネラー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_108,108,108,,,VEGA_ORIGINAL,ニートン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_HOOTHOOT,109,109,163,SPECIES_HOOTHOOT,VEGA_DPE_CANONICAL,ホーホー,,true,163,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_NOCTOWL,110,110,164,SPECIES_NOCTOWL,VEGA_DPE_CANONICAL,ヨルノズク,,true,164,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_111,111,111,,,VEGA_ORIGINAL,ハクタクン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_ELEKID,112,112,239,SPECIES_ELEKID,VEGA_DPE_CANONICAL,エレキッド,,true,239,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_ELECTABUZZ,113,113,125,SPECIES_ELECTABUZZ,VEGA_DPE_CANONICAL,エレブー,,true,125,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_ELECTIVIRE,114,114,519,SPECIES_ELECTIVIRE,VEGA_DPE_CANONICAL,エレキブル,,true,466,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MAGBY,115,115,240,SPECIES_MAGBY,VEGA_DPE_CANONICAL,ブビィ,,true,240,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MAGMAR,116,116,126,SPECIES_MAGMAR,VEGA_DPE_CANONICAL,ブーバー,,true,126,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MAGMORTAR,117,117,520,SPECIES_MAGMORTAR,VEGA_DPE_CANONICAL,ブーバーン,,true,467,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_KANGASKHAN,118,118,115,SPECIES_KANGASKHAN,VEGA_DPE_CANONICAL,ガルーラ,,true,115,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_LILEEP,119,119,388,SPECIES_LILEEP,VEGA_DPE_CANONICAL,リリーラ,,true,345,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_CRADILY,120,120,389,SPECIES_CRADILY,VEGA_DPE_CANONICAL,ユレイドル,,true,346,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_121,121,121,,,VEGA_ORIGINAL,スミロドン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_122,122,122,,,VEGA_ORIGINAL,マカドゥス,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_AERODACTYL,123,123,142,SPECIES_AERODACTYL,VEGA_DPE_CANONICAL,プテラ,,true,142,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_LARVITAR,124,124,246,SPECIES_LARVITAR,VEGA_DPE_CANONICAL,ヨーギラス,,true,246,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_PUPITAR,125,125,247,SPECIES_PUPITAR,VEGA_DPE_CANONICAL,サナギラス,,true,247,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_TYRANITAR,126,126,248,SPECIES_TYRANITAR,VEGA_DPE_CANONICAL,バンギラス,,true,248,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_BELDUM,127,127,398,SPECIES_BELDUM,VEGA_DPE_CANONICAL,ダンバル,,true,374,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_METANG,128,128,399,SPECIES_METANG,VEGA_DPE_CANONICAL,メタング,,true,375,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_METAGROSS,129,129,400,SPECIES_METAGROSS,VEGA_DPE_CANONICAL,メタグロス,,true,376,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_GIBLE,130,130,496,SPECIES_GIBLE,VEGA_DPE_CANONICAL,フカマル,,true,443,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_GABITE,131,131,497,SPECIES_GABITE,VEGA_DPE_CANONICAL,ガバイト,,true,444,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_GARCHOMP,132,132,498,SPECIES_GARCHOMP,VEGA_DPE_CANONICAL,ガブリアス,,true,445,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_133,133,133,,,VEGA_ORIGINAL,タツゴン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_134,134,134,,,VEGA_ORIGINAL,ラグーン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_135,135,135,,,VEGA_ORIGINAL,ドラドーン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_ARTICUNO,136,136,144,SPECIES_ARTICUNO,VEGA_DPE_CANONICAL,フリーザー,,true,144,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_ZAPDOS,137,137,145,SPECIES_ZAPDOS,VEGA_DPE_CANONICAL,サンダー,,true,145,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MOLTRES,138,138,146,SPECIES_MOLTRES,VEGA_DPE_CANONICAL,ファイヤー,,true,146,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_RAIKOU,139,139,243,SPECIES_RAIKOU,VEGA_DPE_CANONICAL,ライコウ,,true,243,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_ENTEI,140,140,244,SPECIES_ENTEI,VEGA_DPE_CANONICAL,エンテイ,,true,244,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_SUICUNE,141,141,245,SPECIES_SUICUNE,VEGA_DPE_CANONICAL,スイクン,,true,245,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VEGA_142,142,142,,,VEGA_ORIGINAL,ライラプス,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_143,143,143,,,VEGA_ORIGINAL,ガニメデ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_144,144,144,,,VEGA_ORIGINAL,ネメア,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_DIALGA,145,145,536,SPECIES_DIALGA,VEGA_DPE_CANONICAL,ディアルガ,,true,483,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_PALKIA,146,146,537,SPECIES_PALKIA,VEGA_DPE_CANONICAL,パルキア,,true,484,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_DARKRAI,147,147,544,SPECIES_DARKRAI,VEGA_DPE_CANONICAL,ダークライ,,true,491,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_LUGIA,148,148,249,SPECIES_LUGIA,VEGA_DPE_CANONICAL,ルギア,,true,249,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_HO_OH,149,149,250,SPECIES_HO_OH,VEGA_DPE_CANONICAL,ホウオウ,,true,250,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MEWTWO,150,150,150,SPECIES_MEWTWO,VEGA_DPE_CANONICAL,ミュウツー,,true,150,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_MEW,151,151,151,SPECIES_MEW,VEGA_DPE_CANONICAL,ミュウ,,true,151,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_BULBASAUR,152,152,1,SPECIES_BULBASAUR,VEGA_DPE_CANONICAL,フシギダネ,,true,1,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_IVYSAUR,153,153,2,SPECIES_IVYSAUR,VEGA_DPE_CANONICAL,フシギソウ,,true,2,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_VENUSAUR,154,154,3,SPECIES_VENUSAUR,VEGA_DPE_CANONICAL,フシギバナ,,true,3,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_CHARMANDER,155,155,4,SPECIES_CHARMANDER,VEGA_DPE_CANONICAL,ヒトカゲ,,true,4,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_CHARMELEON,156,156,5,SPECIES_CHARMELEON,VEGA_DPE_CANONICAL,リザード,,true,5,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_CHARIZARD,157,157,6,SPECIES_CHARIZARD,VEGA_DPE_CANONICAL,リザードン,,true,6,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_SQUIRTLE,158,158,7,SPECIES_SQUIRTLE,VEGA_DPE_CANONICAL,ゼニガメ,,true,7,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_WARTORTLE,159,159,8,SPECIES_WARTORTLE,VEGA_DPE_CANONICAL,カメール,,true,8,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
