research_key,region,map_key,logical_location_key,base_table_key,species_key,evolution_chain_id,level_min,level_max,iv_floor,hidden_ability_rate,egg_move_policy,held_item_policy,shiny_policy,unlock_key,normal_preserved,shared_capture_key,status,notes
RESEARCH_KEY_KANTO_0013,KANTO,MAP_KEY_KANTO_ROUTE1,K01,TABLE_KEY_KANTO_K01,SPECIES_KEY_RATTATA,7,68,72,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0014,TOHOKU,MAP_KEY_TOHOKU_T506,T506,TABLE_KEY_TOHOKU_T506,SPECIES_KEY_RATTATA,7,12,17,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_1,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0015,KANTO,MAP_KEY_KANTO_K03,K03,TABLE_KEY_KANTO_K03,SPECIES_KEY_SPEAROW,8,71,75,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0016,TOHOKU,MAP_KEY_TOHOKU_T502,T502,TABLE_KEY_TOHOKU_T502,SPECIES_KEY_SPEAROW,8,3,6,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0017,KANTO,MAP_KEY_KANTO_K11,K11,TABLE_KEY_KANTO_K11,SPECIES_KEY_EKANS,9,76,82,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0018,TOHOKU,MAP_KEY_TOHOKU_T501,T501,TABLE_KEY_TOHOKU_T501,SPECIES_KEY_EKANS,9,45,68,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
RESEARCH_KEY_KANTO_0019,KANTO,MAP_KEY_KANTO_K04,K04,TABLE_KEY_KANTO_K04,SPECIES_KEY_SANDSHREW,11,72,77,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0020,TOHOKU,MAP_KEY_TOHOKU_T501,T501,TABLE_KEY_TOHOKU_T501,SPECIES_KEY_SANDSHREW,11,45,68,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
RESEARCH_KEY_KANTO_0021,KANTO,MAP_KEY_KANTO_K03,K03,TABLE_KEY_KANTO_K03,SPECIES_KEY_NIDORAN_F,12,71,75,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0022,TOHOKU,MAP_KEY_TOHOKU_T501,T501,TABLE_KEY_TOHOKU_T501,SPECIES_KEY_NIDORAN_F,12,45,68,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
RESEARCH_KEY_KANTO_0023,KANTO,MAP_KEY_KANTO_K03,K03,TABLE_KEY_KANTO_K03,SPECIES_KEY_NIDORAN_M,13,71,75,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0024,TOHOKU,MAP_KEY_TOHOKU_T501,T501,TABLE_KEY_TOHOKU_T501,SPECIES_KEY_NIDORAN_M,13,45,68,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
RESEARCH_KEY_KANTO_0025,KANTO,MAP_KEY_KANTO_K07,K07,TABLE_KEY_KANTO_K07,SPECIES_KEY_VULPIX,15,78,83,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_1,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0026,TOHOKU,MAP_KEY_TOHOKU_T521,T521,TABLE_KEY_TOHOKU_T521,SPECIES_KEY_VULPIX,15,45,52,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_6,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0027,KANTO,MAP_KEY_KANTO_K27,K27,TABLE_KEY_KANTO_K27,SPECIES_KEY_ZUBAT,17,73,80,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0028,TOHOKU,MAP_KEY_TOHOKU_T505,T505,TABLE_KEY_TOHOKU_T505,SPECIES_KEY_ZUBAT,17,10,14,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_1,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0029,KANTO,MAP_KEY_KANTO_K05,K05,TABLE_KEY_KANTO_K05,SPECIES_KEY_ODDISH,18,74,79,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0030,TOHOKU,MAP_KEY_TOHOKU_T504,T504,TABLE_KEY_TOHOKU_T504,SPECIES_KEY_ODDISH,18,9,13,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0031,KANTO,MAP_KEY_KANTO_K27,K27,TABLE_KEY_KANTO_K27,SPECIES_KEY_PARAS,19,73,80,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0032,TOHOKU,MAP_KEY_TOHOKU_T036,T036,TABLE_KEY_TOHOKU_T036,SPECIES_KEY_PARAS,19,38,48,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_6,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0033,KANTO,MAP_KEY_KANTO_K14,K14,TABLE_KEY_KANTO_K14,SPECIES_KEY_VENONAT,20,84,89,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_3,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0034,TOHOKU,MAP_KEY_TOHOKU_T504,T504,TABLE_KEY_TOHOKU_T504,SPECIES_KEY_VENONAT,20,9,13,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0035,KANTO,MAP_KEY_KANTO_K28,K28,TABLE_KEY_KANTO_K28,SPECIES_KEY_DIGLETT,21,76,83,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0036,TOHOKU,MAP_KEY_TOHOKU_T501,T501,TABLE_KEY_TOHOKU_T501,SPECIES_KEY_DIGLETT,21,45,68,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
RESEARCH_KEY_KANTO_0037,KANTO,MAP_KEY_KANTO_K05,K05,TABLE_KEY_KANTO_K05,SPECIES_KEY_MEOWTH,22,74,79,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0038,TOHOKU,MAP_KEY_TOHOKU_T506,T506,TABLE_KEY_TOHOKU_T506,SPECIES_KEY_MEOWTH,22,12,17,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_1,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0039,KANTO,MAP_KEY_KANTO_K25,K25,TABLE_KEY_KANTO_K25,SPECIES_KEY_PSYDUCK,23,75,80,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0040,TOHOKU,MAP_KEY_TOHOKU_T512,T512,TABLE_KEY_TOHOKU_T512,SPECIES_KEY_PSYDUCK,23,27,33,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_SHIOU_BADGE_3,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0041,KANTO,MAP_KEY_KANTO_K22,K22,TABLE_KEY_KANTO_K22,SPECIES_KEY_MANKEY,24,90,95,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_5,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0042,TOHOKU,MAP_KEY_TOHOKU_T032,T032,TABLE_KEY_TOHOKU_T032,SPECIES_KEY_MANKEY,24,44,54,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_6,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0043,KANTO,MAP_KEY_KANTO_K07,K07,TABLE_KEY_KANTO_K07,SPECIES_KEY_GROWLITHE,25,78,83,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_1,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0044,TOHOKU,MAP_KEY_TOHOKU_T028,T028,TABLE_KEY_TOHOKU_T028,SPECIES_KEY_GROWLITHE,25,30,40,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_5,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0045,KANTO,MAP_KEY_KANTO_K25,K25,TABLE_KEY_KANTO_K25,SPECIES_KEY_POLIWAG,26,75,80,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0046,TOHOKU,MAP_KEY_TOHOKU_T512,T512,TABLE_KEY_TOHOKU_T512,SPECIES_KEY_POLIWAG,26,27,33,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_SHIOU_BADGE_3,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0047,KANTO,MAP_KEY_KANTO_K24,K24,TABLE_KEY_KANTO_K24,SPECIES_KEY_ABRA,27,74,79,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0048,TOHOKU,MAP_KEY_TOHOKU_T034,T034,TABLE_KEY_TOHOKU_T034,SPECIES_KEY_ABRA,27,42,55,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_6,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0049,KANTO,MAP_KEY_KANTO_K30,K30,TABLE_KEY_KANTO_K30,SPECIES_KEY_MACHOP,28,80,87,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_1,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0050,TOHOKU,MAP_KEY_TOHOKU_T514,T514,TABLE_KEY_TOHOKU_T514,SPECIES_KEY_MACHOP,28,31,38,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_5,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0051,KANTO,MAP_KEY_KANTO_K05,K05,TABLE_KEY_KANTO_K05,SPECIES_KEY_BELLSPROUT,29,74,79,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0052,TOHOKU,MAP_KEY_TOHOKU_T504,T504,TABLE_KEY_TOHOKU_T504,SPECIES_KEY_BELLSPROUT,29,9,13,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0053,KANTO,MAP_KEY_KANTO_K19,K19,TABLE_KEY_KANTO_K19,SPECIES_KEY_TENTACOOL,30,87,92,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_4,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0054,TOHOKU,MAP_KEY_TOHOKU_T501,T501,TABLE_KEY_TOHOKU_T501,SPECIES_KEY_TENTACOOL,30,45,68,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
RESEARCH_KEY_KANTO_0055,KANTO,MAP_KEY_KANTO_K27,K27,TABLE_KEY_KANTO_K27,SPECIES_KEY_GEODUDE,31,73,80,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_EARLY_ACCESS,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0056,TOHOKU,MAP_KEY_TOHOKU_T501,T501,TABLE_KEY_TOHOKU_T501,SPECIES_KEY_GEODUDE,31,45,68,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_PRE_ENTRY,true,NONE,ACTIVE,ベガ既存テーブル・固定イベント・配布・進化参照を変更しない。
RESEARCH_KEY_KANTO_0057,KANTO,MAP_KEY_KANTO_K17,K17,TABLE_KEY_KANTO_K17,SPECIES_KEY_PONYTA,32,83,89,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_2,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0058,TOHOKU,MAP_KEY_TOHOKU_T028,T028,TABLE_KEY_TOHOKU_T028,SPECIES_KEY_PONYTA,32,30,40,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_5,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0059,KANTO,MAP_KEY_KANTO_K38,K38,TABLE_KEY_KANTO_K38,SPECIES_KEY_SLOWPOKE,33,88,96,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_4,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
RESEARCH_KEY_TOHOKU_0060,TOHOKU,MAP_KEY_TOHOKU_T508,T508,TABLE_KEY_TOHOKU_T508,SPECIES_KEY_SLOWPOKE,33,19,25,2,5,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,VEGA_BADGE_1,true,NONE,ACTIVE,ベガ既存の野生枠を上書きせず、条件付きオーバーレイ／DexNav／夜間・水上・釣り・大量発生の追加抽選へ登録。
RESEARCH_KEY_KANTO_0061,KANTO,MAP_KEY_KANTO_K40,K40,TABLE_KEY_KANTO_K40,SPECIES_KEY_MAGNEMITE,34,82,94,3,10,ONE_LEGAL_MOVE,MODERN_LEGAL_LOW_RATE,MINOR_BONUS_NO_CHAIN_LEAK,KANTO_CERT_2,true,NONE,ACTIVE,FR原作系統を地域の顔として残し、通常表・時間帯表・DexNav・大量発生を使って新種を混在。
