ability_key,id,vega_id,cfru_id,cfru_symbol,dpe_symbol,classification,display_name,description_key,effect_key,runtime_binding,status,notes
ABILITY_KEY_COMPOUNDEYES,14,14,14,ABILITY_COMPOUNDEYES,ABILITY_COMPOUNDEYES,VEGA_CFRU_CANONICAL,ふくがん,ABILITY_DESC_COMPOUNDEYES,ABILITY_EFFECT_COMPOUNDEYES,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_INSOMNIA,15,15,15,ABILITY_INSOMNIA,ABILITY_INSOMNIA,VEGA_CFRU_CANONICAL,ふみん,ABILITY_DESC_INSOMNIA,ABILITY_EFFECT_INSOMNIA,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_COLORCHANGE,16,16,16,ABILITY_COLORCHANGE,ABILITY_COLORCHANGE,VEGA_CFRU_CANONICAL,へんしょく,ABILITY_DESC_COLORCHANGE,ABILITY_EFFECT_COLORCHANGE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_IMMUNITY,17,17,17,ABILITY_IMMUNITY,ABILITY_IMMUNITY,VEGA_CFRU_CANONICAL,めんえき,ABILITY_DESC_IMMUNITY,ABILITY_EFFECT_IMMUNITY,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_FLASHFIRE,18,18,18,ABILITY_FLASHFIRE,ABILITY_FLASHFIRE,VEGA_CFRU_CANONICAL,もらいび,ABILITY_DESC_FLASHFIRE,ABILITY_EFFECT_FLASHFIRE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SHIELDDUST,19,19,19,ABILITY_SHIELDDUST,ABILITY_SHIELDDUST,VEGA_CFRU_CANONICAL,りんぷん,ABILITY_DESC_SHIELDDUST,ABILITY_EFFECT_SHIELDDUST,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_OWNTEMPO,20,20,20,ABILITY_OWNTEMPO,ABILITY_OWNTEMPO,VEGA_CFRU_CANONICAL,マイペース,ABILITY_DESC_OWNTEMPO,ABILITY_EFFECT_OWNTEMPO,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SUCTIONCUPS,21,21,21,ABILITY_SUCTIONCUPS,ABILITY_SUCTIONCUPS,VEGA_CFRU_CANONICAL,きゅうばん,ABILITY_DESC_SUCTIONCUPS,ABILITY_EFFECT_SUCTIONCUPS,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_INTIMIDATE,22,22,22,ABILITY_INTIMIDATE,ABILITY_INTIMIDATE,VEGA_CFRU_CANONICAL,いかく,ABILITY_DESC_INTIMIDATE,ABILITY_EFFECT_INTIMIDATE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SHADOWTAG,23,23,23,ABILITY_SHADOWTAG,ABILITY_SHADOWTAG,VEGA_CFRU_CANONICAL,かげふみ,ABILITY_DESC_SHADOWTAG,ABILITY_EFFECT_SHADOWTAG,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_WOUNDING_BODY,24,24,24,ABILITY_ROUGHSKIN,ABILITY_ROUGHSKIN,VEGA_CFRU_CANONICAL,きずつけボディ,ABILITY_DESC_WOUNDING_BODY,ABILITY_EFFECT_ROUGHSKIN,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_WONDERGUARD,25,25,25,ABILITY_WONDERGUARD,ABILITY_WONDERGUARD,VEGA_CFRU_CANONICAL,ふしぎなまもり,ABILITY_DESC_WONDERGUARD,ABILITY_EFFECT_WONDERGUARD,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_LEVITATE,26,26,26,ABILITY_LEVITATE,ABILITY_LEVITATE,VEGA_CFRU_CANONICAL,ふゆう,ABILITY_DESC_LEVITATE,ABILITY_EFFECT_LEVITATE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_EFFECTSPORE,27,27,27,ABILITY_EFFECTSPORE,ABILITY_EFFECTSPORE,VEGA_CFRU_CANONICAL,ほうし,ABILITY_DESC_EFFECTSPORE,ABILITY_EFFECT_EFFECTSPORE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SYNCHRONIZE,28,28,28,ABILITY_SYNCHRONIZE,ABILITY_SYNCHRONIZE,VEGA_CFRU_CANONICAL,シンクロ,ABILITY_DESC_SYNCHRONIZE,ABILITY_EFFECT_SYNCHRONIZE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_CLEARBODY,29,29,29,ABILITY_CLEARBODY,ABILITY_CLEARBODY,VEGA_CFRU_CANONICAL,クリアボディ,ABILITY_DESC_CLEARBODY,ABILITY_EFFECT_CLEARBODY,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_NATURALCURE,30,30,30,ABILITY_NATURALCURE,ABILITY_NATURALCURE,VEGA_CFRU_CANONICAL,しぜんかいふく,ABILITY_DESC_NATURALCURE,ABILITY_EFFECT_NATURALCURE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_LIGHTNINGROD,31,31,31,ABILITY_LIGHTNINGROD,ABILITY_LIGHTNINGROD,VEGA_CFRU_CANONICAL,ひらいしん,ABILITY_DESC_LIGHTNINGROD,ABILITY_EFFECT_LIGHTNINGROD,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SERENEGRACE,32,32,32,ABILITY_SERENEGRACE,ABILITY_SERENEGRACE,VEGA_CFRU_CANONICAL,てんのめぐみ,ABILITY_DESC_SERENEGRACE,ABILITY_EFFECT_SERENEGRACE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SWIFTSWIM,33,33,33,ABILITY_SWIFTSWIM,ABILITY_SWIFTSWIM,VEGA_CFRU_CANONICAL,すいすい,ABILITY_DESC_SWIFTSWIM,ABILITY_EFFECT_SWIFTSWIM,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_CHLOROPHYLL,34,34,34,ABILITY_CHLOROPHYLL,ABILITY_CHLOROPHYLL,VEGA_CFRU_CANONICAL,ようりょくそ,ABILITY_DESC_CHLOROPHYLL,ABILITY_EFFECT_CHLOROPHYLL,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_ILLUMINATE,35,35,35,ABILITY_ILLUMINATE,ABILITY_ILLUMINATE,VEGA_CFRU_CANONICAL,はっこう,ABILITY_DESC_ILLUMINATE,ABILITY_EFFECT_ILLUMINATE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_TRACE,36,36,36,ABILITY_TRACE,ABILITY_TRACE,VEGA_CFRU_CANONICAL,トレース,ABILITY_DESC_TRACE,ABILITY_EFFECT_TRACE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_HUGEPOWER,37,37,37,ABILITY_HUGEPOWER,ABILITY_HUGEPOWER,VEGA_CFRU_CANONICAL,ちからもち,ABILITY_DESC_HUGEPOWER,ABILITY_EFFECT_HUGEPOWER,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_POISONPOINT,38,38,38,ABILITY_POISONPOINT,ABILITY_POISONPOINT,VEGA_CFRU_CANONICAL,どくのトゲ,ABILITY_DESC_POISONPOINT,ABILITY_EFFECT_POISONPOINT,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_INNERFOCUS,39,39,39,ABILITY_INNERFOCUS,ABILITY_INNERFOCUS,VEGA_CFRU_CANONICAL,せいしんりょく,ABILITY_DESC_INNERFOCUS,ABILITY_EFFECT_INNERFOCUS,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_MAGMAARMOR,40,40,40,ABILITY_MAGMAARMOR,ABILITY_MAGMAARMOR,VEGA_CFRU_CANONICAL,マグマのよろい,ABILITY_DESC_MAGMAARMOR,ABILITY_EFFECT_MAGMAARMOR,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_WATERVEIL,41,41,41,ABILITY_WATERVEIL,ABILITY_WATERVEIL,VEGA_CFRU_CANONICAL,みずのベール,ABILITY_DESC_WATERVEIL,ABILITY_EFFECT_WATERVEIL,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_MAGNETPULL,42,42,42,ABILITY_MAGNETPULL,ABILITY_MAGNETPULL,VEGA_CFRU_CANONICAL,じりょく,ABILITY_DESC_MAGNETPULL,ABILITY_EFFECT_MAGNETPULL,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SOUNDPROOF,43,43,43,ABILITY_SOUNDPROOF,ABILITY_SOUNDPROOF,VEGA_CFRU_CANONICAL,ぼうおん,ABILITY_DESC_SOUNDPROOF,ABILITY_EFFECT_SOUNDPROOF,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_RAINDISH,44,44,44,ABILITY_RAINDISH,ABILITY_RAINDISH,VEGA_CFRU_CANONICAL,あめうけざら,ABILITY_DESC_RAINDISH,ABILITY_EFFECT_RAINDISH,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SANDSTREAM,45,45,45,ABILITY_SANDSTREAM,ABILITY_SANDSTREAM,VEGA_CFRU_CANONICAL,すなおこし,ABILITY_DESC_SANDSTREAM,ABILITY_EFFECT_SANDSTREAM,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_PRESSURE,46,46,46,ABILITY_PRESSURE,ABILITY_PRESSURE,VEGA_CFRU_CANONICAL,プレッシャー,ABILITY_DESC_PRESSURE,ABILITY_EFFECT_PRESSURE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_THICKFAT,47,47,47,ABILITY_THICKFAT,ABILITY_THICKFAT,VEGA_CFRU_CANONICAL,あついしぼう,ABILITY_DESC_THICKFAT,ABILITY_EFFECT_THICKFAT,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_EARLYBIRD,48,48,48,ABILITY_EARLYBIRD,ABILITY_EARLYBIRD,VEGA_CFRU_CANONICAL,はやおき,ABILITY_DESC_EARLYBIRD,ABILITY_EFFECT_EARLYBIRD,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_FLAMEBODY,49,49,49,ABILITY_FLAMEBODY,ABILITY_FLAMEBODY,VEGA_CFRU_CANONICAL,ほのおのからだ,ABILITY_DESC_FLAMEBODY,ABILITY_EFFECT_FLAMEBODY,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_RUNAWAY,50,50,50,ABILITY_RUNAWAY,ABILITY_RUNAWAY,VEGA_CFRU_CANONICAL,にげあし,ABILITY_DESC_RUNAWAY,ABILITY_EFFECT_RUNAWAY,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_KEENEYE,51,51,51,ABILITY_KEENEYE,ABILITY_KEENEYE,VEGA_CFRU_CANONICAL,するどいめ,ABILITY_DESC_KEENEYE,ABILITY_EFFECT_KEENEYE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_HYPERCUTTER,52,52,52,ABILITY_HYPERCUTTER,ABILITY_HYPERCUTTER,VEGA_CFRU_CANONICAL,かいりきバサミ,ABILITY_DESC_HYPERCUTTER,ABILITY_EFFECT_HYPERCUTTER,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_PICKUP,53,53,53,ABILITY_PICKUP,ABILITY_PICKUP,VEGA_CFRU_CANONICAL,ものひろい,ABILITY_DESC_PICKUP,ABILITY_EFFECT_PICKUP,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_TRUANT,54,54,54,ABILITY_TRUANT,ABILITY_TRUANT,VEGA_CFRU_CANONICAL,なまけ,ABILITY_DESC_TRUANT,ABILITY_EFFECT_TRUANT,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_HUSTLE,55,55,55,ABILITY_HUSTLE,ABILITY_HUSTLE,VEGA_CFRU_CANONICAL,はりきり,ABILITY_DESC_HUSTLE,ABILITY_EFFECT_HUSTLE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_CUTECHARM,56,56,56,ABILITY_CUTECHARM,ABILITY_CUTECHARM,VEGA_CFRU_CANONICAL,メロメロボディ,ABILITY_DESC_CUTECHARM,ABILITY_EFFECT_CUTECHARM,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_PLUS,57,57,57,ABILITY_PLUS,ABILITY_PLUS,VEGA_CFRU_CANONICAL,プラス,ABILITY_DESC_PLUS,ABILITY_EFFECT_PLUS,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_MINUS,58,58,58,ABILITY_MINUS,ABILITY_MINUS,VEGA_CFRU_CANONICAL,マイナス,ABILITY_DESC_MINUS,ABILITY_EFFECT_MINUS,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_FORECAST,59,59,59,ABILITY_FORECAST,ABILITY_FORECAST,VEGA_CFRU_CANONICAL,てんきや,ABILITY_DESC_FORECAST,ABILITY_EFFECT_FORECAST,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_STICKYHOLD,60,60,60,ABILITY_STICKYHOLD,ABILITY_STICKYHOLD,VEGA_CFRU_CANONICAL,ねんちゃく,ABILITY_DESC_STICKYHOLD,ABILITY_EFFECT_STICKYHOLD,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SHEDSKIN,61,61,61,ABILITY_SHEDSKIN,ABILITY_SHEDSKIN,VEGA_CFRU_CANONICAL,だっぴ,ABILITY_DESC_SHEDSKIN,ABILITY_EFFECT_SHEDSKIN,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_GUTS,62,62,62,ABILITY_GUTS,ABILITY_GUTS,VEGA_CFRU_CANONICAL,こんじょう,ABILITY_DESC_GUTS,ABILITY_EFFECT_GUTS,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_MARVELSCALE,63,63,63,ABILITY_MARVELSCALE,ABILITY_MARVELSCALE,VEGA_CFRU_CANONICAL,ふしぎなうろこ,ABILITY_DESC_MARVELSCALE,ABILITY_EFFECT_MARVELSCALE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_LIQUIDOOZE,64,64,64,ABILITY_LIQUIDOOZE,ABILITY_LIQUIDOOZE,VEGA_CFRU_CANONICAL,ヘドロえき,ABILITY_DESC_LIQUIDOOZE,ABILITY_EFFECT_LIQUIDOOZE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_OVERGROW,65,65,65,ABILITY_OVERGROW,ABILITY_OVERGROW,VEGA_CFRU_CANONICAL,しんりょく,ABILITY_DESC_OVERGROW,ABILITY_EFFECT_OVERGROW,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_BLAZE,66,66,66,ABILITY_BLAZE,ABILITY_BLAZE,VEGA_CFRU_CANONICAL,もうか,ABILITY_DESC_BLAZE,ABILITY_EFFECT_BLAZE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_TORRENT,67,67,67,ABILITY_TORRENT,ABILITY_TORRENT,VEGA_CFRU_CANONICAL,げきりゅう,ABILITY_DESC_TORRENT,ABILITY_EFFECT_TORRENT,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SWARM,68,68,68,ABILITY_SWARM,ABILITY_SWARM,VEGA_CFRU_CANONICAL,むしのしらせ,ABILITY_DESC_SWARM,ABILITY_EFFECT_SWARM,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_ROCKHEAD,69,69,69,ABILITY_ROCKHEAD,ABILITY_ROCKHEAD,VEGA_CFRU_CANONICAL,いしあたま,ABILITY_DESC_ROCKHEAD,ABILITY_EFFECT_ROCKHEAD,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_DROUGHT,70,70,70,ABILITY_DROUGHT,ABILITY_DROUGHT,VEGA_CFRU_CANONICAL,ひでり,ABILITY_DESC_DROUGHT,ABILITY_EFFECT_DROUGHT,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_ARENATRAP,71,71,71,ABILITY_ARENATRAP,ABILITY_ARENATRAP,VEGA_CFRU_CANONICAL,ありじごく,ABILITY_DESC_ARENATRAP,ABILITY_EFFECT_ARENATRAP,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_VITALSPIRIT,72,72,72,ABILITY_VITALSPIRIT,ABILITY_VITALSPIRIT,VEGA_CFRU_CANONICAL,やるき,ABILITY_DESC_VITALSPIRIT,ABILITY_EFFECT_VITALSPIRIT,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_WHITESMOKE,73,73,73,ABILITY_WHITESMOKE,ABILITY_WHITESMOKE,VEGA_CFRU_CANONICAL,しろいけむり,ABILITY_DESC_WHITESMOKE,ABILITY_EFFECT_WHITESMOKE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_PUREPOWER,74,74,74,ABILITY_PUREPOWER,ABILITY_PUREPOWER,VEGA_CFRU_CANONICAL,ヨガパワー,ABILITY_DESC_PUREPOWER,ABILITY_EFFECT_PUREPOWER,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SHELLARMOR,75,75,75,ABILITY_SHELLARMOR,ABILITY_SHELLARMOR,VEGA_CFRU_CANONICAL,シェルアーマー,ABILITY_DESC_SHELLARMOR,ABILITY_EFFECT_SHELLARMOR,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_CACOPHONY,76,76,NONE,NONE,NONE,VEGA_EXCLUSIVE,そうおん,ABILITY_DESC_CACOPHONY,ABILITY_EFFECT_CACOPHONY_VEGA,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_AIRLOCK,77,77,76,ABILITY_AIRLOCK,ABILITY_AIRLOCK,VEGA_CFRU_CANONICAL,エアロック,ABILITY_DESC_AIRLOCK,ABILITY_EFFECT_AIRLOCK,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_TANGLEDFEET,78,NONE,77,ABILITY_TANGLEDFEET,ABILITY_TANGLEDFEET,CFRU_APPEND,ちどりあし,ABILITY_DESC_TANGLEDFEET,ABILITY_EFFECT_TANGLEDFEET,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_MOTORDRIVE,79,NONE,78,ABILITY_MOTORDRIVE,ABILITY_MOTORDRIVE,CFRU_APPEND,でんきエンジン,ABILITY_DESC_MOTORDRIVE,ABILITY_EFFECT_MOTORDRIVE,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_RIVALRY,80,NONE,79,ABILITY_RIVALRY,ABILITY_RIVALRY,CFRU_APPEND,とうそうしん,ABILITY_DESC_RIVALRY,ABILITY_EFFECT_RIVALRY,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_STEADFAST,81,NONE,80,ABILITY_STEADFAST,ABILITY_STEADFAST,CFRU_APPEND,ふくつのこころ,ABILITY_DESC_STEADFAST,ABILITY_EFFECT_STEADFAST,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_SNOWCLOAK,82,NONE,81,ABILITY_SNOWCLOAK,ABILITY_SNOWCLOAK,CFRU_APPEND,ゆきがくれ,ABILITY_DESC_SNOWCLOAK,ABILITY_EFFECT_SNOWCLOAK,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_GLUTTONY,83,NONE,82,ABILITY_GLUTTONY,ABILITY_GLUTTONY,CFRU_APPEND,くいしんぼう,ABILITY_DESC_GLUTTONY,ABILITY_EFFECT_GLUTTONY,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_ANGERPOINT,84,NONE,83,ABILITY_ANGERPOINT,ABILITY_ANGERPOINT,CFRU_APPEND,いかりのつぼ,ABILITY_DESC_ANGERPOINT,ABILITY_EFFECT_ANGERPOINT,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_UNBURDEN,85,NONE,84,ABILITY_UNBURDEN,ABILITY_UNBURDEN,CFRU_APPEND,かるわざ,ABILITY_DESC_UNBURDEN,ABILITY_EFFECT_UNBURDEN,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_HEATPROOF,86,NONE,85,ABILITY_HEATPROOF,ABILITY_HEATPROOF,CFRU_APPEND,たいねつ,ABILITY_DESC_HEATPROOF,ABILITY_EFFECT_HEATPROOF,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_SIMPLE,87,NONE,86,ABILITY_SIMPLE,ABILITY_SIMPLE,CFRU_APPEND,たんじゅん,ABILITY_DESC_SIMPLE,ABILITY_EFFECT_SIMPLE,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_DRYSKIN,88,NONE,87,ABILITY_DRYSKIN,ABILITY_DRYSKIN,CFRU_APPEND,かんそうはだ,ABILITY_DESC_DRYSKIN,ABILITY_EFFECT_DRYSKIN,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
