species_key,canonical_id,display_name,target_status,completion_weight,current_audit_class,proof_strength,current_method,current_runtime_status,current_physical_status,current_evidence,designed_primary_route_key,designed_method,designed_runtime_status,designed_physical_status,designed_evidence,remaining_exact_rom_gate
SPECIES_KEY_SWELLOW,11,オオスバメ,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv23-23; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv24-24; ROM_WILD:3/32:VEGA_NATIVE:ROCK:Lv2-2; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv31-31,ROUTE_0011_SWELLOW,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/32:VEGA_NATIVE:ROCK:Lv2-2,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_RIOLU,12,リオル,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:96/9:K42:FISHING:Lv94-100; ROM_WILD:96/9:K42:LAND:Lv94-100; ROM_WILD:96/9:K42:ROCK:Lv94-100; ROM_WILD:96/9:K42:WATER:Lv94-100; ROM_WILD:97/39:K42:FISHING:Lv94-100; ROM_WILD:97/39:K42:LAND:Lv94-100; ROM_WILD:97/39:K42:ROCK:Lv94-100; ROM_WILD:97/39:K42:WATER:Lv94-100; ROM_WILD:97/40:K42:FISHING:Lv94-100; ROM_WILD:97/40:K42:LAND:Lv94-100; ROM_WILD:97/40:K42:ROCK:Lv94-100; ROM_WILD:97/40:K42:WATER:Lv94-100; ROM_WILD:97/41:K42:FISHING:Lv94-100; ROM_WILD:97/41:K42:LAND:Lv94-100; ROM_WILD:97/41:K42:ROCK:Lv94-100; ROM_WILD:97/41:K42:WATER:Lv94-100; ROM_WILD:97/75:K42:FISHING:Lv94-100; ROM_WILD:97/75:K42:LAND:Lv94-100; ROM_WILD:97/75:K42:ROCK:Lv94-100; ROM_WILD:97/75:K42:WATER:Lv94-100; ROM_WILD:97/76:K42:FISHING:Lv94-100; ROM_WILD:97/76:K42:LAND:Lv94-100; ROM_WILD:97/76:K42:ROCK:Lv94-100; ROM_WILD:97/76:K42:WATER:Lv94-100; ROM_WILD:97/77:K42:FISHING:Lv94-100; ROM_WILD:97/77:K42:LAND:Lv94-100; ROM_WILD:97/77:K42:ROCK:Lv94-100; ROM_WILD:97/77:K42:WATER:Lv94-100; ROM_WILD:97/78:K42:FISHING:Lv94-100; ROM_WILD:97/78:K42:LAND:Lv94-100; ROM_WILD:97/78:K42:ROCK:Lv94-100; ROM_WILD:97/78:K42:WATER:Lv94-100; ROM_WILD:97/79:K42:FISHING:Lv94-100; ROM_WILD:97/79:K42:LAND:Lv94-100; ROM_WILD:97/79:K42:ROCK:Lv94-100; ROM_WILD:97/79:K42:WATER:Lv94-100; ROM_WILD:97/80:K42:FISHING:Lv94-100; ROM_WILD:97/80:K42:LAND:Lv94-100; ROM_WILD:97/80:K42:ROCK:Lv94-100; ROM_WILD:97/80:K42:WATER:Lv94-100,ROUTE_0012_RIOLU,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:96/9:K42:FISHING:Lv94-100,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_LUCARIO,13,ルカリオ,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8,ROUTE_0013_LUCARIO,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv7-7,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_HOUNDOUR,14,デルビル,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:1/31:VEGA_NATIVE:LAND:Lv35-36; ROM_WILD:17/0:VEGA_NATIVE:LAND:Lv35-36; ROM_WILD:20/0:VEGA_NATIVE:LAND:Lv35-36; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-6; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:3/23:VEGA_NATIVE:LAND:Lv7-8; ROM_WILD:3/23:VEGA_NATIVE:LAND:Lv9-10; ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv6-6; ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:97/59:K39:LAND:Lv91-98; ROM_WILD:97/59:K39:ROCK:Lv91-98; ROM_WILD:97/59:K39:WATER:Lv91-98; ROM_WILD:97/60:K39:LAND:Lv91-98; ROM_WILD:97/60:K39:ROCK:Lv91-98; ROM_WILD:97/60:K39:WATER:Lv91-98; ROM_WILD:97/61:K39:LAND:Lv91-98; ROM_WILD:97/61:K39:ROCK:Lv91-98; ROM_WILD:97/61:K39:WATER:Lv91-98; ROM_WILD:97/62:K39:LAND:Lv91-98; ROM_WILD:97/62:K39:ROCK:Lv91-98; ROM_WILD:97/62:K39:WATER:Lv91-98,ROUTE_0014_HOUNDOUR,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-6,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_HOUNDOOM,15,ヘルガー,REQUIRED_BASE,1,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,EXACT_EVOLUTION_EDGE_ONLY,EXACT_EVOLUTION_TABLE_EDGE,EXACT_EVOLUTION_EDGE_PRESENT_TRIGGER_SUPPLY_UNVERIFIED,TABLE_EDGE_VERIFIED_GLOBAL_TRIGGER_AUDIT_REQUIRED,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; distance=1; predecessor canonical id 14 (デルビル); evolution table root 0x09F79290,ROUTE_0015_HOUNDOOM,EVOLUTION,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 14; evolution root 0x09F79290,"verify trigger, item, move, time, place, party predicates, storage, and save on exact ROM"
SPECIES_KEY_DIGLETT,16,ディグダ,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv11-11; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv13-13; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv32-33; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv33-34; ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/39:VEGA_NATIVE:LAND:Lv42-43; ROM_WILD:1/39:VEGA_NATIVE:LAND:Lv44-44; ROM_WILD:1/40:VEGA_NATIVE:LAND:Lv43-44; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv6-6; ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:1/81:VEGA_NATIVE:LAND:Lv19-19; ROM_WILD:1/82:VEGA_NATIVE:LAND:Lv18-18; ROM_WILD:1/82:VEGA_NATIVE:LAND:Lv19-19; ROM_WILD:1/82:VEGA_NATIVE:LAND:Lv20-20; ROM_WILD:97/36:K28:FISHING:Lv76-83; ROM_WILD:97/36:K28:LAND:Lv76-83; ROM_WILD:97/36:K28:ROCK:Lv76-83; ROM_WILD:97/36:K28:WATER:Lv76-83; ROM_WILD:97/37:K28:FISHING:Lv76-83; ROM_WILD:97/37:K28:LAND:Lv76-83; ROM_WILD:97/37:K28:ROCK:Lv76-83; ROM_WILD:97/37:K28:WATER:Lv76-83; ROM_WILD:97/38:K28:FISHING:Lv76-83; ROM_WILD:97/38:K28:LAND:Lv76-83; ROM_WILD:97/38:K28:ROCK:Lv76-83; ROM_WILD:97/38:K28:WATER:Lv76-83,ROUTE_0016_DIGLETT,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv6-6,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_DUGTRIO,17,ダグトリオ,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/39:VEGA_NATIVE:LAND:Lv43-44; ROM_WILD:1/40:VEGA_NATIVE:LAND:Lv44-45; ROM_WILD:1/41:VEGA_NATIVE:LAND:Lv45-46; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv36-36,ROUTE_0017_DUGTRIO,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv34-34,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_TOGEPI,18,トゲピー,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:1/66:VEGA_NATIVE:LAND:Lv20-23; ROM_WILD:1/66:VEGA_NATIVE:LAND:Lv24-25; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv30-30; ROM_WILD:3/36:VEGA_NATIVE:LAND:Lv13-13; ROM_WILD:96/14:K03:FISHING:Lv71-75; ROM_WILD:96/14:K03:LAND:Lv71-75; ROM_WILD:96/14:K03:ROCK:Lv71-75,ROUTE_0018_TOGEPI,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv3-3,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_TOGETIC,19,トゲチック,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv2-2; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:1/114:VEGA_NATIVE:LAND:Lv75-83,ROUTE_0019_TOGETIC,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv2-2,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_TOGEKISS,20,トゲキッス,REQUIRED_BASE,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:1/114:VEGA_NATIVE:LAND:Lv78-86,ROUTE_0020_TOGEKISS,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/114:VEGA_NATIVE:LAND:Lv78-86,capture/save regression remains; direct encounter source itself is evidenced
SPECIES_KEY_VEGA_021,21,フロン,REQUIRED_VEGA_ORIGINAL,1,EXISTING_ROM_WILD_OR_ECOLOGY,STRICT_ROM_DIRECT_SOURCE_VERIFIED,ROM_WILD_TABLE,ROM_DIRECT_SOURCE_VERIFIED_FROM_SUPPLIED_EXACT_AUDIT,EXACT_ROM_AUDIT_EVIDENCE_SUPPLIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv32-32; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv32-33; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv33-34; ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/3:VEGA_NATIVE:LAND:Lv47-48; ROM_WILD:1/3:VEGA_NATIVE:LAND:Lv49-49; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/83:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/83:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/84:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/84:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/85:VEGA_NATIVE:LAND:Lv48-49; ROM_WILD:1/85:VEGA_NATIVE:LAND:Lv50-50; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-2; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/32:VEGA_NATIVE:LAND:Lv29-30; ROM_WILD:3/32:VEGA_NATIVE:LAND:Lv31-31; ROM_WILD:3/33:VEGA_NATIVE:LAND:Lv33-34; ROM_WILD:3/34:VEGA_NATIVE:LAND:Lv30-31; ROM_WILD:3/34:VEGA_NATIVE:LAND:Lv32-32; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv29-30; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv31-31,ROUTE_0021_VEGA_021,WILD_TABLE,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-2,capture/save regression remains; direct encounter source itself is evidenced
