route_key,prerequisite_kind,prerequisite_key,edge_status,evidence
ROUTE_0007_VEGA_007,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/64:VEGA_NATIVE:WATER:Lv5-25
ROUTE_0007_VEGA_007,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0008_VEGA_008,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 7; evolution root 0x09F79290
ROUTE_0008_VEGA_008,SPECIES,SPECIES_KEY_VEGA_007,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 7; evolution root 0x09F79290
ROUTE_0008_VEGA_008,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0009_VEGA_009,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 8; evolution root 0x09F79290
ROUTE_0009_VEGA_009,SPECIES,SPECIES_KEY_VEGA_008,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 8; evolution root 0x09F79290
ROUTE_0009_VEGA_009,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0010_TAILLOW,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-2
ROUTE_0010_TAILLOW,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0011_SWELLOW,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/32:VEGA_NATIVE:ROCK:Lv2-2
ROUTE_0011_SWELLOW,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0012_RIOLU,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:96/9:K42:FISHING:Lv94-100
ROUTE_0012_RIOLU,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0013_LUCARIO,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv7-7
ROUTE_0013_LUCARIO,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0014_HOUNDOUR,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-6
ROUTE_0014_HOUNDOUR,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0015_HOUNDOOM,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 14; evolution root 0x09F79290
ROUTE_0015_HOUNDOOM,SPECIES,SPECIES_KEY_HOUNDOUR,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 14; evolution root 0x09F79290
ROUTE_0015_HOUNDOOM,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0016_DIGLETT,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv6-6
ROUTE_0016_DIGLETT,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0017_DUGTRIO,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv34-34
ROUTE_0017_DUGTRIO,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0018_TOGEPI,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv3-3
ROUTE_0018_TOGEPI,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0019_TOGETIC,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv2-2
ROUTE_0019_TOGETIC,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0020_TOGEKISS,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/114:VEGA_NATIVE:LAND:Lv78-86
ROUTE_0020_TOGEKISS,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0021_VEGA_021,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-2
ROUTE_0021_VEGA_021,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0022_VEGA_022,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/32:VEGA_NATIVE:LAND:Lv31-31
ROUTE_0022_VEGA_022,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0023_VEGA_023,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv32-32
ROUTE_0023_VEGA_023,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0024_PICHU,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/23:VEGA_NATIVE:LAND:Lv6-6
ROUTE_0024_PICHU,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0025_PIKACHU,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/66:VEGA_NATIVE:LAND:Lv20-23
ROUTE_0025_PIKACHU,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0026_RAICHU,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 25; evolution root 0x09F79290
ROUTE_0026_RAICHU,SPECIES,SPECIES_KEY_PIKACHU,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 25; evolution root 0x09F79290
ROUTE_0026_RAICHU,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0027_VEGA_027,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/118:VEGA_NATIVE:LAND:Lv89-95
ROUTE_0027_VEGA_027,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0028_SKARMORY,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/63:VEGA_NATIVE:LAND:Lv22-22
ROUTE_0028_SKARMORY,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0029_NIDORAN_F,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-6
ROUTE_0029_NIDORAN_F,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0030_NIDORINA,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/32:VEGA_NATIVE:LAND:Lv31-31
ROUTE_0030_NIDORINA,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0031_NIDOQUEEN,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 30; evolution root 0x09F79290
ROUTE_0031_NIDOQUEEN,SPECIES,SPECIES_KEY_NIDORINA,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 30; evolution root 0x09F79290
ROUTE_0031_NIDOQUEEN,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0032_NIDORAN_M,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-6
ROUTE_0032_NIDORAN_M,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0033_NIDORINO,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/32:VEGA_NATIVE:LAND:Lv31-31
ROUTE_0033_NIDORINO,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0034_NIDOKING,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 33; evolution root 0x09F79290
ROUTE_0034_NIDOKING,SPECIES,SPECIES_KEY_NIDORINO,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 33; evolution root 0x09F79290
ROUTE_0034_NIDOKING,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0035_BUIZEL,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/0:VEGA_NATIVE:FISHING:Lv5-10
ROUTE_0035_BUIZEL,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0036_FLOATZEL,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/30:VEGA_NATIVE:WATER:Lv25-35
ROUTE_0036_FLOATZEL,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0037_VEGA_037,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/32:VEGA_NATIVE:ROCK:Lv2-2
ROUTE_0037_VEGA_037,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0038_VEGA_038,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/32:VEGA_NATIVE:ROCK:Lv2-2
ROUTE_0038_VEGA_038,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0039_PINECO,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-3
ROUTE_0039_PINECO,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0040_FORRETRESS,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/32:VEGA_NATIVE:WATER:Lv2-2
ROUTE_0040_FORRETRESS,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0041_SHELLDER,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:11/3:VEGA_NATIVE:FISHING:Lv5-10
ROUTE_0041_SHELLDER,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0042_CLOYSTER,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:11/3:VEGA_NATIVE:FISHING:Lv40-45
ROUTE_0042_CLOYSTER,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0043_VEGA_043,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv12-12
ROUTE_0043_VEGA_043,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0044_VEGA_044,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 43; evolution root 0x09F79290
ROUTE_0044_VEGA_044,SPECIES,SPECIES_KEY_VEGA_043,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 43; evolution root 0x09F79290
ROUTE_0044_VEGA_044,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0045_VEGA_045,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 43; evolution root 0x09F79290
ROUTE_0045_VEGA_045,SPECIES,SPECIES_KEY_VEGA_043,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 43; evolution root 0x09F79290
ROUTE_0045_VEGA_045,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0046_TYROGUE,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv6-7
ROUTE_0046_TYROGUE,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0047_HITMONLEE,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 46; evolution root 0x09F79290
ROUTE_0047_HITMONLEE,SPECIES,SPECIES_KEY_TYROGUE,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 46; evolution root 0x09F79290
ROUTE_0047_HITMONLEE,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0048_HITMONCHAN,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 46; evolution root 0x09F79290
ROUTE_0048_HITMONCHAN,SPECIES,SPECIES_KEY_TYROGUE,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 46; evolution root 0x09F79290
ROUTE_0048_HITMONCHAN,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0049_HITMONTOP,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 46; evolution root 0x09F79290
ROUTE_0049_HITMONTOP,SPECIES,SPECIES_KEY_TYROGUE,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 46; evolution root 0x09F79290
ROUTE_0049_HITMONTOP,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0050_VEGA_050,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv7-7
ROUTE_0050_VEGA_050,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0051_VEGA_051,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 50; evolution root 0x09F79290
ROUTE_0051_VEGA_051,SPECIES,SPECIES_KEY_VEGA_050,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 50; evolution root 0x09F79290
ROUTE_0051_VEGA_051,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0052_ABSOL,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/63:VEGA_NATIVE:LAND:Lv20-20
ROUTE_0052_ABSOL,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0053_VEGA_053,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/114:VEGA_NATIVE:LAND:Lv78-86
ROUTE_0053_VEGA_053,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0054_GIRAFARIG,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:WATER:Lv5-35
ROUTE_0054_GIRAFARIG,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0055_VEGA_055,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/113:VEGA_NATIVE:LAND:Lv75-83
ROUTE_0055_VEGA_055,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0056_VEGA_056,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv2-2
ROUTE_0056_VEGA_056,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0057_VEGA_057,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv42-42
ROUTE_0057_VEGA_057,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0058_MAGNEMITE,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/12:VEGA_NATIVE:LAND:Lv34-34
ROUTE_0058_MAGNEMITE,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0059_MAGNETON,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/12:VEGA_NATIVE:LAND:Lv38-38
ROUTE_0059_MAGNETON,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0060_MAGNEZONE,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:FISHING:Lv5-15
ROUTE_0060_MAGNEZONE,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0061_STARYU,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/25:VEGA_NATIVE:FISHING:Lv10-30
ROUTE_0061_STARYU,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0062_STARMIE,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 61; evolution root 0x09F79290
ROUTE_0062_STARMIE,SPECIES,SPECIES_KEY_STARYU,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 61; evolution root 0x09F79290
ROUTE_0062_STARMIE,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0063_GASTLY,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8
ROUTE_0063_GASTLY,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0064_HAUNTER,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/5:VEGA_NATIVE:LAND:Lv32-32
ROUTE_0064_HAUNTER,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0065_GENGAR,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 64; evolution root 0x09F79290
ROUTE_0065_GENGAR,SPECIES,SPECIES_KEY_HAUNTER,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 64; evolution root 0x09F79290
ROUTE_0065_GENGAR,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0066_EXEGGCUTE,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv22-22
ROUTE_0066_EXEGGCUTE,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0067_EXEGGUTOR,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 66; evolution root 0x09F79290
ROUTE_0067_EXEGGUTOR,SPECIES,SPECIES_KEY_EXEGGCUTE,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 66; evolution root 0x09F79290
ROUTE_0067_EXEGGUTOR,RUNTIME,EVOLUTION,ACTIVE,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED
ROUTE_0068_VEGA_068,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/36:VEGA_NATIVE:LAND:Lv12-12
ROUTE_0068_VEGA_068,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0069_VEGA_069,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/39:VEGA_NATIVE:LAND:Lv43-44
ROUTE_0069_VEGA_069,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0070_VEGA_070,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/6:VEGA_NATIVE:LAND:Lv33-33
ROUTE_0070_VEGA_070,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0071_RHYHORN,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:1/12:VEGA_NATIVE:ROCK:Lv20-30
ROUTE_0071_RHYHORN,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0072_RHYDON,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:WATER:Lv5-10
ROUTE_0072_RHYDON,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0073_RHYPERIOR,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:0/0:VEGA_NATIVE:WATER:Lv35-40
ROUTE_0073_RHYPERIOR,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0074_TROPIUS,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:3/42:VEGA_NATIVE:LAND:Lv15-15
ROUTE_0074_TROPIUS,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0075_PORYGON,UNLOCK,UNLOCK_EXISTING_MAP_PROGRESSION,ACTIVE,ROM_WILD:96/10:K41:FISHING:Lv90-97
ROUTE_0075_PORYGON,RUNTIME,WILD_TABLE,ACTIVE,ROM_REACHABLE_VERIFIED
ROUTE_0076_PORYGON2,UNLOCK,UNLOCK_EVOLUTION_GLOBAL,ACTIVE,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 75; evolution root 0x09F79290
