canonical_id,species_key,display_name,review_source_status,final_target_status,completion_weight,decision_reason,direct_wild_or_ecology,evolution_reachable_from_direct,route_runtime_status,notes
98,SPECIES_KEY_VEGA_098,コクジャク,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
99,SPECIES_KEY_VEGA_099,シャミネ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
100,SPECIES_KEY_VEGA_100,コーシャン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
101,SPECIES_KEY_VEGA_101,プラズン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
102,SPECIES_KEY_VEGA_102,ボルトック,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
103,SPECIES_KEY_VEGA_103,カワラベ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
104,SPECIES_KEY_VEGA_104,テペトラー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
105,SPECIES_KEY_VEGA_105,ロップル,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
106,SPECIES_KEY_VEGA_106,オタクン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
107,SPECIES_KEY_VEGA_107,ネラー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
108,SPECIES_KEY_VEGA_108,ニートン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
111,SPECIES_KEY_VEGA_111,ハクタクン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
121,SPECIES_KEY_VEGA_121,スミロドン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,no,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,
122,SPECIES_KEY_VEGA_122,マカドゥス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,no,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,
133,SPECIES_KEY_VEGA_133,タツゴン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
134,SPECIES_KEY_VEGA_134,ラグーン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
135,SPECIES_KEY_VEGA_135,ドラドーン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
142,SPECIES_KEY_VEGA_142,ライラプス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,no,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,
143,SPECIES_KEY_VEGA_143,ガニメデ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,no,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,
144,SPECIES_KEY_VEGA_144,ネメア,REVIEW_REQUIRED,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,no,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,同名でも本編独立種
161,SPECIES_KEY_VEGA_161,バジール,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
162,SPECIES_KEY_VEGA_162,バジルス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
163,SPECIES_KEY_VEGA_163,バジリール,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
164,SPECIES_KEY_VEGA_164,コマシシ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
165,SPECIES_KEY_VEGA_165,コマレオ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
166,SPECIES_KEY_VEGA_166,コマレオン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
167,SPECIES_KEY_VEGA_167,トッコウオ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
168,SPECIES_KEY_VEGA_168,ボウソウオ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
169,SPECIES_KEY_VEGA_169,バクソウオ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
170,SPECIES_KEY_VEGA_170,チェキラ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
171,SPECIES_KEY_VEGA_171,チェキッド,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
172,SPECIES_KEY_VEGA_172,チェキラス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
173,SPECIES_KEY_VEGA_173,リバード,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
174,SPECIES_KEY_VEGA_174,ララミンゴ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
176,SPECIES_KEY_VEGA_176,パチリック,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
177,SPECIES_KEY_VEGA_177,パンプリー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
178,SPECIES_KEY_VEGA_178,パンプッチ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
179,SPECIES_KEY_VEGA_179,ルナビット,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
180,SPECIES_KEY_VEGA_180,ルナバイン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
181,SPECIES_KEY_VEGA_181,ウソギー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
182,SPECIES_KEY_VEGA_182,ウソドロ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
186,SPECIES_KEY_VEGA_186,レジュリア,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
187,SPECIES_KEY_VEGA_187,タダヌキ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
188,SPECIES_KEY_VEGA_188,オオムジナ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
189,SPECIES_KEY_VEGA_189,ポコキング,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
190,SPECIES_KEY_VEGA_190,アスイーツ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
191,SPECIES_KEY_VEGA_191,コユキムシ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
192,SPECIES_KEY_VEGA_192,ユキタテハ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
194,SPECIES_KEY_VEGA_194,オオペラー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
195,SPECIES_KEY_VEGA_195,オリバー,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
196,SPECIES_KEY_VEGA_196,ランペルン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
197,SPECIES_KEY_VEGA_197,キーボン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
200,SPECIES_KEY_VEGA_200,レディバル,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
202,SPECIES_KEY_VEGA_202,ケンタル,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
206,SPECIES_KEY_VEGA_206,アスリスク,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
207,SPECIES_KEY_VEGA_207,プラネム,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
208,SPECIES_KEY_VEGA_208,モドラ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
209,SPECIES_KEY_VEGA_209,コモラゴン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
214,SPECIES_KEY_VEGA_214,ヤミクラゲ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
215,SPECIES_KEY_VEGA_215,コイナリ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
216,SPECIES_KEY_VEGA_216,オオイナリ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
217,SPECIES_KEY_VEGA_217,キャンペル,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
218,SPECIES_KEY_VEGA_218,ホムロソク,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
219,SPECIES_KEY_VEGA_219,ガレキダマ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
220,SPECIES_KEY_VEGA_220,ジバクン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
221,SPECIES_KEY_VEGA_221,ワラコゾウ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
222,SPECIES_KEY_VEGA_222,ワラガシラ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
225,SPECIES_KEY_VEGA_225,ドルマイン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
233,SPECIES_KEY_VEGA_233,プカスカ,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
234,SPECIES_KEY_VEGA_234,スモーガス,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
235,SPECIES_KEY_VEGA_235,ココロン,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,yes,yes,ROM_REACHABLE_VERIFIED,
236,SPECIES_KEY_VEGA_236,カモドック,LIKELY_DISTINCT_VEGA_SPECIES,REQUIRED_VEGA_ORIGINAL,1,Vega本図鑑の独立種として保持,no,yes,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,
