collection_key,species_key,canonical_id,display_name,target_status,primary_route_key,fallback_route_key,region,logical_location_key,physical_map_key,group_id,map_id,host_kind,host_key,host_local_id_or_bg_index,x,y,elevation,method,method_detail,prerequisite_species_key,unlock_key,level_or_egg,repeatability,missable_policy,defeat_policy,party_full_policy,box_full_policy,rtc_fallback,shared_capture_key,runtime_status,physical_status,evidence,implementation_priority,notes
COLLECTION_VEGA_0390,SPECIES_KEY_VEGA_390,390,ティラノス,REQUIRED_VEGA_ORIGINAL,ROUTE_0390_VEGA_390,FALLBACK_KANTO_VEGA_0390,TOHOKU+KANTO,K45,KANTO_INDOOR_CINNABAR_ISLAND_POKEMON_LAB_EXPERIMENT_ROOM,98,76,OBJECT_REUSE,HOST_FOSSIL_LAB,1,11,8,3,FOSSIL_RESTORE,くらやみのカセキを復元,,UNLOCK_FOSSIL_SERVICE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0390,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_VEGA_0400,SPECIES_KEY_VEGA_400,400,ロイツァー,REQUIRED_VEGA_ORIGINAL,ROUTE_0400_VEGA_400,FALLBACK_KANTO_VEGA_0400,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,殿堂入り後、スフィア遺跡B4F,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0400,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_VEGA_0401,SPECIES_KEY_VEGA_401,401,ガタノア,REQUIRED_VEGA_ORIGINAL,ROUTE_0401_VEGA_401,FALLBACK_KANTO_VEGA_0401,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,殿堂入り後、スフィア遺跡裏口B3F,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0401,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_VEGA_0402,SPECIES_KEY_VEGA_402,402,テツカブリ,REQUIRED_VEGA_ORIGINAL,ROUTE_0402_VEGA_402,FALLBACK_KANTO_VEGA_0402,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,GIFT,ライバル戦後、B4Fで受取,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0402,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_NATIONAL_0485,SPECIES_KEY_HEATRAN,403,ヒードラン,REQUIRED_BASE,ROUTE_0403_HEATRAN,FALLBACK_KANTO_RESCUE_NATIONAL_0485,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,既存Vegaイベント保持＋ベガ遺産の守護者救済,,UNLOCK_SPECIAL_ARCHIVE,Lv.70,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0485,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE,special master vega_existing=yes; Tohoku exact script entry audit required; Kanto host JSON verified,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_NATIONAL_0489,SPECIES_KEY_PHIONE,404,フィオネ,REQUIRED_BASE,ROUTE_0404_PHIONE,,KANTO,K38,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,97,87,OBJECT_REUSE,HOST_ALOLA_LIGHT,1,8,18,1,BREEDING_OR_RESEARCH_EGG,マナフィ繁殖を正規経路、研究タマゴをbox詰み救済,SPECIES_KEY_MANAPHY,UNLOCK_HALL_OF_FAME,EGG,REPEATABLE; first registration protected,NON_MISSABLE,NOT_APPLICABLE,PC_THEN_SHARED_EGG_QUEUE,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_NATIONAL_0489,READY_TO_INTEGRATE,READY_TO_SERIALIZE,special master + breeding fallback design,P0,外部配信に依存しない。親個体が消失しない。
COLLECTION_NATIONAL_0490,SPECIES_KEY_MANAPHY,405,マナフィ,REQUIRED_BASE,ROUTE_0405_MANAPHY,FALLBACK_KANTO_RESCUE_NATIONAL_0490,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,既存Vegaイベント保持＋ベガ遺産の守護者救済,,UNLOCK_SPECIAL_ARCHIVE,Lv.70,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0490,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE,special master vega_existing=yes; Tohoku exact script entry audit required; Kanto host JSON verified,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_VEGA_0406,SPECIES_KEY_VEGA_406,406,オルディナ,REQUIRED_VEGA_ORIGINAL,ROUTE_0406_VEGA_406,FALLBACK_KANTO_VEGA_0406,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,GIFT,ギンノとの会話後、チャンピオンロード拡張B6F,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0406,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_NATIONAL_0380,SPECIES_KEY_LATIAS,407,ラティアス,REQUIRED_BASE,ROUTE_0407_LATIAS,FALLBACK_KANTO_RESCUE_NATIONAL_0380,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,既存Vegaイベント保持＋ベガ遺産の守護者救済,,UNLOCK_SPECIAL_ARCHIVE,Lv.70,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0380,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE,special master vega_existing=yes; Tohoku exact script entry audit required; Kanto host JSON verified,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_NATIONAL_0381,SPECIES_KEY_LATIOS,408,ラティオス,REQUIRED_BASE,ROUTE_0408_LATIOS,FALLBACK_KANTO_RESCUE_NATIONAL_0381,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,既存Vegaイベント保持＋ベガ遺産の守護者救済,,UNLOCK_SPECIAL_ARCHIVE,Lv.70,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0381,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,READY_TO_SERIALIZE,special master vega_existing=yes; Tohoku exact script entry audit required; Kanto host JSON verified,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_VEGA_0409,SPECIES_KEY_VEGA_409,409,オルマリア,REQUIRED_VEGA_ORIGINAL,ROUTE_0409_VEGA_409,FALLBACK_KANTO_VEGA_0409,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,EVOLUTION,なつき進化,SPECIES_KEY_VEGA_406,UNLOCK_EVOLUTION_GLOBAL,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0409,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。 進化元=SPECIES_KEY_VEGA_406。
COLLECTION_VEGA_0410,SPECIES_KEY_VEGA_410,410,アスフィア,REQUIRED_VEGA_ORIGINAL,ROUTE_0410_VEGA_410,FALLBACK_KANTO_VEGA_0410,TOHOKU+KANTO,K42,KANTO_INDOOR_INDIGO_PLATEAU_POKEMON_CENTER_1_F,98,80,OBJECT_REUSE,HOST_LEGACY_ARCHIVE,3,7,14,3,FIXED_CAPTURE,殿堂入り後、スフィア遺跡裏口B9F,,UNLOCK_SPECIAL_ARCHIVE,LEGACY_VALUE_PRESERVED,ONE_REGISTRATION; failure retryable; Kanto rescue once,NON_MISSABLE,ROLLBACK_PENDING; legacy flag must not be committed on defeat/escape,PC_THEN_NO_COMMIT,NO_CONSUME_NO_LEDGER_WRITE,NOT_REQUIRED,SHARED_CAPTURE_KEY_VEGA_0410,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED_WITH_READY_KANTO_FALLBACK,READY_TO_SERIALIZE,legacy acquisition references + exact Kanto fallback host; Tohoku coords/script entry unverified,P0,既存Vega routeをprimary semanticとして保持。releaseはKanto fallbackのみemit可能。
COLLECTION_NATIONAL_0377,SPECIES_KEY_REGIROCK,640,レジロック,REQUIRED_BASE,ROUTE_0640_REGIROCK,,KANTO,K27,KANTO_DUNGEON_MT_MOON_B2_F,97,3,OBJECT_REUSE,HOST_ANCIENT_GIANTS,1,13,7,3,FIXED_CAPTURE,古代巨人の封印,,UNLOCK_HALL_OF_FAME,Lv.75,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0377,READY_TO_INTEGRATE,READY_TO_SERIALIZE,special master + exact Kanto host JSON + data-driven event runtime,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_NATIONAL_0378,SPECIES_KEY_REGICE,641,レジアイス,REQUIRED_BASE,ROUTE_0641_REGICE,,KANTO,K27,KANTO_DUNGEON_MT_MOON_B2_F,97,3,OBJECT_REUSE,HOST_ANCIENT_GIANTS,1,13,7,3,FIXED_CAPTURE,古代巨人の封印,,UNLOCK_HALL_OF_FAME,Lv.75,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0378,READY_TO_INTEGRATE,READY_TO_SERIALIZE,special master + exact Kanto host JSON + data-driven event runtime,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
COLLECTION_NATIONAL_0379,SPECIES_KEY_REGISTEEL,642,レジスチル,REQUIRED_BASE,ROUTE_0642_REGISTEEL,,KANTO,K27,KANTO_DUNGEON_MT_MOON_B2_F,97,3,OBJECT_REUSE,HOST_ANCIENT_GIANTS,1,13,7,3,FIXED_CAPTURE,古代巨人の封印,,UNLOCK_HALL_OF_FAME,Lv.75,ONE_CAPTURE; defeat/escape/cancel/reset retryable,NON_MISSABLE,ROLLBACK_PENDING; reappear after map reload,capture goes through normal box; gift uses party then PC,capture battle not started / gift not consumed when storage unavailable,せいたいレーダーの朝昼／夜固定を使用,SHARED_CAPTURE_KEY_NATIONAL_0379,READY_TO_INTEGRATE,READY_TO_SERIALIZE,special master + exact Kanto host JSON + data-driven event runtime,P0,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
