national_no,species_key,canonical_id,display_name,group,vega_existing,source_event_arc,new_event_arc,event_key,host_key,entry_type,prerequisite_species_key,capture_level,unlock_key,condition_expression,shared_capture_key,repeatability,defeat_escape_policy,party_box_policy,current_rom_evidence,primary_route_policy,physical_status,runtime_status,dialogue_key,acceptance_test_prefix,notes
251,SPECIES_KEY_CELEBI,552,セレビィ,幻,no,時渡りの庭,ARC_JOHTO_TIME,EVENT_SPECIAL_NATIONAL_0251,HOST_JOHTO_TIME,CAPTURE,,80,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋ときのかけら3個),SHARED_CAPTURE_KEY_NATIONAL_0251,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EXACT_WILD_OR_ECOLOGY:ROM_WILD:96/3:K43:FISHING:Lv95-100; ROM_WILD:96/3:K43:LAND:Lv95-100; ROM_WILD:97/72:K43:FISHING:Lv95-100; ROM_WILD:97/72:K43:LAND:Lv95-100; ROM_WILD:97/73:K43:FISHING:Lv95-100; ROM_WILD:97/73:K43:LAND:Lv95-100; ROM_WILD:97/74:K43:FISHING:Lv95-100; ROM_WILD:97/74:K43:LAND:Lv95-100,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0251,TEST_EVENT_SPECIAL_NATIONAL_0251,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
377,SPECIES_KEY_REGIROCK,640,レジロック,伝説,no,古代巨人の封印,ARC_ANCIENT_GIANTS,EVENT_SPECIAL_NATIONAL_0377,HOST_ANCIENT_GIANTS,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋点字石板3枚),SHARED_CAPTURE_KEY_NATIONAL_0377,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0377,TEST_EVENT_SPECIAL_NATIONAL_0377,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
378,SPECIES_KEY_REGICE,641,レジアイス,伝説,no,古代巨人の封印,ARC_ANCIENT_GIANTS,EVENT_SPECIAL_NATIONAL_0378,HOST_ANCIENT_GIANTS,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋点字石板3枚),SHARED_CAPTURE_KEY_NATIONAL_0378,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0378,TEST_EVENT_SPECIAL_NATIONAL_0378,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
379,SPECIES_KEY_REGISTEEL,642,レジスチル,伝説,no,古代巨人の封印,ARC_ANCIENT_GIANTS,EVENT_SPECIAL_NATIONAL_0379,HOST_ANCIENT_GIANTS,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋点字石板3枚),SHARED_CAPTURE_KEY_NATIONAL_0379,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0379,TEST_EVENT_SPECIAL_NATIONAL_0379,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
380,SPECIES_KEY_LATIAS,407,ラティアス,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0380,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0380,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0380,TEST_EVENT_SPECIAL_NATIONAL_0380,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
381,SPECIES_KEY_LATIOS,408,ラティオス,伝説,yes,ベガ既存イベント保持,ARC_LEGACY_GUARDIANS,EVENT_SPECIAL_NATIONAL_0381,HOST_LEGACY_ARCHIVE,CAPTURE,,70,UNLOCK_SPECIAL_ARCHIVE,UNLOCK_SPECIAL_ARCHIVE AND (既存条件),SHARED_CAPTURE_KEY_NATIONAL_0381,原則1回／救済再戦あり,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,LEGACY_PRIMARY_KANTO_RESCUE,READY_TO_SERIALIZE,SCRIPT_PRESENT_ENTRY_UNVERIFIED_WITH_READY_KANTO_RESCUE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0381,TEST_EVENT_SPECIAL_NATIONAL_0381,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
382,SPECIES_KEY_KYOGRE,643,カイオーガ,伝説,no,海・陸・空の共鳴,ARC_HOENN_RESONANCE,EVENT_SPECIAL_NATIONAL_0382,HOST_HOENN_SPACE,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋各島の環境調査),SHARED_CAPTURE_KEY_NATIONAL_0382,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0382,TEST_EVENT_SPECIAL_NATIONAL_0382,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
383,SPECIES_KEY_GROUDON,644,グラードン,伝説,no,海・陸・空の共鳴,ARC_HOENN_RESONANCE,EVENT_SPECIAL_NATIONAL_0383,HOST_HOENN_SPACE,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋各島の環境調査),SHARED_CAPTURE_KEY_NATIONAL_0383,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0383,TEST_EVENT_SPECIAL_NATIONAL_0383,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
384,SPECIES_KEY_RAYQUAZA,645,レックウザ,伝説,no,海・陸・空の共鳴,ARC_HOENN_RESONANCE,EVENT_SPECIAL_NATIONAL_0384,HOST_HOENN_SPACE,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋各島の環境調査),SHARED_CAPTURE_KEY_NATIONAL_0384,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0384,TEST_EVENT_SPECIAL_NATIONAL_0384,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
385,SPECIES_KEY_JIRACHI,646,ジラーチ,幻,no,星の祈り,ARC_HOENN_RESONANCE,EVENT_SPECIAL_NATIONAL_0385,HOST_HOENN_SPACE,CAPTURE,,80,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋ほしのかけら7個),SHARED_CAPTURE_KEY_NATIONAL_0385,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0385,TEST_EVENT_SPECIAL_NATIONAL_0385,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
386,SPECIES_KEY_DEOXYS,647,デオキシス,幻,no,隕石DNA,ARC_HOENN_RESONANCE,EVENT_SPECIAL_NATIONAL_0386,HOST_HOENN_SPACE,CAPTURE,,80,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋いんせき入手),SHARED_CAPTURE_KEY_NATIONAL_0386,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0386,TEST_EVENT_SPECIAL_NATIONAL_0386,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
480,SPECIES_KEY_UXIE,743,ユクシー,伝説,no,湖の記憶,ARC_SINNOH_RIFT,EVENT_SPECIAL_NATIONAL_0480,HOST_LAKE_RIFT,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋三湖の調査),SHARED_CAPTURE_KEY_NATIONAL_0480,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0480,TEST_EVENT_SPECIAL_NATIONAL_0480,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
481,SPECIES_KEY_MESPRIT,744,エムリット,伝説,no,湖の記憶,ARC_SINNOH_RIFT,EVENT_SPECIAL_NATIONAL_0481,HOST_LAKE_RIFT,CAPTURE,,75,UNLOCK_HALL_OF_FAME,UNLOCK_HALL_OF_FAME AND (殿堂入り＋三湖の調査),SHARED_CAPTURE_KEY_NATIONAL_0481,1回／倒した場合は殿堂入り再更新で復活,ledger未commit。map再読込または同端末再選択で再戦。,捕獲は通常box、gift/eggはparty→PC→queue。全満杯時は未消費。,EVENT_ENTRY_NOT_AUDITED,KANTO_THEMED_EVENT_PRIMARY,READY_TO_SERIALIZE,READY_TO_INTEGRATE,DIALOGUE_EVENT_SPECIAL_NATIONAL_0481,TEST_EVENT_SPECIAL_NATIONAL_0481,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
