collection_key,species_key,canonical_id,display_name,target_status,primary_route_key,fallback_route_key,region,logical_location_key,physical_map_key,group_id,map_id,host_kind,host_key,host_local_id_or_bg_index,x,y,elevation,method,method_detail,prerequisite_species_key,unlock_key,level_or_egg,repeatability,missable_policy,defeat_policy,party_full_policy,box_full_policy,rtc_fallback,shared_capture_key,runtime_status,physical_status,evidence,implementation_priority,notes
COLLECTION_NATIONAL_0276,SPECIES_KEY_TAILLOW,10,スバメ,REQUIRED_BASE,ROUTE_0010_TAILLOW,FALLBACK_DIRECT_0010,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_03_019,3,19,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.2,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv2-2,P2,other verified sources: ROM_WILD:3/32:VEGA_NATIVE:WATER:Lv2-2; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:3/19:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-7; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:3/36:VEGA_NATIVE:LAND:Lv13-14; ROM_WILD:3/37:VEGA_NATIVE:LAND:Lv13-14; ROM_WILD:3/37:VEGA_NATIVE:LAND:Lv15-15; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv22-22; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv23-23; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv29-30; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv31-31; ROM_WILD:96/36:K24:FISHING:Lv74-79; ROM_WILD:96/36:K24:LAND:Lv74-79; ROM_WILD:96/36:K24:ROCK:Lv74-79; ROM_WILD:96/36:K24:WATER:Lv74-79
COLLECTION_NATIONAL_0277,SPECIES_KEY_SWELLOW,11,オオスバメ,REQUIRED_BASE,ROUTE_0011_SWELLOW,FALLBACK_DIRECT_0011,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_03_032,3,32,WILD_HEADER,,,,,,WILD_TABLE,ROCK,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.2,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/32:VEGA_NATIVE:ROCK:Lv2-2,P2,other verified sources: ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv23-23; ROM_WILD:1/0:VEGA_NATIVE:LAND:Lv24-24; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv31-31
COLLECTION_NATIONAL_0447,SPECIES_KEY_RIOLU,12,リオル,REQUIRED_BASE,ROUTE_0012_RIOLU,FALLBACK_DIRECT_0012,KANTO,K42,KANTO_OUTDOOR_INDIGO_PLATEAU_EXTERIOR,96,9,WILD_HEADER,,,,,,WILD_TABLE,FISHING,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.94-100,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:96/9:K42:FISHING:Lv94-100,P2,other verified sources: ROM_WILD:96/9:K42:LAND:Lv94-100; ROM_WILD:96/9:K42:ROCK:Lv94-100; ROM_WILD:96/9:K42:WATER:Lv94-100; ROM_WILD:97/39:K42:FISHING:Lv94-100; ROM_WILD:97/39:K42:LAND:Lv94-100; ROM_WILD:97/39:K42:ROCK:Lv94-100; ROM_WILD:97/39:K42:WATER:Lv94-100; ROM_WILD:97/40:K42:FISHING:Lv94-100; ROM_WILD:97/40:K42:LAND:Lv94-100; ROM_WILD:97/40:K42:ROCK:Lv94-100; ROM_WILD:97/40:K42:WATER:Lv94-100; ROM_WILD:97/41:K42:FISHING:Lv94-100; ROM_WILD:97/41:K42:LAND:Lv94-100; ROM_WILD:97/41:K42:ROCK:Lv94-100; ROM_WILD:97/41:K42:WATER:Lv94-100; ROM_WILD:97/75:K42:FISHING:Lv94-100; ROM_WILD:97/75:K42:LAND:Lv94-100; ROM_WILD:97/75:K42:ROCK:Lv94-100; ROM_WILD:97/75:K42:WATER:Lv94-100; ROM_WILD:97/76:K42:FISHING:Lv94-100; ROM_WILD:97/76:K42:LAND:Lv94-100; ROM_WILD:97/76:K42:ROCK:Lv94-100; ROM_WILD:97/76:K42:WATER:Lv94-100; ROM_WILD:97/77:K42:FISHING:Lv94-100; ROM_WILD:97/77:K42:LAND:Lv94-100; ROM_WILD:97/77:K42:ROCK:Lv94-100; ROM_WILD:97/77:K42:WATER:Lv94-100; ROM_WILD:97/78:K42:FISHING:Lv94-100; ROM_WILD:97/78:K42:LAND:Lv94-100; ROM_WILD:97/78:K42:ROCK:Lv94-100; ROM_WILD:97/78:K42:WATER:Lv94-100; ROM_WILD:97/79:K42:FISHING:Lv94-100; ROM_WILD:97/79:K42:LAND:Lv94-100; ROM_WILD:97/79:K42:ROCK:Lv94-100; ROM_WILD:97/79:K42:WATER:Lv94-100; ROM_WILD:97/80:K42:FISHING:Lv94-100; ROM_WILD:97/80:K42:LAND:Lv94-100; ROM_WILD:97/80:K42:ROCK:Lv94-100; ROM_WILD:97/80:K42:WATER:Lv94-100
COLLECTION_NATIONAL_0448,SPECIES_KEY_LUCARIO,13,ルカリオ,REQUIRED_BASE,ROUTE_0013_LUCARIO,FALLBACK_DIRECT_0013,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_00_000,0,0,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.7,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv7-7,P2,other verified sources: ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8
COLLECTION_NATIONAL_0228,SPECIES_KEY_HOUNDOUR,14,デルビル,REQUIRED_BASE,ROUTE_0014_HOUNDOUR,FALLBACK_DIRECT_0014,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_03_021,3,21,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.6,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv6-6,P2,other verified sources: ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv6-6; ROM_WILD:3/21:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:3/23:VEGA_NATIVE:LAND:Lv7-8; ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:3/23:VEGA_NATIVE:LAND:Lv9-10; ROM_WILD:3/44:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:1/31:VEGA_NATIVE:LAND:Lv35-36; ROM_WILD:17/0:VEGA_NATIVE:LAND:Lv35-36; ROM_WILD:20/0:VEGA_NATIVE:LAND:Lv35-36; ROM_WILD:97/59:K39:LAND:Lv91-98; ROM_WILD:97/59:K39:ROCK:Lv91-98; ROM_WILD:97/59:K39:WATER:Lv91-98; ROM_WILD:97/60:K39:LAND:Lv91-98; ROM_WILD:97/60:K39:ROCK:Lv91-98; ROM_WILD:97/60:K39:WATER:Lv91-98; ROM_WILD:97/61:K39:LAND:Lv91-98; ROM_WILD:97/61:K39:ROCK:Lv91-98; ROM_WILD:97/61:K39:WATER:Lv91-98; ROM_WILD:97/62:K39:LAND:Lv91-98; ROM_WILD:97/62:K39:ROCK:Lv91-98; ROM_WILD:97/62:K39:WATER:Lv91-98
COLLECTION_NATIONAL_0229,SPECIES_KEY_HOUNDOOM,15,ヘルガー,REQUIRED_BASE,ROUTE_0015_HOUNDOOM,,GLOBAL,GLOBAL_EVOLUTION,,,,EVOLUTION_ENGINE,,,,,,EVOLUTION,レベルアップ＋Lv.24以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,SPECIES_KEY_HOUNDOUR,UNLOCK_EVOLUTION_GLOBAL,レベルアップ＋Lv.24以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,REPEATABLE_WHILE_SOURCE_AVAILABLE,NON_MISSABLE_IF_SUPPLY_VALIDATED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,audit evolution_supply_routes.csv,,ROM_EVOLUTION_EDGE_VERIFIED_TRIGGER_SUPPLY_AUDIT_REQUIRED,GLOBAL_RUNTIME,analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; predecessor canonical id 14; evolution root 0x09F79290,P1,edge存在だけを完全入手扱いしない。全条件供給のexact-ROM試験が必要。
COLLECTION_NATIONAL_0050,SPECIES_KEY_DIGLETT,16,ディグダ,REQUIRED_BASE,ROUTE_0016_DIGLETT,FALLBACK_DIRECT_0016,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_01_073,1,73,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.6,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv6-6,P2,other verified sources: ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv7-7; ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv8-8; ROM_WILD:1/73:VEGA_NATIVE:LAND:Lv9-9; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv11-11; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv13-13; ROM_WILD:1/82:VEGA_NATIVE:LAND:Lv18-18; ROM_WILD:1/81:VEGA_NATIVE:LAND:Lv19-19; ROM_WILD:1/82:VEGA_NATIVE:LAND:Lv19-19; ROM_WILD:1/82:VEGA_NATIVE:LAND:Lv20-20; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv32-33; ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv33-34; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/39:VEGA_NATIVE:LAND:Lv42-43; ROM_WILD:1/40:VEGA_NATIVE:LAND:Lv43-44; ROM_WILD:1/39:VEGA_NATIVE:LAND:Lv44-44; ROM_WILD:97/36:K28:FISHING:Lv76-83; ROM_WILD:97/36:K28:LAND:Lv76-83; ROM_WILD:97/36:K28:ROCK:Lv76-83; ROM_WILD:97/36:K28:WATER:Lv76-83; ROM_WILD:97/37:K28:FISHING:Lv76-83; ROM_WILD:97/37:K28:LAND:Lv76-83; ROM_WILD:97/37:K28:ROCK:Lv76-83; ROM_WILD:97/37:K28:WATER:Lv76-83; ROM_WILD:97/38:K28:FISHING:Lv76-83; ROM_WILD:97/38:K28:LAND:Lv76-83; ROM_WILD:97/38:K28:ROCK:Lv76-83; ROM_WILD:97/38:K28:WATER:Lv76-83
COLLECTION_NATIONAL_0051,SPECIES_KEY_DUGTRIO,17,ダグトリオ,REQUIRED_BASE,ROUTE_0017_DUGTRIO,FALLBACK_DIRECT_0017,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_01_001,1,1,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.34,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv34-34,P2,other verified sources: ROM_WILD:1/2:VEGA_NATIVE:LAND:Lv34-35; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv34-34; ROM_WILD:1/1:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv35-35; ROM_WILD:1/53:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/54:VEGA_NATIVE:LAND:Lv36-36; ROM_WILD:1/39:VEGA_NATIVE:LAND:Lv43-44; ROM_WILD:1/40:VEGA_NATIVE:LAND:Lv44-45; ROM_WILD:1/41:VEGA_NATIVE:LAND:Lv45-46
COLLECTION_NATIONAL_0175,SPECIES_KEY_TOGEPI,18,トゲピー,REQUIRED_BASE,ROUTE_0018_TOGEPI,FALLBACK_DIRECT_0018,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_03_020,3,20,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.3,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv3-3,P2,other verified sources: ROM_WILD:3/20:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:3/36:VEGA_NATIVE:LAND:Lv13-13; ROM_WILD:1/66:VEGA_NATIVE:LAND:Lv20-23; ROM_WILD:1/66:VEGA_NATIVE:LAND:Lv24-25; ROM_WILD:3/35:VEGA_NATIVE:LAND:Lv30-30; ROM_WILD:96/14:K03:FISHING:Lv71-75; ROM_WILD:96/14:K03:LAND:Lv71-75; ROM_WILD:96/14:K03:ROCK:Lv71-75
COLLECTION_NATIONAL_0176,SPECIES_KEY_TOGETIC,19,トゲチック,REQUIRED_BASE,ROUTE_0019_TOGETIC,FALLBACK_DIRECT_0019,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_00_000,0,0,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.2,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv2-2,P2,other verified sources: ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv3-3; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv4-4; ROM_WILD:0/0:VEGA_NATIVE:LAND:Lv5-5; ROM_WILD:1/114:VEGA_NATIVE:LAND:Lv75-83
COLLECTION_NATIONAL_0468,SPECIES_KEY_TOGEKISS,20,トゲキッス,REQUIRED_BASE,ROUTE_0020_TOGEKISS,,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_01_114,1,114,WILD_HEADER,,,,,,WILD_TABLE,LAND,,UNLOCK_EXISTING_MAP_PROGRESSION,Lv.78-86,REPEATABLE_WILD,NON_MISSABLE,normal wild encounter,normal capture storage,normal capture failure/no duplicate,ecology radar fixed mode when source condition is time-based,,ROM_REACHABLE_VERIFIED,EXISTING_ROM_VERIFIED,ROM_WILD:1/114:VEGA_NATIVE:LAND:Lv78-86,P2,other verified sources:
