collection_key,species_key,canonical_id,display_name,national_no,vega_internal_id,base_or_form,target_status,completion_weight,route_required,is_official,family_key,form_key,source_classification,current_audit_class,exclusion_reason,evidence,notes
COLLECTION_NATIONAL_0276,SPECIES_KEY_TAILLOW,10,スバメ,276,10,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0138,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0277,SPECIES_KEY_SWELLOW,11,オオスバメ,277,11,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0138,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0447,SPECIES_KEY_RIOLU,12,リオル,447,12,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0232,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0448,SPECIES_KEY_LUCARIO,13,ルカリオ,448,13,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0232,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0228,SPECIES_KEY_HOUNDOUR,14,デルビル,228,14,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0118,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0229,SPECIES_KEY_HOUNDOOM,15,ヘルガー,229,15,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0118,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0050,SPECIES_KEY_DIGLETT,16,ディグダ,50,16,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0021,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0051,SPECIES_KEY_DUGTRIO,17,ダグトリオ,51,17,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0021,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0175,SPECIES_KEY_TOGEPI,18,トゲピー,175,18,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0087,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0176,SPECIES_KEY_TOGETIC,19,トゲチック,176,19,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0087,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0468,SPECIES_KEY_TOGEKISS,20,トゲキッス,468,20,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0087,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0021,SPECIES_KEY_VEGA_021,21,フロン,,21,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0021,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0022,SPECIES_KEY_VEGA_022,22,フロルル,,22,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0022,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0023,SPECIES_KEY_VEGA_023,23,フローリア,,23,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0023,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_NATIONAL_0172,SPECIES_KEY_PICHU,24,ピチュー,172,24,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0010,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0025,SPECIES_KEY_PIKACHU,25,ピカチュウ,25,25,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0010,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0026,SPECIES_KEY_RAICHU,26,ライチュウ,26,26,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0010,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0027,SPECIES_KEY_VEGA_027,27,ゴリチュウ,,27,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0027,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_NATIONAL_0227,SPECIES_KEY_SKARMORY,28,エアームド,227,28,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0117,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0029,SPECIES_KEY_NIDORAN_F,29,ニドラン♀,29,29,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0012,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0030,SPECIES_KEY_NIDORINA,30,ニドリーナ,30,30,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0012,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0031,SPECIES_KEY_NIDOQUEEN,31,ニドクイン,31,31,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0012,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0032,SPECIES_KEY_NIDORAN_M,32,ニドラン♂,32,32,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0013,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0033,SPECIES_KEY_NIDORINO,33,ニドリーノ,33,33,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0013,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0034,SPECIES_KEY_NIDOKING,34,ニドキング,34,34,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0013,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0418,SPECIES_KEY_BUIZEL,35,ブイゼル,418,35,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0216,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0419,SPECIES_KEY_FLOATZEL,36,フローゼル,419,36,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0216,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0037,SPECIES_KEY_VEGA_037,37,ララベリー,,37,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0037,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0038,SPECIES_KEY_VEGA_038,38,セラーナ,,38,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0038,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_NATIONAL_0204,SPECIES_KEY_PINECO,39,クヌギダマ,204,39,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0102,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0205,SPECIES_KEY_FORRETRESS,40,フォレトス,205,40,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0102,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0090,SPECIES_KEY_SHELLDER,41,シェルダー,90,41,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0039,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0091,SPECIES_KEY_CLOYSTER,42,パルシェン,91,42,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0039,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0043,SPECIES_KEY_VEGA_043,43,マホース,,43,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0043,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0044,SPECIES_KEY_VEGA_044,44,ペガーン,,44,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0044,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0045,SPECIES_KEY_VEGA_045,45,ユニサス,,45,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0045,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_NATIONAL_0236,SPECIES_KEY_TYROGUE,46,バルキー,236,46,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0047,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0106,SPECIES_KEY_HITMONLEE,47,サワムラー,106,47,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0047,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0107,SPECIES_KEY_HITMONCHAN,48,エビワラー,107,48,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0047,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0237,SPECIES_KEY_HITMONTOP,49,カポエラー,237,49,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0047,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0050,SPECIES_KEY_VEGA_050,50,ライノス,,50,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0050,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0051,SPECIES_KEY_VEGA_051,51,メタゲラス,,51,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0051,,VEGA_ORIGINAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_NATIONAL_0359,SPECIES_KEY_ABSOL,52,アブソル,359,52,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0185,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0053,SPECIES_KEY_VEGA_053,53,ディザソル,,53,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0053,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_NATIONAL_0203,SPECIES_KEY_GIRAFARIG,54,キリンリキ,203,54,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0101,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0055,SPECIES_KEY_VEGA_055,55,フォリキー,,55,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0055,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0056,SPECIES_KEY_VEGA_056,56,バーニン,,56,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0056,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0057,SPECIES_KEY_VEGA_057,57,ファントマ,,57,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0057,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_NATIONAL_0081,SPECIES_KEY_MAGNEMITE,58,コイル,81,58,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0034,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0082,SPECIES_KEY_MAGNETON,59,レアコイル,82,59,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0034,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0462,SPECIES_KEY_MAGNEZONE,60,ジバコイル,462,60,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0034,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0120,SPECIES_KEY_STARYU,61,ヒトデマン,120,61,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0056,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0121,SPECIES_KEY_STARMIE,62,スターミー,121,62,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0056,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0092,SPECIES_KEY_GASTLY,63,ゴース,92,63,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0040,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0093,SPECIES_KEY_HAUNTER,64,ゴースト,93,64,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0040,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0094,SPECIES_KEY_GENGAR,65,ゲンガー,94,65,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0040,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0102,SPECIES_KEY_EXEGGCUTE,66,タマタマ,102,66,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0045,,VEGA_DPE_CANONICAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_NATIONAL_0103,SPECIES_KEY_EXEGGUTOR,67,ナッシー,103,67,BASE,REQUIRED_BASE,1,yes,true,OFFICIAL_CHAIN_0045,,VEGA_DPE_CANONICAL,EXISTING_ROM_EVOLUTION_EDGE_TRIGGER_AUDIT,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv,
COLLECTION_VEGA_0068,SPECIES_KEY_VEGA_068,68,テディ,,68,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0068,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
COLLECTION_VEGA_0069,SPECIES_KEY_VEGA_069,69,ググズリー,,69,BASE,REQUIRED_VEGA_ORIGINAL,1,yes,false,VEGA_INTERNAL_FAMILY_0069,,VEGA_ORIGINAL,EXISTING_ROM_WILD_OR_ECOLOGY,,snapshot/manifests/species_ids.csv; analysis/CURRENT_ACQUISITION_COVERAGE_1231.csv; analysis/VEGA_ORIGINAL_COLLECTION_TARGET_REVIEW_206.csv,
