host_key,physical_map_key,group_id,map_id,logical_location_key,event_kind,local_id_or_bg_index,x,y,elevation,graphics_id,movement_type,script_before,script_after,object_count_before,object_count_after,object_delta,collision_or_reuse_evidence,status,source_json,notes
HOST_KALOS_BALANCE,KANTO_DUNGEON_VIRIDIAN_FOREST,97,0,K26,OBJECT_REUSE,1,29,58,3,OBJ_EVENT_GFX_YOUNGSTER,MOVEMENT_TYPE_FACE_UP,KANTO_DUNGEON_VIRIDIAN_FOREST_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_KALOS_BALANCE,11,11,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_VIRIDIAN_FOREST.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_KITAKAMI_MASK,KANTO_DUNGEON_VIRIDIAN_FOREST,97,0,K26,OBJECT_REUSE,2,45,58,3,OBJ_EVENT_GFX_BOY,MOVEMENT_TYPE_FACE_LEFT,KANTO_DUNGEON_VIRIDIAN_FOREST_OBJECT_02_STUB,ACQ_HOST_SCRIPT_HOST_KITAKAMI_MASK,11,11,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_VIRIDIAN_FOREST.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_ALOLA_LIGHT,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,97,87,K38,OBJECT_REUSE,1,8,18,1,OBJ_EVENT_GFX_PUSHABLE_BOULDER,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_ALOLA_LIGHT,4,4,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_ULTRA_BREACH,KANTO_DUNGEON_SILPH_CO_7_F,97,53,K41,OBJECT_REUSE,1,2,6,3,OBJ_EVENT_GFX_BLUE,MOVEMENT_TYPE_FACE_UP,KANTO_DUNGEON_SILPH_CO_7_F_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_ULTRA_BREACH,11,11,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_SILPH_CO_7_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_GALAR_CROWN,KANTO_DUNGEON_VICTORY_ROAD_3_F,97,41,K42,OBJECT_REUSE,1,40,7,3,OBJ_EVENT_GFX_COOLTRAINER_M,MOVEMENT_TYPE_FACE_LEFT,KANTO_DUNGEON_VICTORY_ROAD_3_F_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_GALAR_CROWN,12,12,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_VICTORY_ROAD_3_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_RUINOUS_SEALS,KANTO_DUNGEON_POKEMON_TOWER_5_F,97,92,K31,OBJECT_REUSE,5,12,8,3,OBJ_EVENT_GFX_CHANNELER,MOVEMENT_TYPE_FACE_RIGHT,KANTO_DUNGEON_POKEMON_TOWER_5_F_OBJECT_05_STUB,ACQ_HOST_SCRIPT_HOST_RUINOUS_SEALS,7,7,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_POKEMON_TOWER_5_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_FUTURE_CORE,KANTO_DUNGEON_POWER_PLANT,97,95,K40,OBJECT_REUSE,1,7,27,3,OBJ_EVENT_GFX_ITEM_BALL,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_POWER_PLANT_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_FUTURE_CORE,8,8,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_POWER_PLANT.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_AREA_ZERO,KANTO_DUNGEON_CERULEAN_CAVE_B1_F,97,74,K43,OBJECT_REUSE,1,31,9,4,OBJ_EVENT_GFX_ITEM_BALL,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_CERULEAN_CAVE_B1_F_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_AREA_ZERO,12,12,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_CERULEAN_CAVE_B1_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_FINAL_CREATION,KANTO_OUTDOOR_INDIGO_PLATEAU_EXTERIOR,96,9,K42,OBJECT_REUSE,2,11,6,0,OBJ_EVENT_GFX_PROF_OAK,MOVEMENT_TYPE_FACE_DOWN,KANTO_OUTDOOR_INDIGO_PLATEAU_EXTERIOR_OBJECT_02_STUB,ACQ_HOST_SCRIPT_HOST_FINAL_CREATION,2,2,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_OUTDOOR_INDIGO_PLATEAU_EXTERIOR.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_HOENN_SPACE,KANTO_DUNGEON_POKEMON_MANSION_B1_F,97,62,K39,OBJECT_REUSE,3,34,13,3,OBJ_EVENT_GFX_SCIENTIST,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_POKEMON_MANSION_B1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_HOENN_SPACE,6,6,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_POKEMON_MANSION_B1_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_JOHTO_TIME,KANTO_OUTDOOR_ROUTE25,96,37,K25,OBJECT_REUSE,1,11,4,3,OBJ_EVENT_GFX_HIKER,MOVEMENT_TYPE_FACE_RIGHT,KANTO_OUTDOOR_ROUTE25_OBJECT_01_STUB,ACQ_HOST_SCRIPT_HOST_JOHTO_TIME,13,13,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_OUTDOOR_ROUTE25.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_MISC_NATURE,KANTO_OUTDOOR_CELADON_CITY,96,6,K33,OBJECT_REUSE,2,38,14,3,OBJ_EVENT_GFX_FAT_MAN,MOVEMENT_TYPE_FACE_LEFT,KANTO_OUTDOOR_CELADON_CITY_OBJECT_02_STUB,ACQ_HOST_SCRIPT_HOST_MISC_NATURE,15,15,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_OUTDOOR_CELADON_CITY.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_ICONIC_ZAPDOS,KANTO_DUNGEON_POWER_PLANT,97,95,K40,OBJECT_REUSE,6,5,11,3,OBJ_EVENT_GFX_ZAPDOS,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_POWER_PLANT_OBJECT_06_STUB,ACQ_HOST_SCRIPT_HOST_ICONIC_ZAPDOS,8,8,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_POWER_PLANT.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_ICONIC_ARTICUNO,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,97,87,K38,OBJECT_REUSE,3,9,2,4,OBJ_EVENT_GFX_ARTICUNO,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_ICONIC_ARTICUNO,4,4,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_ICONIC_MEWTWO,KANTO_DUNGEON_CERULEAN_CAVE_B1_F,97,74,K43,OBJECT_REUSE,3,7,12,3,OBJ_EVENT_GFX_MEWTWO,MOVEMENT_TYPE_FACE_DOWN,KANTO_DUNGEON_CERULEAN_CAVE_B1_F_OBJECT_03_STUB,ACQ_HOST_SCRIPT_HOST_ICONIC_MEWTWO,12,12,0,既存OBJECT_REUSEのscript stubだけを置換。object追加なし。座標はsource JSONと一致。,READY_TO_SERIALIZE,evidence/generated_maps/kanto/KANTO_DUNGEON_CERULEAN_CAVE_B1_F.json,release emitterはこの行だけを対象にする。raw script pointerは既存symbol resolverが解決。
HOST_TOHOKU_LEGACY_EVENT_AUDIT,,,,VEGA_LEGACY_EVENT_LOCATIONS,EXISTING_SCRIPT_ENTRY_AUDIT,,,,,,,,,,,,ROM未添付。既存map script/object/event pointerをexact-ROMから抽出する必要あり。,PHYSICAL_COORD_AUDIT_REQUIRED,,READY_TO_SERIALIZEへ昇格させるまでrelease emitterから除外。
