feature_key,capability_keys,classification,production_owner,entry_symbol,ui_owner,unlock_source,save_owner,serializer_owner,supply_owner,mgba_case
EXP_CANDY_XS_S,EXP_CANDY|QUANTITY_UI,LIVE_SUPPLY,QOL_PROD_CANDY_XS_S,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_DH_CLEAR,NONE_DERIVED,T19_STAGE36,SUPPLY_KEY_EXP_CANDY_XS|SUPPLY_KEY_EXP_CANDY_S,QOL_CANDY_QUANTITY
EXP_CANDY_M_ONCE,EXP_CANDY|QUANTITY_UI,LIVE_SUPPLY,QOL_PROD_CANDY_M_ONCE,VegaQolProduction_ClaimOneTimeReward,START_SELECT_REWARD_PANEL,VEGA_DH_CLEAR,QOL_CLAIM_BIT_ITEM_990,T19_STAGE36,SUPPLY_KEY_EXP_CANDY_M_ONCE,QOL_SUPPLY_ONCE
ABILITY_CAPSULE_MINTS,MINT_ABILITY_ITEMS,LIVE_SUPPLY,QOL_PROD_CAPSULE_MINTS,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_DH_CLEAR,NONE_DERIVED,T19_STAGE36,DH_SHOP_MINT_ABILITY,QOL_MINT_ABILITY
EV_RESET_ALL,QUANTITY_UI|MINT_ABILITY_ITEMS,LIVE_SERVICE,QOL_PROD_EV_RESET_ALL,VegaQolProduction_Dispatch,START_SELECT_QOL_PANEL,VEGA_DH_CLEAR,NONE_DERIVED,T19_STAGE36,SUPPLY_KEY_EV_RESET_ALL,QOL_EV_RESET_ALL
FIELD_PC,FIELD_PC,LIVE_ENGINE_UI,QOL_PROD_FIELD_PC,VegaQolProduction_StartMenuPanel,START_SELECT_QOL_PANEL,VEGA_DH_CLEAR,NONE_DERIVED,T19_STAGE36,QOL_SERVICE_FIELD_PC,QOL_FIELD_PC_CONTEXT
PC_HELD_ITEM_BULK,PC_HELD_ITEM_BULK,LIVE_ENGINE_UI,QOL_PROD_PC_HELD_BULK,VegaQolProduction_PssHandleInputAdapter,EXISTING_PC_LIST,VEGA_DH_CLEAR,QOL_VOLATILE_SELECTION,T19_STAGE36,QOL_SERVICE_PC,QOL_PC_ITEM_ATOMIC
AUTO_BATTLE,AUTO_BATTLE,LIVE_ENGINE_UI,QOL_PROD_AUTO_BATTLE,VegaQolProduction_HandleInputChooseActionAdapter,EXISTING_BATTLE,VEGA_DH_CLEAR,QOL_VOLATILE_BATTLE_TOKEN,T19_STAGE36,QOL_SERVICE_AUTO,QOL_AUTO_PROVENANCE
DESTINY_KNOT,MODERN_BREEDING,LIVE_SUPPLY,QOL_PROD_DESTINY_KNOT,VegaQolProduction_Dispatch,DAYCARE_EVENT_SERVICE_AND_SUPPLY_PANEL,KANTO_DAYCARE_QUEST,QOL_FLAG_DAYCARE_QUEST_AND_CLAIM_BIT_902,T19_STAGE36,DAYCARE_ONE_TIME_REWARD_AND_REPEATABLE_SUPPLY,QOL_DAYCARE_UNLOCK
EGG_BASKET,EGG_BASKET|EGG_PC_QUEUE,LIVE_ENGINE_UI,QOL_PROD_EGG_BASKET,VegaQolProduction_ShouldEggHatchAdapter,START_SELECT_QOL_PANEL,KANTO_DAYCARE_QUEST,QOL_FLAG_EGG_BASKET_AND_VAR_51FE,T19_STAGE36,QOL_SERVICE_EGG_BASKET,QOL_BASKET_255_256
OVAL_CHARM,MODERN_BREEDING,LIVE_SUPPLY,QOL_PROD_OVAL_CHARM,VegaQolProduction_ModifyBreedingScore,DAYCARE_EVENT,KANTO_DAYCARE_QUEST_OR_100_CAPTURE,QOL_FLAG_DAYCARE_QUEST_OR_DEX,T19_STAGE36,KANTO_DAYCARE_OR_CAPTURE_REWARD,QOL_OVAL_RNG
POWER_ITEMS,MINT_ABILITY_ITEMS,LIVE_SUPPLY,QOL_PROD_POWER_ITEMS,VegaQolProduction_ClaimOneTimeReward,START_SELECT_REWARD_AND_SUPPLY_PANEL,VEGA_BADGE_5,QOL_CLAIM_BIT_ITEM_856,T19_STAGE36,POWER_SET_ONE_TIME_AND_REPEATABLE_SUPPLY,QOL_SUPPLY_BOUNDARIES
EXP_CANDY_M_REPEAT,EXP_CANDY|QUANTITY_UI,LIVE_SUPPLY,QOL_PROD_CANDY_M_REPEAT,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_BADGE_6,NONE_DERIVED,T19_STAGE36,SUPPLY_KEY_EXP_CANDY_M_REPEAT,QOL_SUPPLY_REPEAT
EXP_CANDY_L_SILVER_CAP,EXP_CANDY|QUANTITY_UI|HYPER_TRAINING,LIVE_SUPPLY,QOL_PROD_CANDY_L_SILVER_CAP,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_BADGE_7,NONE_DERIVED,T19_STAGE36,SUPPLY_KEY_EXP_CANDY_L|SUPPLY_KEY_BOTTLE_CAP,QOL_HYPER_SILVER
ABILITY_PATCH_ALL_MINTS,MINT_ABILITY_ITEMS,LIVE_SUPPLY,QOL_PROD_PATCH_ALL_MINTS,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_BADGE_8,NONE_DERIVED,T19_STAGE36,SUPPLY_KEY_ABILITY_PATCH|BADGE8_MINT_SHOP,QOL_ABILITY_PATCH
EV_RESET_ITEMS,QUANTITY_UI|MINT_ABILITY_ITEMS,LIVE_SUPPLY,QOL_PROD_EV_RESET_ITEMS,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_BADGE_8,NONE_DERIVED,T19_STAGE36,SUPPLY_KEY_EV_RESET_ALL,QOL_EV_RESET_ITEMS
STANDARD_TRAINING_SHOP,EXP_CANDY|MINT_ABILITY_ITEMS|HYPER_TRAINING,LIVE_SUPPLY,QOL_PROD_TRAINING_SHOP,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_BADGE_8,NONE_DERIVED,T19_STAGE36,BADGE8_TRAINING_SHOP,QOL_TRAINING_SHOP
EXP_CANDY_XL_ONCE,EXP_CANDY|QUANTITY_UI,LIVE_SUPPLY,QOL_PROD_CANDY_XL_ONCE,VegaQolProduction_ClaimOneTimeReward,START_SELECT_REWARD_PANEL,VEGA_HALL_OF_FAME,QOL_CLAIM_BIT_ITEM_992,T19_STAGE36,SUPPLY_KEY_EXP_CANDY_XL_ONCE,QOL_XL_ONCE
RESEARCH_PROFILE,ENCOUNTER_PROFILE,LIVE_ENGINE_UI,QOL_PROD_RESEARCH_PROFILE,VegaQolProduction_TryGenerateWildMonAdapter,START_SELECT_QOL_PANEL,VEGA_HALL_OF_FAME,T08_LEDGER_ENCOUNTER_PROFILE,T19_STAGE36,RESEARCH_ENCOUNTER_MANIFEST,QOL_RESEARCH_NORMAL
TM_REUSE_LICENSE,TM_REUSE_LICENSE,LIVE_ENGINE_UI,QOL_PROD_TM_REUSE,VegaQolProduction_IsReusableTm,EXISTING_TM_USE,VEGA_HALL_OF_FAME,NONE_DERIVED,T19_STAGE36,QOL_SERVICE_TM_LICENSE,QOL_TM_BOUNDARY
HIDDEN_ABILITY_DEXNAV,ENCOUNTER_PROFILE,LIVE_ENGINE_UI,QOL_PROD_HA_DEXNAV,VegaQolProduction_TryHiddenEncounterAdapter,EXISTING_ECOLOGY_RADAR_HIDDEN_SCAN,VEGA_HALL_OF_FAME,T08_LEDGER_ENCOUNTER_PROFILE,T19_STAGE36,RESEARCH_ENCOUNTER_MANIFEST,QOL_RESEARCH_HA
COMPETITIVE_ITEM_SUPPLY,MINT_ABILITY_ITEMS|HYPER_TRAINING,LIVE_SUPPLY,QOL_PROD_COMPETITIVE_SUPPLY,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,VEGA_HALL_OF_FAME_AND_KANTO_CERT_4,NONE_DERIVED,T19_STAGE36,COMPETITIVE_SHOP,QOL_COMPETITIVE_BOUNDARY
HIGH_DIFFICULTY_RAID,AUTO_BATTLE,LIVE_SERVICE,QOL_PROD_HIGH_RAID,VegaQolProduction_ConfigureHighRaid,EXISTING_RAID,VEGA_HALL_OF_FAME_AND_KANTO_CERT_4,QOL_STATE_HIGH_RAID,T19_STAGE36,RAID_MANIFEST,QOL_RAID_AUTO_EXCLUDED
TERA_DYNAMAX_STORY,AUTO_BATTLE,LIVE_ENGINE_UI,QOL_PROD_LATE_GIMMICKS,VegaQolProduction_ConfigureTrainerBattleAdapter,EXISTING_STORY_BATTLE,KANTO_LEAGUE_CLEAR,QOL_STATE_LATE_GIMMICKS,T19_STAGE36,TRAINER_CHANGEKIT_POLICY,QOL_GIMMICK_REGRESSION
BOOST_ENERGY_UB_PARADOX,MINT_ABILITY_ITEMS,LIVE_SUPPLY,QOL_PROD_BOOST_ENERGY,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,KANTO_LEAGUE_CLEAR,NONE_DERIVED,T19_STAGE36,UB_PARADOX_SUPPLY,QOL_LATE_SUPPLY
EXP_CANDY_XL_GOLD_CAP,EXP_CANDY|QUANTITY_UI|HYPER_TRAINING,LIVE_SUPPLY,QOL_PROD_XL_GOLD_CAP,VegaQolProduction_PurchaseSupply,START_SELECT_SUPPLY_PANEL,KANTO_LEAGUE_CLEAR,NONE_DERIVED,T19_STAGE36,SUPPLY_KEY_EXP_CANDY_XL_REPEAT|SUPPLY_KEY_GOLD_BOTTLE_CAP,QOL_HYPER_GOLD
