placement_key,event_keys,map_key,group_id,map_id,trigger_type,allocation_policy,stage36_host_address,stage36_expected_hex,stage37_binding_kind,dispatcher_address,stage37_record_address,stage37_script_pointer_address,local_id,x,y,elevation,object_count_before,object_count_after,script_owner,fallback_address,status,notes
PLACEMENT_KEY_EVENT_ROUTE2_MARKER,EVENT_KEY_SIDE_FOREST_CORRIDOR_ROUTE2,KANTO_OUTDOOR_ROUTE2,96,13,READ_SIGN,REPOINT_SOURCE_BG,clean:Route2:bg:0,0e000c0000000000b2551708,RESTORED_BG_REPOINT,0x0938D160,0x0938F72C,0x0938F734,,14,12,0,0,0,EVENT_DESIGN_DISPATCHER,0x081755B2,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_VIRIDIAN_FOREST_MARKER,EVENT_KEY_SIDE_FOREST_CORRIDOR_COMPLETE,KANTO_DUNGEON_VIRIDIAN_FOREST,97,0,READ_SIGN,REPOINT_SOURCE_BG,clean:ViridianForest:bg:0,27003b000300000043381608,RESTORED_BG_REPOINT,0x0938D1AC,0x0938E9DC,0x0938E9E4,,39,59,3,10,10,EVENT_DESIGN_DISPATCHER,0x08163843,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_PEWTER_RESEARCHER,EVENT_KEY_SIDE_MOON_STRATA_START|EVENT_KEY_SIDE_MOON_STRATA_COMPLETE,KANTO_INDOOR_PEWTER_CITY_MUSEUM_1_F,98,10,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:PewterCity_Museum_1F:object:2,0337000015000300030811000000000029f3170800000000,RESTORED_OBJECT,0x0938D1F8,0x0938EDE4,0x0938EDF4,1,21,3,3,0,1,EVENT_DESIGN_DISPATCHER,0x0817F329,PASS,"{""adjacent_walkable"":3,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE3_MARKER,EVENT_KEY_SIDE_MOON_STRATA_ROUTE3,KANTO_OUTDOOR_ROUTE3,96,14,READ_SIGN,REPOINT_SOURCE_BG,clean:Route3:bg:0,48000b0000000000ef551708,RESTORED_BG_REPOINT,0x0938D280,0x0938FAB8,0x0938FAC0,,72,11,0,4,4,EVENT_DESIGN_DISPATCHER,0x081755EF,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_MT_MOON_MARKER,EVENT_KEY_SIDE_MOON_STRATA_MT_MOON,KANTO_DUNGEON_MT_MOON_1_F,97,1,READ_SIGN,REPOINT_SOURCE_BG,clean:MtMoon_1F:bg:0,13001a00000000000d3c1608,RESTORED_BG_REPOINT,0x0938D2CC,0x0938E498,0x0938E4A0,,19,26,0,4,4,EVENT_DESIGN_DISPATCHER,0x08163C0D,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_DAYCARE_KEEPER,EVENT_KEY_SIDE_EGG_COURIER_START|EVENT_KEY_SIDE_EGG_COURIER_COMPLETE,KANTO_INDOOR_ROUTE5_POKEMON_DAY_CARE,98,98,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route5_PokemonDayCare:object:0,013d000004000400030811000000000016581a0800000000,RESTORED_OBJECT,0x0938D318,0x0938EE10,0x0938EE20,1,4,4,3,0,1,EVENT_DESIGN_DISPATCHER,0x081A5816,PASS,"{""adjacent_walkable"":3,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE4_MARKER,EVENT_KEY_SIDE_EGG_COURIER_ROUTE4,KANTO_OUTDOOR_ROUTE4,96,15,READ_SIGN,REPOINT_SOURCE_BG,clean:Route4:bg:0,1200070000000000a6581708,RESTORED_BG_REPOINT,0x0938D3A4,0x0938FB68,0x0938FB70,,18,7,0,6,6,EVENT_DESIGN_DISPATCHER,0x081758A6,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE24_WATCHER,EVENT_KEY_SIDE_CAPE_TIME_START,KANTO_OUTDOOR_ROUTE24,96,36,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route24:object:0,011900000c000f000309110000000000b092170831000000,RESTORED_OBJECT,0x0938D3F0,0x0938F9A0,0x0938F9B0,4,12,15,3,3,4,EVENT_DESIGN_DISPATCHER,0x081792B0,PASS,"{""adjacent_walkable"":2,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE25_ACQUISITION,EVENT_KEY_SIDE_CAPE_TIME_COMPLETE,KANTO_OUTDOOR_ROUTE25,96,37,EXISTING_SERVICE,NO_PHYSICAL_HOST,0x09368F48,98b92d09,EXISTING_ACQUISITION_OBJECT_REPOINT,0x0938D438,0x0938F9CC,0x0938F9DC,1,11,4,3,5,5,EVENT_DESIGN_DISPATCHER,0x092DB998,PASS,HOST_JOHTO_TIME production transaction wrapperを再利用; Stage26 site 0x092DB990からStage36 rooted siteへ再解決
PLACEMENT_KEY_EVENT_CERT_1,EVENT_KEY_CERT_1_PEWTER,KANTO_INDOOR_PEWTER_CITY_GYM,98,12,READ_SIGN,REPOINT_SOURCE_BG,clean:PewterCity_Gym:bg:0,04000c000000000059f91708,RESTORED_BG_REPOINT,0x0938D484,0x0938EDC4,0x0938EDCC,,4,12,0,2,2,EVENT_DESIGN_DISPATCHER,0x0817F959,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_CERT_2,EVENT_KEY_CERT_2_CERULEAN,KANTO_INDOOR_CERULEAN_CITY_GYM,98,23,READ_SIGN,REPOINT_SOURCE_BG,clean:CeruleanCity_Gym:bg:0,0600110000000000960a1808,RESTORED_BG_REPOINT,0x0938D4D0,0x0938EB44,0x0938EB4C,,6,17,0,3,3,EVENT_DESIGN_DISPATCHER,0x08180A96,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE11_LISTENER,EVENT_KEY_SIDE_UNDERGROUND_BREATH_START,KANTO_OUTDOOR_ROUTE11,96,22,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route11:object:1,02200000100011000301110001000100fd71190800000000,RESTORED_OBJECT,0x0938D51C,0x0938F1E0,0x0938F1F0,5,16,17,3,4,5,EVENT_DESIGN_DISPATCHER,0x081971FD,PASS,"{""adjacent_walkable"":4,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_DIGLETT_SENSOR,EVENT_KEY_SIDE_UNDERGROUND_BREATH_DIGLETT,KANTO_DUNGEON_DIGLETTS_CAVE_B1_F,97,37,TALK_OBJECT,ALLOCATE_SAFE_TILE,template:OBJHOST::KANTO_DUNGEON_CERULEAN_CAVE_1_F::000,065c00002a00260003081100000000000000000000000000,ALLOCATED_SAFE_OBJECT,0x0938D564,0x0938E40C,0x0938E41C,6,42,38,3,5,6,EVENT_DESIGN_DISPATCHER,,PASS,"{""adjacent_walkable"":3,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROCK_TUNNEL_MARKER,EVENT_KEY_SIDE_UNDERGROUND_BREATH_COMPLETE,KANTO_DUNGEON_ROCK_TUNNEL_1_F,97,81,READ_SIGN,REPOINT_SOURCE_BG,clean:RockTunnel_1F:bg:0,0e00210003000000e4a91608,RESTORED_BG_REPOINT,0x0938D5AC,0x0938E6B8,0x0938E6C0,,14,33,3,4,4,EVENT_DESIGN_DISPATCHER,0x0816A9E4,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE9_WATER_RESEARCHER,EVENT_KEY_SIDE_WATER_CURRENT_START,KANTO_OUTDOOR_ROUTE9,96,20,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route9:object:0,012800000e000a000309110001000300ed73190800000000,RESTORED_OBJECT,0x0938D5F8,0x0938FD2C,0x0938FD3C,5,14,10,3,4,5,EVENT_DESIGN_DISPATCHER,0x081973ED,PASS,"{""adjacent_walkable"":2,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE10_MARKER,EVENT_KEY_SIDE_WATER_CURRENT_ROUTE10,KANTO_OUTDOOR_ROUTE10,96,21,READ_SIGN,REPOINT_SOURCE_BG,clean:Route10:bg:0,0f003b000000000048641708,RESTORED_BG_REPOINT,0x0938D640,0x0938F160,0x0938F168,,15,59,0,3,3,EVENT_DESIGN_DISPATCHER,0x08176448,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_POWER_PLANT_ACQUISITION,EVENT_KEY_SIDE_WATER_CURRENT_COMPLETE,KANTO_DUNGEON_POWER_PLANT,97,95,EXISTING_SERVICE,NO_PHYSICAL_HOST,0x0936A40C,e8bc2d09,EXISTING_ACQUISITION_OBJECT_REPOINT,0x0938D68C,0x0938E57C,0x0938E58C,1,7,27,3,7,7,EVENT_DESIGN_DISPATCHER,0x092DBCE8,PASS,HOST_FUTURE_CORE production transaction wrapperを再利用; Stage26 site 0x092DBCC8からStage36 rooted siteへ再解決
PLACEMENT_KEY_EVENT_ROUTE8_MEMORY_GUIDE,EVENT_KEY_SIDE_MEMORY_LIGHT_START,KANTO_OUTDOOR_ROUTE8,96,19,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route8:object:2,03370000330006000301110001000400cd77190800000000,RESTORED_OBJECT,0x0938D6D8,0x0938FCA0,0x0938FCB0,7,51,6,3,6,7,EVENT_DESIGN_DISPATCHER,0x081977CD,PASS,"{""adjacent_walkable"":4,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_TOWER_MEMORY_MARKER,EVENT_KEY_SIDE_MEMORY_LIGHT_TOWER,KANTO_DUNGEON_POKEMON_TOWER_5_F,97,92,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:PokemonTower_5F:object:2,033a000007000c00030a1100010002009cb9160800000000,RESTORED_OBJECT,0x0938D720,0x0938E550,0x0938E560,3,7,12,3,3,4,EVENT_DESIGN_DISPATCHER,0x0816B99C,PASS,"{""adjacent_walkable"":4,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_HIDEOUT_MEMORY_MARKER,EVENT_KEY_SIDE_MEMORY_LIGHT_COMPLETE,KANTO_DUNGEON_ROCKET_HIDEOUT_ELEVATOR,97,46,READ_SIGN,REPOINT_SOURCE_BG,clean:RocketHideout_Elevator:bg:0,0000020000000000f0661608,RESTORED_BG_REPOINT,0x0938D768,0x0938E638,0x0938E640,,0,2,0,0,0,EVENT_DESIGN_DISPATCHER,0x081666F0,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SILPH_QOL_CONSOLE,EVENT_KEY_QOL_LATE_TRAINING|EVENT_KEY_QOL_LICENSE_SYNC|EVENT_KEY_QOL_COMPETITIVE_SUPPLY|EVENT_KEY_QOL_HIGH_RAID|EVENT_KEY_QOL_LEAGUE_TECH,KANTO_DUNGEON_SILPH_CO_1_F,97,47,READ_SIGN,REPOINT_SOURCE_BG,clean:SilphCo_1F:bg:0,1e0001000000000063681608,RESTORED_BG_REPOINT,0x0938D7B4,0x0938E814,0x0938E81C,,30,1,0,0,0,EVENT_DESIGN_DISPATCHER,0x08166863,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE7_SEED_SIGN,EVENT_KEY_SIDE_CITY_SEEDS_START,KANTO_OUTDOOR_ROUTE7,96,18,READ_SIGN,REPOINT_SOURCE_BG,clean:Route7:bg:0,05000e0000000000275d1708,RESTORED_BG_REPOINT,0x0938D8FC,0x0938FBF0,0x0938FBF8,,5,14,0,0,0,EVENT_DESIGN_DISPATCHER,0x08175D27,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_CELADON_GREENHOUSE,EVENT_KEY_SIDE_CITY_SEEDS_COMPLETE,KANTO_INDOOR_CELADON_CITY_CONDOMINIUMS_3_F,98,51,READ_SIGN,REPOINT_SOURCE_BG,clean:CeladonCity_Condominiums_3F:bg:0,08000c0000000000194a1808,RESTORED_BG_REPOINT,0x0938D948,0x0938E9FC,0x0938EA04,,8,12,0,0,0,EVENT_DESIGN_DISPATCHER,0x08184A19,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_CERT_4,EVENT_KEY_CERT_4_CELADON,KANTO_INDOOR_CELADON_CITY_GYM,98,58,READ_SIGN,REPOINT_SOURCE_BG,clean:CeladonCity_Gym:bg:0,040010000000000013611808,RESTORED_BG_REPOINT,0x0938D994,0x0938EADC,0x0938EAE4,,4,16,0,8,8,EVENT_DESIGN_DISPATCHER,0x08186113,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE12_WETLAND_GUIDE,EVENT_KEY_SIDE_WETLAND_MIGRATION_START,KANTO_OUTDOOR_ROUTE12,96,23,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route12:object:0,0139000011002000030d110001000100cd79190800000000,RESTORED_OBJECT,0x0938D9E0,0x0938F2E4,0x0938F2F4,10,17,32,3,9,10,EVENT_DESIGN_DISPATCHER,0x081979CD,PASS,"{""adjacent_walkable"":3,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE13_MARKER,EVENT_KEY_SIDE_WETLAND_MIGRATION_ROUTE13,KANTO_OUTDOOR_ROUTE13,96,24,READ_SIGN,REPOINT_SOURCE_BG,clean:Route13:bg:0,29000c00000000001b6e1708,RESTORED_BG_REPOINT,0x0938DA28,0x0938F370,0x0938F378,,41,12,0,4,4,EVENT_DESIGN_DISPATCHER,0x08176E1B,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE14_MARKER,EVENT_KEY_SIDE_WETLAND_MIGRATION_ROUTE14,KANTO_OUTDOOR_ROUTE14,96,25,READ_SIGN,REPOINT_SOURCE_BG,clean:Route14:bg:0,11000c00000000007b711708,RESTORED_BG_REPOINT,0x0938DA74,0x0938F408,0x0938F410,,17,12,0,5,5,EVENT_DESIGN_DISPATCHER,0x0817717B,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE15_MARKER,EVENT_KEY_SIDE_WETLAND_MIGRATION_COMPLETE,KANTO_OUTDOOR_ROUTE15,96,26,READ_SIGN,REPOINT_SOURCE_BG,clean:Route15:bg:0,29000b000000000088751708,RESTORED_BG_REPOINT,0x0938DAC0,0x0938F4A0,0x0938F4A8,,41,11,0,5,5,EVENT_DESIGN_DISPATCHER,0x08177588,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE16_WIND_SIGN,EVENT_KEY_SIDE_WIND_RING_START,KANTO_OUTDOOR_ROUTE16,96,27,READ_SIGN,REPOINT_SOURCE_BG,clean:Route16:bg:0,0600110000000000be7a1708,RESTORED_BG_REPOINT,0x0938DB0C,0x0938F520,0x0938F528,,6,17,0,4,4,EVENT_DESIGN_DISPATCHER,0x08177ABE,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE17_WIND_SIGN,EVENT_KEY_SIDE_WIND_RING_ROUTE17,KANTO_OUTDOOR_ROUTE17,96,28,READ_SIGN,REPOINT_SOURCE_BG,clean:Route17:bg:0,0c00610000000000cd7d1708,RESTORED_BG_REPOINT,0x0938DB58,0x0938F618,0x0938F620,,12,97,0,9,9,EVENT_DESIGN_DISPATCHER,0x08177DCD,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE18_WIND_SIGN,EVENT_KEY_SIDE_WIND_RING_COMPLETE,KANTO_OUTDOOR_ROUTE18,96,29,READ_SIGN,REPOINT_SOURCE_BG,clean:Route18:bg:0,25000700000000004e811708,RESTORED_BG_REPOINT,0x0938DBA4,0x0938F668,0x0938F670,,37,7,0,2,2,EVENT_DESIGN_DISPATCHER,0x0817814E,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SAFARI_GUIDE,EVENT_KEY_FACILITY_SAFARI_OFFICE,KANTO_OUTDOOR_FUCHSIA_CITY,96,7,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:FuchsiaCity:object:14,0f1400000f000b00030711000000000076921a0800000000,RESTORED_OBJECT,0x0938DBF0,0x0938F07C,0x0938F08C,1,15,11,3,0,1,EVENT_DESIGN_DISPATCHER,0x081A9276,PASS,"{""adjacent_walkable"":3,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_CERT_5,EVENT_KEY_CERT_5_FUCHSIA,KANTO_INDOOR_FUCHSIA_CITY_GYM,98,65,READ_SIGN,REPOINT_SOURCE_BG,clean:FuchsiaCity_Gym:bg:0,0400130000000000e7701808,RESTORED_BG_REPOINT,0x0938DC38,0x0938ED18,0x0938ED20,,4,19,0,7,7,EVENT_DESIGN_DISPATCHER,0x081870E7,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SAFARI_CENTER_SIGN,,KANTO_DUNGEON_SAFARI_ZONE_CENTER,97,63,READ_SIGN,REPOINT_SOURCE_BG,clean:SafariZone_Center:bg:0,1e001a0000000000fa8c1608,RESTORED_BG_REPOINT,0x0938DC84,0x0938E6D8,0x0938E6E0,,30,26,0,0,0,EVENT_DESIGN_DISPATCHER,0x08168CFA,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SAFARI_EAST_SIGN,EVENT_KEY_FLAVOR_SAFARI_EAST,KANTO_DUNGEON_SAFARI_ZONE_EAST,97,64,READ_SIGN,REPOINT_SOURCE_BG,clean:SafariZone_East:bg:0,12001b0000000000718d1608,RESTORED_BG_REPOINT,0x0938DC90,0x0938E6F8,0x0938E700,,18,27,0,0,0,EVENT_DESIGN_DISPATCHER,0x08168D71,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SAFARI_NORTH_SIGN,EVENT_KEY_FLAVOR_SAFARI_NORTH,KANTO_DUNGEON_SAFARI_ZONE_NORTH,97,65,READ_SIGN,REPOINT_SOURCE_BG,clean:SafariZone_North:bg:0,0d001b0000000000d68d1608,RESTORED_BG_REPOINT,0x0938DCDC,0x0938E790,0x0938E798,,13,27,0,5,5,EVENT_DESIGN_DISPATCHER,0x08168DD6,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SAFARI_WEST_SIGN,EVENT_KEY_FLAVOR_SAFARI_WEST,KANTO_DUNGEON_SAFARI_ZONE_WEST,97,66,READ_SIGN,REPOINT_SOURCE_BG,clean:SafariZone_West:bg:0,1b00090000000000c18e1608,RESTORED_BG_REPOINT,0x0938DD28,0x0938E7B0,0x0938E7B8,,27,9,0,0,0,EVENT_DESIGN_DISPATCHER,0x08168EC1,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_ROUTE19_CURRENT_GUIDE,EVENT_KEY_SIDE_COLD_CURRENT_START,KANTO_OUTDOOR_ROUTE19,96,30,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route19:object:7,082c00000e00300001011100010001007d8b190800000000,RESTORED_OBJECT,0x0938DD74,0x0938F700,0x0938F710,6,14,48,1,5,6,EVENT_DESIGN_DISPATCHER,0x08198B7D,PASS,"{""adjacent_walkable"":4,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE20_CURRENT_SIGN,EVENT_KEY_SIDE_COLD_CURRENT_ROUTE20,KANTO_OUTDOOR_ROUTE20,96,31,READ_SIGN,REPOINT_SOURCE_BG,clean:Route20:bg:0,44000e000000000059861708,RESTORED_BG_REPOINT,0x0938DDBC,0x0938F824,0x0938F82C,,68,14,0,9,9,EVENT_DESIGN_DISPATCHER,0x08178659,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SEAFOAM_ACQUISITION,EVENT_KEY_SIDE_COLD_CURRENT_COMPLETE,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,97,87,EXISTING_SERVICE,NO_PHYSICAL_HOST,0x092DBC10,30bc2d09,EXISTING_ACQUISITION_OBJECT_REPOINT,0x0938DE08,0x0938E7D0,0x0938E7E0,1,8,18,1,2,2,EVENT_DESIGN_DISPATCHER,0x092DBC30,PASS,HOST_ALOLA_LIGHT production transaction wrapperを再利用; Stage26 site 0x092DBC10からStage36 rooted siteへ再解決
PLACEMENT_KEY_EVENT_ROUTE21_ARCHIVIST,EVENT_KEY_SIDE_VOLCANO_ARCHIVE_START,KANTO_OUTDOOR_ROUTE21_NORTH,96,32,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route21_North:object:5,061bff000d00fdff02000000000003000000000000000000,RESTORED_OBJECT_RELOCATED,0x0938DE54,0x0938F874,0x0938F884,3,21,12,2,2,3,EVENT_DESIGN_DISPATCHER,,PASS,"{""adjacent_walkable"":2,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_MANSION_ARCHIVE_SIGN,EVENT_KEY_SIDE_VOLCANO_ARCHIVE_MANSION,KANTO_DUNGEON_POKEMON_MANSION_1_F,97,59,READ_SIGN,REPOINT_SOURCE_BG,clean:PokemonMansion_1F:bg:0,05000500000100008f881608,RESTORED_BG_REPOINT,0x0938DE9C,0x0938E4E8,0x0938E4F0,,5,5,0,2,2,EVENT_DESIGN_DISPATCHER,0x0816888F,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
