family_key,root_national_no,root_name,tohoku_location_key,kanto_location_key,coverage_status
FAMILY_KEY_0045,102,タマタマ,VEGA_NATIVE,K35,DUAL_REGION
FAMILY_KEY_0046,104,カラカラ,T028,K31,DUAL_REGION
FAMILY_KEY_0048,108,ベロリンガ,VEGA_NATIVE,K18,DUAL_REGION
FAMILY_KEY_0049,109,ドガース,VEGA_NATIVE,K39,DUAL_REGION
FAMILY_KEY_0050,111,サイホーン,VEGA_NATIVE,K37,DUAL_REGION
FAMILY_KEY_0052,114,モンジャラ,T502,K21,DUAL_REGION
FAMILY_KEY_0053,115,ガルーラ,VEGA_NATIVE,K37,DUAL_REGION
FAMILY_KEY_0054,116,タッツー,T512,K19,DUAL_REGION
FAMILY_KEY_0055,118,トサキント,T508,K12,DUAL_REGION
FAMILY_KEY_0056,120,ヒトデマン,VEGA_NATIVE,K20,DUAL_REGION
FAMILY_KEY_0058,123,ストライク,T037,K35,DUAL_REGION
FAMILY_KEY_0062,127,カイロス,VEGA_NATIVE,K35,DUAL_REGION
FAMILY_KEY_0063,128,ケンタロス,VEGA_NATIVE,K37,DUAL_REGION
FAMILY_KEY_0064,129,コイキング,T508,K19,DUAL_REGION
FAMILY_KEY_0065,131,ラプラス,VEGA_NATIVE,K29,DUAL_REGION
FAMILY_KEY_0066,132,メタモン,VEGA_NATIVE,K43,DUAL_REGION
FAMILY_KEY_0067,133,イーブイ,T029,K33,DUAL_REGION
FAMILY_KEY_0068,137,ポリゴン,VEGA_NATIVE,K41,DUAL_REGION
FAMILY_KEY_0069,138,オムナイト,T_FOSSIL,K45,DUAL_REGION
FAMILY_KEY_0070,140,カブト,T_FOSSIL,K44,DUAL_REGION
FAMILY_KEY_0071,142,プテラ,VEGA_NATIVE,K44,DUAL_REGION
FAMILY_KEY_0073,144,フリーザー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0074,145,サンダー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0075,146,ファイヤー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0076,147,ミニリュウ,T523,K36,DUAL_REGION
FAMILY_KEY_0077,150,ミュウツー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0078,151,ミュウ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0079,152,チコリータ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0080,155,ヒノアラシ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0081,158,ワニノコ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0082,161,オタチ,T506,K18,DUAL_REGION
FAMILY_KEY_0083,163,ホーホー,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0084,165,レディバ,VEGA_NATIVE,K24,DUAL_REGION
FAMILY_KEY_0085,167,イトマル,VEGA_NATIVE,K35,DUAL_REGION
FAMILY_KEY_0086,170,チョンチー,T512,K15,DUAL_REGION
FAMILY_KEY_0010,172,ピチュー,VEGA_NATIVE,K26,DUAL_REGION
FAMILY_KEY_0014,173,ピィ,T502,K27,DUAL_REGION
FAMILY_KEY_0016,174,ププリン,T502,K03,DUAL_REGION
FAMILY_KEY_0087,175,トゲピー,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0088,177,ネイティ,T505,K23,DUAL_REGION
FAMILY_KEY_0089,179,メリープ,T029,K32,DUAL_REGION
FAMILY_KEY_0092,187,ハネッコ,T505,K02,DUAL_REGION
FAMILY_KEY_0093,190,エイパム,T503,K16,DUAL_REGION
FAMILY_KEY_0094,191,ヒマナッツ,T026,K02,DUAL_REGION
FAMILY_KEY_0095,193,ヤンヤンマ,T502,K24,DUAL_REGION
FAMILY_KEY_0096,194,ウパー,T027,K06,DUAL_REGION
FAMILY_KEY_0097,198,ヤミカラス,VEGA_NATIVE,K11,DUAL_REGION
FAMILY_KEY_0098,200,ムウマ,T033,K31,DUAL_REGION
FAMILY_KEY_0099,201,アンノーン,VEGA_NATIVE,K41,DUAL_REGION
FAMILY_KEY_0101,203,キリンリキ,T519,K14,DUAL_REGION
FAMILY_KEY_0102,204,クヌギダマ,VEGA_NATIVE,K33,DUAL_REGION
FAMILY_KEY_0103,206,ノコッチ,T024,K30,DUAL_REGION
FAMILY_KEY_0104,207,グライガー,T505,K04,DUAL_REGION
FAMILY_KEY_0105,209,ブルー,T517,K33,DUAL_REGION
FAMILY_KEY_0106,211,ハリーセン,T508,K15,DUAL_REGION
FAMILY_KEY_0107,213,ツボツボ,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0108,214,ヘラクロス,T505,K02,DUAL_REGION
FAMILY_KEY_0109,215,ニューラ,T031,K38,DUAL_REGION
FAMILY_KEY_0110,216,ヒメグマ,T501,K04,DUAL_REGION
FAMILY_KEY_0111,218,マグマッグ,T028,K21,DUAL_REGION
FAMILY_KEY_0112,220,ウリムー,VEGA_NATIVE,K38,DUAL_REGION
FAMILY_KEY_0113,222,サニーゴ,T509,K21,DUAL_REGION
FAMILY_KEY_0114,223,テッポウオ,VEGA_NATIVE,K15,DUAL_REGION
FAMILY_KEY_0115,225,デリバード,VEGA_NATIVE,K20,DUAL_REGION
FAMILY_KEY_0117,227,エアームド,VEGA_NATIVE,K11,DUAL_REGION
FAMILY_KEY_0118,228,デルビル,VEGA_NATIVE,K39,DUAL_REGION
FAMILY_KEY_0119,231,ゴマゾウ,T031,K30,DUAL_REGION
FAMILY_KEY_0120,234,オドシシ,T506,K16,DUAL_REGION
FAMILY_KEY_0121,235,ドーブル,T506,K18,DUAL_REGION
FAMILY_KEY_0047,236,バルキー,VEGA_NATIVE,K10,DUAL_REGION
FAMILY_KEY_0059,238,ムチュール,VEGA_NATIVE,K38,DUAL_REGION
FAMILY_KEY_0060,239,エレキッド,VEGA_NATIVE,K40,DUAL_REGION
FAMILY_KEY_0061,240,ブビィ,VEGA_NATIVE,K39,DUAL_REGION
FAMILY_KEY_0122,241,ミルタンク,VEGA_NATIVE,K05,DUAL_REGION
FAMILY_KEY_0123,243,ライコウ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0124,244,エンテイ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0125,245,スイクン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0126,246,ヨーギラス,VEGA_NATIVE,K42,DUAL_REGION
FAMILY_KEY_0127,249,ルギア,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0128,250,ホウオウ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0129,251,セレビィ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0130,252,キモリ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0131,255,アチャモ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0132,258,ミズゴロウ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0133,261,ポチエナ,T035,K08,DUAL_REGION
FAMILY_KEY_0134,263,ジグザグマ,T506,K16,DUAL_REGION
FAMILY_KEY_0135,265,ケムッソ,T502,K24,DUAL_REGION
FAMILY_KEY_0136,270,ハスボー,T508,K15,DUAL_REGION
FAMILY_KEY_0137,273,タネボー,T026,K26,DUAL_REGION
FAMILY_KEY_0138,276,スバメ,VEGA_NATIVE,K24,DUAL_REGION
FAMILY_KEY_0139,278,キャモメ,T507,K25,DUAL_REGION
FAMILY_KEY_0140,280,ラルトス,VEGA_NATIVE,K23,DUAL_REGION
FAMILY_KEY_0141,283,アメタマ,T508,K15,DUAL_REGION
FAMILY_KEY_0142,285,キノココ,VEGA_NATIVE,K02,DUAL_REGION
FAMILY_KEY_0143,287,ナマケロ,T503,K18,DUAL_REGION
FAMILY_KEY_0144,290,ツチニン,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0145,293,ゴニョニョ,VEGA_NATIVE,K05,DUAL_REGION
FAMILY_KEY_0146,296,マクノシタ,T514,K42,DUAL_REGION
FAMILY_KEY_0090,298,ルリリ,T508,K15,DUAL_REGION
FAMILY_KEY_0147,299,ノズパス,T031,K30,DUAL_REGION
FAMILY_KEY_0148,300,エネコ,T501,K05,DUAL_REGION
FAMILY_KEY_0149,302,ヤミラミ,VEGA_NATIVE,K31,DUAL_REGION
FAMILY_KEY_0150,303,クチート,VEGA_NATIVE,K42,DUAL_REGION
FAMILY_KEY_0151,304,ココドラ,T031,K30,DUAL_REGION
FAMILY_KEY_0152,307,アサナン,T032,K23,DUAL_REGION
FAMILY_KEY_0153,309,ラクライ,T029,K10,DUAL_REGION
FAMILY_KEY_0154,311,プラスル,T029,K10,DUAL_REGION
FAMILY_KEY_0155,312,マイナン,T029,K40,DUAL_REGION
FAMILY_KEY_0156,313,バルビート,T036,K35,DUAL_REGION
FAMILY_KEY_0157,314,イルミーゼ,T036,K35,DUAL_REGION
FAMILY_KEY_0159,316,ゴクリン,T027,K13,DUAL_REGION
FAMILY_KEY_0160,318,キバニア,T508,K12,DUAL_REGION
FAMILY_KEY_0161,320,ホエルコ,T512,K13,DUAL_REGION
FAMILY_KEY_0162,322,ドンメル,T028,K21,DUAL_REGION
FAMILY_KEY_0163,324,コータス,VEGA_NATIVE,K21,DUAL_REGION
FAMILY_KEY_0164,325,バネブー,T034,K27,DUAL_REGION
FAMILY_KEY_0165,327,パッチール,VEGA_NATIVE,K16,DUAL_REGION
FAMILY_KEY_0166,328,ナックラー,T028,K42,DUAL_REGION
FAMILY_KEY_0167,331,サボネア,VEGA_NATIVE,K02,DUAL_REGION
FAMILY_KEY_0168,333,チルット,T501,K11,DUAL_REGION
FAMILY_KEY_0169,335,ザングース,T504,K18,DUAL_REGION
FAMILY_KEY_0170,336,ハブネーク,T520,K06,DUAL_REGION
FAMILY_KEY_0171,337,ルナトーン,VEGA_NATIVE,K27,DUAL_REGION
FAMILY_KEY_0172,338,ソルロック,VEGA_NATIVE,K27,DUAL_REGION
FAMILY_KEY_0173,339,ドジョッチ,T512,K21,DUAL_REGION
FAMILY_KEY_0174,341,ヘイガニ,T508,K12,DUAL_REGION
FAMILY_KEY_0175,343,ヤジロン,T034,K27,DUAL_REGION
FAMILY_KEY_0176,345,リリーラ,VEGA_NATIVE,K30,DUAL_REGION
FAMILY_KEY_0177,347,アノプス,T_FOSSIL,K45,DUAL_REGION
FAMILY_KEY_0178,349,ヒンバス,T510,K36,DUAL_REGION
FAMILY_KEY_0179,351,ポワルン,T506,K16,DUAL_REGION
FAMILY_KEY_0180,352,カクレオン,T503,K05,DUAL_REGION
FAMILY_KEY_0181,353,カゲボウズ,VEGA_NATIVE,K08,DUAL_REGION
FAMILY_KEY_0182,355,ヨマワル,VEGA_NATIVE,K08,DUAL_REGION
FAMILY_KEY_0183,357,トロピウス,VEGA_NATIVE,K24,DUAL_REGION
FAMILY_KEY_0185,359,アブソル,VEGA_NATIVE,K08,DUAL_REGION
FAMILY_KEY_0100,360,ソーナノ,T034,K41,DUAL_REGION
FAMILY_KEY_0186,361,ユキワラシ,T516,K31,DUAL_REGION
FAMILY_KEY_0187,363,タマザラシ,VEGA_NATIVE,K20,DUAL_REGION
FAMILY_KEY_0188,366,パールル,T512,K13,DUAL_REGION
FAMILY_KEY_0189,369,ジーランス,VEGA_NATIVE,K21,DUAL_REGION
FAMILY_KEY_0190,370,ラブカス,VEGA_NATIVE,K15,DUAL_REGION
FAMILY_KEY_0191,371,タツベイ,T523,K23,DUAL_REGION
FAMILY_KEY_0192,374,ダンバル,VEGA_NATIVE,K43,DUAL_REGION
FAMILY_KEY_0193,377,レジロック,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0194,378,レジアイス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0195,379,レジスチル,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0196,380,ラティアス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0197,381,ラティオス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0198,382,カイオーガ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0199,383,グラードン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0200,384,レックウザ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0201,385,ジラーチ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0202,386,デオキシス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0203,387,ナエトル,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0204,390,ヒコザル,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0205,393,ポッチャマ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0206,396,ムックル,T502,K04,DUAL_REGION
FAMILY_KEY_0207,399,ビッパ,T509,K06,DUAL_REGION
FAMILY_KEY_0208,401,コロボーシ,T036,K35,DUAL_REGION
FAMILY_KEY_0209,403,コリンク,T029,K40,DUAL_REGION
FAMILY_KEY_0158,406,スボミー,T504,K33,DUAL_REGION
FAMILY_KEY_0211,408,ズガイドス,T_FOSSIL,K44,DUAL_REGION
FAMILY_KEY_0212,410,タテトプス,T_FOSSIL,K45,DUAL_REGION
FAMILY_KEY_0213,412,ミノムッチ,T517,K02,DUAL_REGION
FAMILY_KEY_0214,415,ミツハニー,T502,K02,DUAL_REGION
FAMILY_KEY_0215,417,パチリス,VEGA_NATIVE,K10,DUAL_REGION
FAMILY_KEY_0216,418,ブイゼル,VEGA_NATIVE,K15,DUAL_REGION
FAMILY_KEY_0217,420,チェリンボ,T036,K34,DUAL_REGION
FAMILY_KEY_0218,422,カラナクシ,T027,K21,DUAL_REGION
FAMILY_KEY_0219,425,フワンテ,T515,K08,DUAL_REGION
FAMILY_KEY_0220,427,ミミロル,T506,K14,DUAL_REGION
FAMILY_KEY_0221,431,ニャルマー,T503,K05,DUAL_REGION
FAMILY_KEY_0184,433,リーシャン,T034,K41,DUAL_REGION
FAMILY_KEY_0223,434,スカンプー,T035,K32,DUAL_REGION
FAMILY_KEY_0224,436,ドーミラー,T034,K27,DUAL_REGION
FAMILY_KEY_0091,438,ウソハチ,T028,K30,DUAL_REGION
FAMILY_KEY_0057,439,マネネ,T513,K41,DUAL_REGION
FAMILY_KEY_0051,440,ピンプク,VEGA_NATIVE,K37,DUAL_REGION
FAMILY_KEY_0228,441,ペラップ,VEGA_NATIVE,K25,DUAL_REGION
FAMILY_KEY_0229,442,ミカルゲ,T033,K08,DUAL_REGION
FAMILY_KEY_0230,443,フカマル,VEGA_NATIVE,K42,DUAL_REGION
FAMILY_KEY_0072,446,ゴンベ,T506,K12,DUAL_REGION
FAMILY_KEY_0232,447,リオル,VEGA_NATIVE,K42,DUAL_REGION
FAMILY_KEY_0233,449,ヒポポタス,T031,K30,DUAL_REGION
FAMILY_KEY_0234,451,スコルピ,VEGA_NATIVE,K26,DUAL_REGION
FAMILY_KEY_0235,453,グレッグル,T518,K06,DUAL_REGION
FAMILY_KEY_0236,455,マスキッパ,VEGA_NATIVE,K35,DUAL_REGION
FAMILY_KEY_0237,456,ケイコウオ,T512,K13,DUAL_REGION
FAMILY_KEY_0116,458,タマンタ,T508,K11,DUAL_REGION
FAMILY_KEY_0239,459,ユキカブリ,VEGA_NATIVE,K24,DUAL_REGION
FAMILY_KEY_0240,479,ロトム,T035,K39,DUAL_REGION
FAMILY_KEY_0241,480,ユクシー,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0242,481,エムリット,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0243,482,アグノム,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0244,483,ディアルガ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0245,484,パルキア,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0246,485,ヒードラン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0247,486,レジギガス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0248,487,ギラティナ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0249,488,クレセリア,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0250,489,フィオネ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0252,491,ダークライ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0253,492,シェイミ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0254,493,アルセウス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0255,494,ビクティニ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0256,495,ツタージャ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0257,498,ポカブ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0258,501,ミジュマル,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0259,504,ミネズミ,T501,K16,DUAL_REGION
FAMILY_KEY_0260,506,ヨーテリー,T503,K01,DUAL_REGION
FAMILY_KEY_0261,509,チョロネコ,T035,K32,DUAL_REGION
FAMILY_KEY_0262,511,ヤナップ,T517,K26,DUAL_REGION
FAMILY_KEY_0263,513,バオップ,T521,K17,DUAL_REGION
FAMILY_KEY_0264,515,ヒヤップ,T510,K36,DUAL_REGION
FAMILY_KEY_0265,517,ムンナ,T025,K08,DUAL_REGION
FAMILY_KEY_0266,519,マメパト,T501,K25,DUAL_REGION
FAMILY_KEY_0267,522,シママ,T029,K10,DUAL_REGION
FAMILY_KEY_0268,524,ダンゴロ,T031,K30,DUAL_REGION
FAMILY_KEY_0269,527,コロモリ,T505,K23,DUAL_REGION
FAMILY_KEY_0270,529,モグリュー,T024,K28,DUAL_REGION
FAMILY_KEY_0271,531,タブンネ,T504,K18,DUAL_REGION
FAMILY_KEY_0272,532,ドッコラー,T514,K09,DUAL_REGION
FAMILY_KEY_0273,535,オタマロ,T027,K15,DUAL_REGION
FAMILY_KEY_0274,538,ナゲキ,T042,K09,DUAL_REGION
FAMILY_KEY_0275,539,ダゲキ,T042,K22,DUAL_REGION
FAMILY_KEY_0276,540,クルミル,T036,K35,DUAL_REGION
FAMILY_KEY_0277,543,フシデ,T504,K33,DUAL_REGION
FAMILY_KEY_0278,546,モンメン,T502,K33,DUAL_REGION
FAMILY_KEY_0279,548,チュリネ,VEGA_NATIVE,K35,DUAL_REGION
FAMILY_KEY_0280,550,バスラオ,T513,K15,DUAL_REGION
FAMILY_KEY_0281,551,メグロコ,VEGA_NATIVE,K30,DUAL_REGION
FAMILY_KEY_0282,554,ダルマッカ,T521,K17,DUAL_REGION
FAMILY_KEY_0283,556,マラカッチ,T026,K26,DUAL_REGION
FAMILY_KEY_0284,557,イシズマイ,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0285,559,ズルッグ,VEGA_NATIVE,K08,DUAL_REGION
FAMILY_KEY_0286,561,シンボラー,T505,K23,DUAL_REGION
FAMILY_KEY_0287,562,デスマス,T515,K31,DUAL_REGION
FAMILY_KEY_0288,564,プロトーガ,T_FOSSIL,K44,DUAL_REGION
FAMILY_KEY_0289,566,アーケン,T_FOSSIL,K44,DUAL_REGION
FAMILY_KEY_0290,568,ヤブクロン,T035,K32,DUAL_REGION
FAMILY_KEY_0291,570,ゾロア,T032,K32,DUAL_REGION
FAMILY_KEY_0292,572,チラーミィ,T503,K14,DUAL_REGION
FAMILY_KEY_0293,574,ゴチム,T040,K27,DUAL_REGION
FAMILY_KEY_0294,577,ユニラン,T025,K43,DUAL_REGION
FAMILY_KEY_0295,580,コアルヒー,T509,K11,DUAL_REGION
FAMILY_KEY_0296,582,バニプッチ,T030,K38,DUAL_REGION
FAMILY_KEY_0297,585,シキジカ,T517,K02,DUAL_REGION
FAMILY_KEY_0298,587,エモンガ,T029,K10,DUAL_REGION
FAMILY_KEY_0299,588,カブルモ,T026,K33,DUAL_REGION
FAMILY_KEY_0300,590,タマゲタケ,T504,K06,DUAL_REGION
FAMILY_KEY_0301,592,プルリル,T513,K12,DUAL_REGION
FAMILY_KEY_0302,594,ママンボウ,T512,K19,DUAL_REGION
FAMILY_KEY_0303,595,バチュル,VEGA_NATIVE,K40,DUAL_REGION
FAMILY_KEY_0304,597,テッシード,VEGA_NATIVE,K33,DUAL_REGION
FAMILY_KEY_0305,599,ギアル,VEGA_NATIVE,K40,DUAL_REGION
FAMILY_KEY_0306,602,シビシラス,VEGA_NATIVE,K40,DUAL_REGION
FAMILY_KEY_0307,605,リグレー,T034,K27,DUAL_REGION
FAMILY_KEY_0308,607,ヒトモシ,T025,K31,DUAL_REGION
FAMILY_KEY_0309,610,キバゴ,T042,K43,DUAL_REGION
FAMILY_KEY_0310,613,クマシュン,T030,K38,DUAL_REGION
FAMILY_KEY_0311,615,フリージオ,VEGA_NATIVE,K38,DUAL_REGION
FAMILY_KEY_0312,616,チョボマキ,T036,K35,DUAL_REGION
FAMILY_KEY_0313,618,マッギョ,VEGA_NATIVE,K10,DUAL_REGION
FAMILY_KEY_0314,619,コジョフー,VEGA_NATIVE,K09,DUAL_REGION
FAMILY_KEY_0315,621,クリムガン,T031,K43,DUAL_REGION
FAMILY_KEY_0316,622,ゴビット,T034,K41,DUAL_REGION
FAMILY_KEY_0317,624,コマタナ,T035,K42,DUAL_REGION
FAMILY_KEY_0318,626,バッフロン,T503,K34,DUAL_REGION
FAMILY_KEY_0319,627,ワシボン,T501,K01,DUAL_REGION
FAMILY_KEY_0320,629,バルチャイ,T522,K03,DUAL_REGION
FAMILY_KEY_0321,631,クイタラン,T037,K17,DUAL_REGION
FAMILY_KEY_0322,632,アイアント,T036,K33,DUAL_REGION
FAMILY_KEY_0323,633,モノズ,T040,K23,DUAL_REGION
FAMILY_KEY_0324,636,メラルバ,T503,K24,DUAL_REGION
FAMILY_KEY_0325,638,コバルオン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0326,639,テラキオン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0327,640,ビリジオン,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0328,641,トルネロス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0329,642,ボルトロス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0330,643,レシラム,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0331,644,ゼクロム,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0332,645,ランドロス,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0333,646,キュレム,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0334,647,ケルディオ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0335,648,メロエッタ,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0336,649,ゲノセクト,EVENT_T,EVENT_K,DUAL_REGION
FAMILY_KEY_0337,650,ハリマロン,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0338,653,フォッコ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0339,656,ケロマツ,T_LAB,K47,DUAL_REGION
FAMILY_KEY_0340,659,ホルビー,T501,K04,DUAL_REGION
FAMILY_KEY_0341,661,ヤヤコマ,T501,K01,DUAL_REGION
FAMILY_KEY_0342,664,コフキムシ,T505,K24,DUAL_REGION
FAMILY_KEY_0343,667,シシコ,T503,K17,DUAL_REGION
FAMILY_KEY_0344,669,フラベベ,T026,K33,DUAL_REGION
FAMILY_KEY_0345,672,メェークル,T517,K26,DUAL_REGION
FAMILY_KEY_0346,674,ヤンチャム,T032,K07,DUAL_REGION
FAMILY_KEY_0347,676,トリミアン,T519,K16,DUAL_REGION
FAMILY_KEY_0348,677,ニャスパー,T025,K05,DUAL_REGION
FAMILY_KEY_0349,679,ヒトツキ,T032,K42,DUAL_REGION
FAMILY_KEY_0350,682,シュシュプ,T026,K33,DUAL_REGION
FAMILY_KEY_0351,684,ペロッパフ,T517,K34,DUAL_REGION
FAMILY_KEY_0352,686,マーイーカ,T515,K08,DUAL_REGION
FAMILY_KEY_0353,688,カメテテ,T027,K21,DUAL_REGION
FAMILY_KEY_0354,690,クズモー,T027,K13,DUAL_REGION
FAMILY_KEY_0355,692,ウデッポウ,T510,K19,DUAL_REGION
FAMILY_KEY_0356,694,エリキテル,T029,K10,DUAL_REGION
FAMILY_KEY_0357,696,チゴラス,T_FOSSIL,K45,DUAL_REGION
FAMILY_KEY_0358,698,アマルス,T_FOSSIL,K45,DUAL_REGION
FAMILY_KEY_0359,701,ルチャブル,T505,K09,DUAL_REGION
