shared_capture_key,national_no,species_name,primary_region,capture_repeatability,reward_repeatability,claim_key
SHARED_CAPTURE_KEY_NATIONAL_0484,484,パルキア,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0484
SHARED_CAPTURE_KEY_NATIONAL_0485,485,ヒードラン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0485
SHARED_CAPTURE_KEY_NATIONAL_0486,486,レジギガス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0486
SHARED_CAPTURE_KEY_NATIONAL_0487,487,ギラティナ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0487
SHARED_CAPTURE_KEY_NATIONAL_0488,488,クレセリア,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0488
SHARED_CAPTURE_KEY_NATIONAL_0489,489,フィオネ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0489
SHARED_CAPTURE_KEY_NATIONAL_0490,490,マナフィ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0490
SHARED_CAPTURE_KEY_NATIONAL_0491,491,ダークライ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0491
SHARED_CAPTURE_KEY_NATIONAL_0492,492,シェイミ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0492
SHARED_CAPTURE_KEY_NATIONAL_0493,493,アルセウス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0493
SHARED_CAPTURE_KEY_NATIONAL_0494,494,ビクティニ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0494
SHARED_CAPTURE_KEY_NATIONAL_0638,638,コバルオン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0638
SHARED_CAPTURE_KEY_NATIONAL_0639,639,テラキオン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0639
SHARED_CAPTURE_KEY_NATIONAL_0640,640,ビリジオン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0640
SHARED_CAPTURE_KEY_NATIONAL_0641,641,トルネロス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0641
SHARED_CAPTURE_KEY_NATIONAL_0642,642,ボルトロス,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0642
SHARED_CAPTURE_KEY_NATIONAL_0643,643,レシラム,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0643
SHARED_CAPTURE_KEY_NATIONAL_0644,644,ゼクロム,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0644
SHARED_CAPTURE_KEY_NATIONAL_0645,645,ランドロス,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0645
SHARED_CAPTURE_KEY_NATIONAL_0646,646,キュレム,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0646
SHARED_CAPTURE_KEY_NATIONAL_0647,647,ケルディオ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0647
SHARED_CAPTURE_KEY_NATIONAL_0648,648,メロエッタ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0648
SHARED_CAPTURE_KEY_NATIONAL_0649,649,ゲノセクト,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0649
SHARED_CAPTURE_KEY_NATIONAL_0716,716,ゼルネアス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0716
SHARED_CAPTURE_KEY_NATIONAL_0717,717,イベルタル,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0717
SHARED_CAPTURE_KEY_NATIONAL_0718,718,ジガルデ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0718
SHARED_CAPTURE_KEY_NATIONAL_0719,719,ディアンシー,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0719
SHARED_CAPTURE_KEY_NATIONAL_0720,720,フーパ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0720
SHARED_CAPTURE_KEY_NATIONAL_0721,721,ボルケニオン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0721
SHARED_CAPTURE_KEY_NATIONAL_0772,772,タイプ：ヌル,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0772
SHARED_CAPTURE_KEY_NATIONAL_0773,773,シルヴァディ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0773
SHARED_CAPTURE_KEY_NATIONAL_0785,785,カプ・コケコ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0785
SHARED_CAPTURE_KEY_NATIONAL_0786,786,カプ・テテフ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0786
SHARED_CAPTURE_KEY_NATIONAL_0787,787,カプ・ブルル,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0787
SHARED_CAPTURE_KEY_NATIONAL_0788,788,カプ・レヒレ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0788
SHARED_CAPTURE_KEY_NATIONAL_0789,789,コスモッグ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0789
SHARED_CAPTURE_KEY_NATIONAL_0790,790,コスモウム,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0790
SHARED_CAPTURE_KEY_NATIONAL_0791,791,ソルガレオ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0791
SHARED_CAPTURE_KEY_NATIONAL_0792,792,ルナアーラ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0792
SHARED_CAPTURE_KEY_NATIONAL_0793,793,ウツロイド,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0793
SHARED_CAPTURE_KEY_NATIONAL_0794,794,マッシブーン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0794
SHARED_CAPTURE_KEY_NATIONAL_0795,795,フェローチェ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0795
SHARED_CAPTURE_KEY_NATIONAL_0796,796,デンジュモク,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0796
SHARED_CAPTURE_KEY_NATIONAL_0797,797,テッカグヤ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0797
SHARED_CAPTURE_KEY_NATIONAL_0798,798,カミツルギ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0798
SHARED_CAPTURE_KEY_NATIONAL_0799,799,アクジキング,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0799
SHARED_CAPTURE_KEY_NATIONAL_0800,800,ネクロズマ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0800
SHARED_CAPTURE_KEY_NATIONAL_0801,801,マギアナ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0801
SHARED_CAPTURE_KEY_NATIONAL_0802,802,マーシャドー,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0802
SHARED_CAPTURE_KEY_NATIONAL_0803,803,ベベノム,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0803
SHARED_CAPTURE_KEY_NATIONAL_0804,804,アーゴヨン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0804
SHARED_CAPTURE_KEY_NATIONAL_0805,805,ツンデツンデ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0805
SHARED_CAPTURE_KEY_NATIONAL_0806,806,ズガドーン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0806
SHARED_CAPTURE_KEY_NATIONAL_0807,807,ゼラオラ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0807
SHARED_CAPTURE_KEY_NATIONAL_0808,808,メルタン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0808
SHARED_CAPTURE_KEY_NATIONAL_0809,809,メルメタル,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0809
SHARED_CAPTURE_KEY_NATIONAL_0888,888,ザシアン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0888
SHARED_CAPTURE_KEY_NATIONAL_0889,889,ザマゼンタ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0889
SHARED_CAPTURE_KEY_NATIONAL_0890,890,ムゲンダイナ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0890
SHARED_CAPTURE_KEY_NATIONAL_0891,891,ダクマ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0891
SHARED_CAPTURE_KEY_NATIONAL_0892,892,ウーラオス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0892
SHARED_CAPTURE_KEY_NATIONAL_0893,893,ザルード,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0893
SHARED_CAPTURE_KEY_NATIONAL_0894,894,レジエレキ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0894
SHARED_CAPTURE_KEY_NATIONAL_0895,895,レジドラゴ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0895
SHARED_CAPTURE_KEY_NATIONAL_0896,896,ブリザポス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0896
SHARED_CAPTURE_KEY_NATIONAL_0897,897,レイスポス,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0897
SHARED_CAPTURE_KEY_NATIONAL_0898,898,バドレックス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0898
SHARED_CAPTURE_KEY_NATIONAL_0905,905,ラブトロス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0905
SHARED_CAPTURE_KEY_NATIONAL_0984,984,イダイナキバ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0984
SHARED_CAPTURE_KEY_NATIONAL_0985,985,サケブシッポ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0985
SHARED_CAPTURE_KEY_NATIONAL_0986,986,アラブルタケ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0986
SHARED_CAPTURE_KEY_NATIONAL_0987,987,ハバタクカミ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0987
SHARED_CAPTURE_KEY_NATIONAL_0988,988,チヲハウハネ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0988
SHARED_CAPTURE_KEY_NATIONAL_0989,989,スナノケガワ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0989
SHARED_CAPTURE_KEY_NATIONAL_0990,990,テツノワダチ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0990
SHARED_CAPTURE_KEY_NATIONAL_0991,991,テツノツツミ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0991
SHARED_CAPTURE_KEY_NATIONAL_0992,992,テツノカイナ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0992
SHARED_CAPTURE_KEY_NATIONAL_0993,993,テツノコウベ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0993
SHARED_CAPTURE_KEY_NATIONAL_0994,994,テツノドクガ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0994
SHARED_CAPTURE_KEY_NATIONAL_0995,995,テツノイバラ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0995
SHARED_CAPTURE_KEY_NATIONAL_1001,1001,チオンジェン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1001
SHARED_CAPTURE_KEY_NATIONAL_1002,1002,パオジアン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1002
SHARED_CAPTURE_KEY_NATIONAL_1003,1003,ディンルー,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1003
SHARED_CAPTURE_KEY_NATIONAL_1004,1004,イーユイ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1004
SHARED_CAPTURE_KEY_NATIONAL_1005,1005,トドロクツキ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1005
SHARED_CAPTURE_KEY_NATIONAL_1006,1006,テツノブジン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_1006
SHARED_CAPTURE_KEY_NATIONAL_1007,1007,コライドン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1007
SHARED_CAPTURE_KEY_NATIONAL_1008,1008,ミライドン,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_1008
SHARED_CAPTURE_KEY_NATIONAL_1009,1009,ウネルミナモ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1009
SHARED_CAPTURE_KEY_NATIONAL_1010,1010,テツノイサハ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_1010
SHARED_CAPTURE_KEY_NATIONAL_1014,1014,イイネイヌ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1014
SHARED_CAPTURE_KEY_NATIONAL_1015,1015,マシマシラ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1015
SHARED_CAPTURE_KEY_NATIONAL_1016,1016,キチキギス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1016
SHARED_CAPTURE_KEY_NATIONAL_1017,1017,オーガポン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1017
SHARED_CAPTURE_KEY_NATIONAL_1020,1020,ウガツホムラ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_1020
SHARED_CAPTURE_KEY_NATIONAL_1021,1021,タケルライコ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1021
SHARED_CAPTURE_KEY_NATIONAL_1022,1022,テツノイワオ,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_1022
SHARED_CAPTURE_KEY_NATIONAL_1023,1023,テツノカシラ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1023
SHARED_CAPTURE_KEY_NATIONAL_1024,1024,テラパゴス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1024
SHARED_CAPTURE_KEY_NATIONAL_1025,1025,モモワロウ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_1025
