consumer_key,consumer_index,encounter_key,runtime_trainer_id,original_trainer_id,original_owner,normalization_reason,original_command,original_address,battle_format,battle_type,unlock_expression,defeat_state_key,party_key,dialogue_set_key,reward_key,gimmick_key
ARCHIVE_REMATCH_0011,11,ENC_TOHOKU_REF_0133,1089,1089,ENC_TOHOKU_REF_0130,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x08757B8D,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0011_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0011_DEFEATED,PARTY_TOHOKU_REF_0133,DIALOGUE_TOHOKU_REF_0133,REWARD_TOHOKU_REF_0133,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0012,12,ENC_TOHOKU_REF_0135,1090,1090,ENC_TOHOKU_REF_0134,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194453,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0012_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0012_DEFEATED,PARTY_TOHOKU_REF_0135,DIALOGUE_TOHOKU_REF_0135,REWARD_TOHOKU_REF_0135,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0013,13,ENC_TOHOKU_REF_0150,1093,1093,ENC_TOHOKU_REF_0149,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x0873E2E1,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0013_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0013_DEFEATED,PARTY_TOHOKU_REF_0150,DIALOGUE_TOHOKU_REF_0150,REWARD_TOHOKU_REF_0150,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0014,14,ENC_TOHOKU_REF_0160,1097,1097,ENC_TOHOKU_REF_0159,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0819447F,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0014_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0014_DEFEATED,PARTY_TOHOKU_REF_0160,DIALOGUE_TOHOKU_REF_0160,REWARD_TOHOKU_REF_0160,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0015,15,ENC_TOHOKU_REF_0162,1098,1098,ENC_TOHOKU_REF_0161,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194476,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0015_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0015_DEFEATED,PARTY_TOHOKU_REF_0162,DIALOGUE_TOHOKU_REF_0162,REWARD_TOHOKU_REF_0162,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0016,16,ENC_TOHOKU_REF_0164,1099,1099,ENC_TOHOKU_REF_0163,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0819447C,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0016_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0016_DEFEATED,PARTY_TOHOKU_REF_0164,DIALOGUE_TOHOKU_REF_0164,REWARD_TOHOKU_REF_0164,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0017,17,ENC_TOHOKU_REF_0167,1100,1100,ENC_TOHOKU_REF_0166,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194470,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0017_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0017_DEFEATED,PARTY_TOHOKU_REF_0167,DIALOGUE_TOHOKU_REF_0167,REWARD_TOHOKU_REF_0167,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0018,18,ENC_TOHOKU_REF_0223,1119,1119,ENC_TOHOKU_REF_0222,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194482,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0018_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0018_DEFEATED,PARTY_TOHOKU_REF_0223,DIALOGUE_TOHOKU_REF_0223,REWARD_TOHOKU_REF_0223,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0019,19,ENC_TOHOKU_REF_0225,1120,1120,ENC_TOHOKU_REF_0224,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194479,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0019_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0019_DEFEATED,PARTY_TOHOKU_REF_0225,DIALOGUE_TOHOKU_REF_0225,REWARD_TOHOKU_REF_0225,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0020,20,ENC_TOHOKU_REF_0227,1121,1121,ENC_TOHOKU_REF_0226,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194473,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0020_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0020_DEFEATED,PARTY_TOHOKU_REF_0227,DIALOGUE_TOHOKU_REF_0227,REWARD_TOHOKU_REF_0227,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0021,21,ENC_TOHOKU_REF_0237,220,220,ENC_TOHOKU_REF_0238,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194457,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0021_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0021_DEFEATED,PARTY_TOHOKU_REF_0237,DIALOGUE_TOHOKU_REF_0237,REWARD_TOHOKU_REF_0237,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0022,22,ENC_TOHOKU_REF_0241,1127,1127,ENC_TOHOKU_REF_0240,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x086833EC,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0022_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0022_DEFEATED,PARTY_TOHOKU_REF_0241,DIALOGUE_TOHOKU_REF_0241,REWARD_TOHOKU_REF_0241,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0023,23,ENC_TOHOKU_REF_0244,1129,1129,ENC_TOHOKU_REF_0243,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x086835B5,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0023_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0023_DEFEATED,PARTY_TOHOKU_REF_0244,DIALOGUE_TOHOKU_REF_0244,REWARD_TOHOKU_REF_0244,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0024,24,ENC_TOHOKU_REF_0273,1146,1146,ENC_TOHOKU_REF_0272,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x081944AC,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0024_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0024_DEFEATED,PARTY_TOHOKU_REF_0273,DIALOGUE_TOHOKU_REF_0273,REWARD_TOHOKU_REF_0273,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0025,25,ENC_TOHOKU_REF_0325,1164,1164,ENC_TOHOKU_REF_0324,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194450,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0025_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0025_DEFEATED,PARTY_TOHOKU_REF_0325,DIALOGUE_TOHOKU_REF_0325,REWARD_TOHOKU_REF_0325,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0026,26,ENC_TOHOKU_REF_0327,1165,1165,ENC_TOHOKU_REF_0326,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x081944B2,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0026_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0026_DEFEATED,PARTY_TOHOKU_REF_0327,DIALOGUE_TOHOKU_REF_0327,REWARD_TOHOKU_REF_0327,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0027,27,ENC_TOHOKU_REF_0329,1166,1166,ENC_TOHOKU_REF_0328,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x081944B8,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0027_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0027_DEFEATED,PARTY_TOHOKU_REF_0329,DIALOGUE_TOHOKU_REF_0329,REWARD_TOHOKU_REF_0329,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0028,28,ENC_TOHOKU_REF_0356,1178,1178,ENC_TOHOKU_REF_0355,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0842C7F3,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0028_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0028_DEFEATED,PARTY_TOHOKU_REF_0356,DIALOGUE_TOHOKU_REF_0356,REWARD_TOHOKU_REF_0356,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0029,29,ENC_TOHOKU_REF_0357,281,281,ENC_TOHOKU_REF_0358,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194463,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0029_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0029_DEFEATED,PARTY_TOHOKU_REF_0357,DIALOGUE_TOHOKU_REF_0357,REWARD_TOHOKU_REF_0357,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0030,30,ENC_TOHOKU_REF_0360,1180,1180,ENC_TOHOKU_REF_0359,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0842C7F0,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0030_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0030_DEFEATED,PARTY_TOHOKU_REF_0360,DIALOGUE_TOHOKU_REF_0360,REWARD_TOHOKU_REF_0360,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0031,31,ENC_TOHOKU_REF_0362,1181,1181,ENC_TOHOKU_REF_0361,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0842C7F6,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0031_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0031_DEFEATED,PARTY_TOHOKU_REF_0362,DIALOGUE_TOHOKU_REF_0362,REWARD_TOHOKU_REF_0362,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0032,32,ENC_TOHOKU_REF_0367,1183,1183,ENC_TOHOKU_REF_0366,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x086833C1,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0032_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0032_DEFEATED,PARTY_TOHOKU_REF_0367,DIALOGUE_TOHOKU_REF_0367,REWARD_TOHOKU_REF_0367,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0033,33,ENC_TOHOKU_REF_0369,288,288,ENC_TOHOKU_REF_0370,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0842C7E6,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0033_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0033_DEFEATED,PARTY_TOHOKU_REF_0369,DIALOGUE_TOHOKU_REF_0369,REWARD_TOHOKU_REF_0369,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0034,34,ENC_TOHOKU_REF_0372,1185,1185,ENC_TOHOKU_REF_0371,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0842C7E3,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0034_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0034_DEFEATED,PARTY_TOHOKU_REF_0372,DIALOGUE_TOHOKU_REF_0372,REWARD_TOHOKU_REF_0372,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0035,35,ENC_TOHOKU_REF_0377,292,292,ENC_TOHOKU_REF_0378,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0842C7E0,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0035_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0035_DEFEATED,PARTY_TOHOKU_REF_0377,DIALOGUE_TOHOKU_REF_0377,REWARD_TOHOKU_REF_0377,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0036,36,ENC_TOHOKU_REF_0380,1188,1188,ENC_TOHOKU_REF_0379,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x081944BE,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0036_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0036_DEFEATED,PARTY_TOHOKU_REF_0380,DIALOGUE_TOHOKU_REF_0380,REWARD_TOHOKU_REF_0380,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0037,37,ENC_TOHOKU_REF_0382,1189,1189,ENC_TOHOKU_REF_0381,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x081944C1,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0037_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0037_DEFEATED,PARTY_TOHOKU_REF_0382,DIALOGUE_TOHOKU_REF_0382,REWARD_TOHOKU_REF_0382,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0038,38,ENC_TOHOKU_REF_0384,1190,1190,ENC_TOHOKU_REF_0383,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0842C7E9,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0038_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0038_DEFEATED,PARTY_TOHOKU_REF_0384,DIALOGUE_TOHOKU_REF_0384,REWARD_TOHOKU_REF_0384,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0039,39,ENC_TOHOKU_REF_0387,297,297,ENC_TOHOKU_REF_0388,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194466,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0039_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0039_DEFEATED,PARTY_TOHOKU_REF_0387,DIALOGUE_TOHOKU_REF_0387,REWARD_TOHOKU_REF_0387,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0040,40,ENC_TOHOKU_REF_0409,1198,1198,ENC_TOHOKU_REF_0408,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x0875F774,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0040_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0040_DEFEATED,PARTY_TOHOKU_REF_0409,DIALOGUE_TOHOKU_REF_0409,REWARD_TOHOKU_REF_0409,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0041,41,ENC_TOHOKU_REF_0420,1201,1201,ENC_TOHOKU_REF_0419,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x0842A4EF,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0041_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0041_DEFEATED,PARTY_TOHOKU_REF_0420,DIALOGUE_TOHOKU_REF_0420,REWARD_TOHOKU_REF_0420,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0042,42,ENC_TOHOKU_REF_0425,1204,1204,ENC_TOHOKU_REF_0424,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x0842A521,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0042_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0042_DEFEATED,PARTY_TOHOKU_REF_0425,DIALOGUE_TOHOKU_REF_0425,REWARD_TOHOKU_REF_0425,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0043,43,ENC_TOHOKU_REF_0434,1209,1209,ENC_TOHOKU_REF_0433,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194485,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0043_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0043_DEFEATED,PARTY_TOHOKU_REF_0434,DIALOGUE_TOHOKU_REF_0434,REWARD_TOHOKU_REF_0434,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0044,44,ENC_TOHOKU_REF_0435,323,323,ENC_TOHOKU_REF_0436,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194469,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0044_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0044_DEFEATED,PARTY_TOHOKU_REF_0435,DIALOGUE_TOHOKU_REF_0435,REWARD_TOHOKU_REF_0435,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0045,45,ENC_TOHOKU_REF_0438,1211,1211,ENC_TOHOKU_REF_0437,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194488,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0045_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0045_DEFEATED,PARTY_TOHOKU_REF_0438,DIALOGUE_TOHOKU_REF_0438,REWARD_TOHOKU_REF_0438,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0046,46,ENC_TOHOKU_REF_0448,1213,1213,ENC_TOHOKU_REF_0447,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x08E1EBDB,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0046_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0046_DEFEATED,PARTY_TOHOKU_REF_0448,DIALOGUE_TOHOKU_REF_0448,REWARD_TOHOKU_REF_0448,NONE_CURRENT_ABI
