encounter_key,runtime_trainer_id,source_trainer_id,original_trainer_id,binding_mode,command_address,trainerbattle_kind,battle_type,battle_format,party_key,ai_profile_key,gimmick_type,gimmick_user_party_slot,gimmick_required_item_key,source_template_id,physical_flag,unlock_expression,dialogue_set_key,reward_key,original_binding_owner
ENC_KANTO_BOSS_LEAGUE_03,761,761,761,KANTO_NEW,source_object_index=0;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_LEAGUE_03,AI_FULL_SMART,MEGA,6,ITEM_KEY_GENGARITE,INSTANCE::PARTY_KANTO_BOSS_LEAGUE_03,FLAG_LEAGUE_03_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_LEAGUE_03,REWARD_KANTO_BOSS_LEAGUE_03,KANTO_DUNGEON_POKEMON_LEAGUE_AGATHAS_ROOM
ENC_KANTO_BOSS_LEAGUE_04,762,762,762,KANTO_NEW,source_object_index=0;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_LEAGUE_04,AI_FULL_SMART,MEGA,6,ITEM_KEY_SALAMENCITE,INSTANCE::PARTY_KANTO_BOSS_LEAGUE_04,FLAG_LEAGUE_04_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_LEAGUE_04,REWARD_KANTO_BOSS_LEAGUE_04,KANTO_DUNGEON_POKEMON_LEAGUE_LANCES_ROOM
ENC_KANTO_BOSS_LEAGUE_05,763,763,763,KANTO_NEW,source_object_index=0;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_LEAGUE_05,AI_FULL_SMART,MEGA,6,ITEM_KEY_PIDGEOTITE,INSTANCE::PARTY_KANTO_BOSS_LEAGUE_05,FLAG_LEAGUE_05_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_LEAGUE_05,REWARD_KANTO_BOSS_LEAGUE_05,KANTO_DUNGEON_POKEMON_LEAGUE_CHAMPIONS_ROOM
ENC_KANTO_ROUTE_001,4096,4096,4096,KANTO_NEW,"source_object=0@(20,26,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_001,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_001,FLAG_KANTO_ROUTE_001_DEFEATED,KANTO_REGION_ACTIVE,DIALOGUE_KANTO_ROUTE_001,REWARD_KANTO_ROUTE_001,KANTO_DUNGEON_MT_MOON_1_F
ENC_KANTO_ROUTE_002,4097,4097,4097,KANTO_NEW,"source_object=2@(30,35,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_002,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_002,FLAG_KANTO_ROUTE_002_DEFEATED,KANTO_REGION_ACTIVE,DIALOGUE_KANTO_ROUTE_002,REWARD_KANTO_ROUTE_002,KANTO_DUNGEON_MT_MOON_1_F
ENC_KANTO_ROUTE_003,4098,4098,4098,KANTO_NEW,"source_object=4@(7,26,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_003,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_003,FLAG_KANTO_ROUTE_003_DEFEATED,KANTO_REGION_ACTIVE,DIALOGUE_KANTO_ROUTE_003,REWARD_KANTO_ROUTE_003,KANTO_DUNGEON_MT_MOON_1_F
ENC_KANTO_ROUTE_004,4099,4099,4099,KANTO_NEW,"source_object=6@(7,10,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_004,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_004,FLAG_KANTO_ROUTE_004_DEFEATED,KANTO_REGION_ACTIVE,DIALOGUE_KANTO_ROUTE_004,REWARD_KANTO_ROUTE_004,KANTO_DUNGEON_MT_MOON_1_F
ENC_KANTO_ROUTE_005,4100,4100,4100,KANTO_NEW,"source_object=5@(35,12,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_005,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_005,FLAG_KANTO_ROUTE_005_DEFEATED,KANTO_REGION_ACTIVE,DIALOGUE_KANTO_ROUTE_005,REWARD_KANTO_ROUTE_005,KANTO_DUNGEON_MT_MOON_B2_F
ENC_KANTO_ROUTE_006,4101,4101,4101,KANTO_NEW,"source_object=6@(18,27,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_006,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_006,FLAG_KANTO_ROUTE_006_DEFEATED,KANTO_REGION_ACTIVE,DIALOGUE_KANTO_ROUTE_006,REWARD_KANTO_ROUTE_006,KANTO_DUNGEON_MT_MOON_B2_F
ENC_KANTO_ROUTE_007,4102,4102,4102,KANTO_NEW,"source_object=0@(22,24,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_007,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_007,FLAG_KANTO_ROUTE_007_DEFEATED,KANTO_CERT_COUNT>=6,DIALOGUE_KANTO_ROUTE_007,REWARD_KANTO_ROUTE_007,KANTO_DUNGEON_POKEMON_MANSION_1_F
ENC_KANTO_ROUTE_008,4103,4103,4103,KANTO_NEW,"source_object=4@(8,8,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_008,AI_FULL_SMART,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,INSTANCE::PARTY_KANTO_ROUTE_008,FLAG_KANTO_ROUTE_008_DEFEATED,KANTO_CERT_COUNT>=6,DIALOGUE_KANTO_ROUTE_008,REWARD_KANTO_ROUTE_008,KANTO_DUNGEON_POKEMON_MANSION_1_F
ENC_KANTO_ROUTE_009,4104,4104,4104,KANTO_NEW,"source_object=0@(5,23,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_009,AI_FULL_SMART,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,INSTANCE::PARTY_KANTO_ROUTE_009,FLAG_KANTO_ROUTE_009_DEFEATED,KANTO_CERT_COUNT>=6,DIALOGUE_KANTO_ROUTE_009,REWARD_KANTO_ROUTE_009,KANTO_DUNGEON_POKEMON_MANSION_2_F
ENC_KANTO_ROUTE_010,4105,4105,4105,KANTO_NEW,"source_object=0@(7,13,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_010,AI_FULL_SMART,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,INSTANCE::PARTY_KANTO_ROUTE_010,FLAG_KANTO_ROUTE_010_DEFEATED,KANTO_CERT_COUNT>=6,DIALOGUE_KANTO_ROUTE_010,REWARD_KANTO_ROUTE_010,KANTO_DUNGEON_POKEMON_MANSION_3_F
ENC_KANTO_ROUTE_011,4106,4106,4106,KANTO_NEW,"source_object=1@(22,13,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_011,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_011,FLAG_KANTO_ROUTE_011_DEFEATED,KANTO_CERT_COUNT>=6,DIALOGUE_KANTO_ROUTE_011,REWARD_KANTO_ROUTE_011,KANTO_DUNGEON_POKEMON_MANSION_3_F
ENC_KANTO_ROUTE_012,4107,4107,4107,KANTO_NEW,"source_object=1@(20,25,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_012,AI_FULL_SMART,Z_MOVE,5,ITEM_KEY_GRASSIUM_Z,INSTANCE::PARTY_KANTO_ROUTE_012,FLAG_KANTO_ROUTE_012_DEFEATED,KANTO_CERT_COUNT>=6,DIALOGUE_KANTO_ROUTE_012,REWARD_KANTO_ROUTE_012,KANTO_DUNGEON_POKEMON_MANSION_B1_F
ENC_KANTO_ROUTE_013,4108,4108,4108,KANTO_NEW,"source_object=2@(34,13,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_013,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_013,FLAG_KANTO_ROUTE_013_DEFEATED,KANTO_CERT_COUNT>=6,DIALOGUE_KANTO_ROUTE_013,REWARD_KANTO_ROUTE_013,KANTO_DUNGEON_POKEMON_MANSION_B1_F
ENC_KANTO_ROUTE_014,4109,4109,4109,KANTO_NEW,"source_object=0@(10,14,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_014,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_014,FLAG_KANTO_ROUTE_014_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_014,REWARD_KANTO_ROUTE_014,KANTO_DUNGEON_POKEMON_TOWER_3_F
ENC_KANTO_ROUTE_015,4110,4110,4110,KANTO_NEW,"source_object=1@(9,9,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_015,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_015,FLAG_KANTO_ROUTE_015_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_015,REWARD_KANTO_ROUTE_015,KANTO_DUNGEON_POKEMON_TOWER_3_F
ENC_KANTO_ROUTE_016,4111,4111,4111,KANTO_NEW,"source_object=0@(17,7,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_016,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_016,FLAG_KANTO_ROUTE_016_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_016,REWARD_KANTO_ROUTE_016,KANTO_DUNGEON_POKEMON_TOWER_4_F
ENC_KANTO_ROUTE_017,4112,4112,4112,KANTO_NEW,"source_object=1@(15,13,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_017,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_017,FLAG_KANTO_ROUTE_017_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_017,REWARD_KANTO_ROUTE_017,KANTO_DUNGEON_POKEMON_TOWER_4_F
ENC_KANTO_ROUTE_018,4113,4113,4113,KANTO_NEW,"source_object=0@(11,4,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_018,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_018,FLAG_KANTO_ROUTE_018_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_018,REWARD_KANTO_ROUTE_018,KANTO_DUNGEON_POKEMON_TOWER_5_F
ENC_KANTO_ROUTE_019,4114,4114,4114,KANTO_NEW,"source_object=1@(19,7,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_019,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_019,FLAG_KANTO_ROUTE_019_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_019,REWARD_KANTO_ROUTE_019,KANTO_DUNGEON_POKEMON_TOWER_5_F
ENC_KANTO_ROUTE_020,4115,4115,4115,KANTO_NEW,"source_object=0@(13,10,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_020,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_020,FLAG_KANTO_ROUTE_020_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_020,REWARD_KANTO_ROUTE_020,KANTO_DUNGEON_POKEMON_TOWER_6_F
ENC_KANTO_ROUTE_021,4116,4116,4116,KANTO_NEW,"source_object=1@(18,6,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_021,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_021,FLAG_KANTO_ROUTE_021_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_021,REWARD_KANTO_ROUTE_021,KANTO_DUNGEON_POKEMON_TOWER_6_F
ENC_KANTO_ROUTE_022,4117,4117,4117,KANTO_NEW,"source_object=2@(13,8,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_022,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_022,FLAG_KANTO_ROUTE_022_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_022,REWARD_KANTO_ROUTE_022,KANTO_DUNGEON_POKEMON_TOWER_7_F
ENC_KANTO_ROUTE_023,4118,4118,4118,KANTO_NEW,"source_object=3@(9,6,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_023,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_023,FLAG_KANTO_ROUTE_023_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_023,REWARD_KANTO_ROUTE_023,KANTO_DUNGEON_POKEMON_TOWER_7_F
ENC_KANTO_ROUTE_024,4119,4119,4119,KANTO_NEW,"source_object=0@(4,9,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_024,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_024,FLAG_KANTO_ROUTE_024_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_024,REWARD_KANTO_ROUTE_024,KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F
ENC_KANTO_ROUTE_025,4120,4120,4120,KANTO_NEW,"source_object=2@(6,32,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_025,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_025,FLAG_KANTO_ROUTE_025_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_025,REWARD_KANTO_ROUTE_025,KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F
ENC_KANTO_ROUTE_026,4121,4121,4121,KANTO_NEW,"source_object=3@(10,22,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_026,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_026,FLAG_KANTO_ROUTE_026_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_026,REWARD_KANTO_ROUTE_026,KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F
ENC_KANTO_ROUTE_027,4122,4122,4122,KANTO_NEW,"source_object=0@(20,6,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_027,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_027,FLAG_KANTO_ROUTE_027_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_027,REWARD_KANTO_ROUTE_027,KANTO_DUNGEON_ROCKET_HIDEOUT_B2_F
ENC_KANTO_ROUTE_028,4123,4123,4123,KANTO_NEW,"source_object=0@(19,9,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_028,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_028,FLAG_KANTO_ROUTE_028_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_028,REWARD_KANTO_ROUTE_028,KANTO_DUNGEON_ROCKET_HIDEOUT_B3_F
ENC_KANTO_ROUTE_029,4124,4124,4124,KANTO_NEW,"source_object=1@(2,20,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_029,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_029,FLAG_KANTO_ROUTE_029_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_029,REWARD_KANTO_ROUTE_029,KANTO_DUNGEON_ROCKET_HIDEOUT_B3_F
ENC_KANTO_ROUTE_030,4125,4125,4125,KANTO_NEW,"source_object=2@(4,2,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_030,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_030,FLAG_KANTO_ROUTE_030_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_030,REWARD_KANTO_ROUTE_030,KANTO_DUNGEON_ROCKET_HIDEOUT_B4_F
ENC_KANTO_ROUTE_031,4126,4126,4126,KANTO_NEW,"source_object=4@(19,14,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_031,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_031,FLAG_KANTO_ROUTE_031_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_031,REWARD_KANTO_ROUTE_031,KANTO_DUNGEON_ROCKET_HIDEOUT_B4_F
ENC_KANTO_ROUTE_032,4127,4127,4127,KANTO_NEW,"source_object=2@(45,24,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_032,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_032,FLAG_KANTO_ROUTE_032_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_032,REWARD_KANTO_ROUTE_032,KANTO_DUNGEON_ROCK_TUNNEL_1_F
ENC_KANTO_ROUTE_033,4128,4128,4128,KANTO_NEW,"source_object=3@(20,17,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_033,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_033,FLAG_KANTO_ROUTE_033_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_033,REWARD_KANTO_ROUTE_033,KANTO_DUNGEON_ROCK_TUNNEL_1_F
ENC_KANTO_ROUTE_034,4129,4129,4129,KANTO_NEW,"source_object=5@(7,5,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_034,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_034,FLAG_KANTO_ROUTE_034_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_034,REWARD_KANTO_ROUTE_034,KANTO_DUNGEON_ROCK_TUNNEL_1_F
ENC_KANTO_ROUTE_035,4130,4130,4130,KANTO_NEW,"source_object=6@(27,10,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_035,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_035,FLAG_KANTO_ROUTE_035_DEFEATED,KANTO_CERT_COUNT>=3,DIALOGUE_KANTO_ROUTE_035,REWARD_KANTO_ROUTE_035,KANTO_DUNGEON_ROCK_TUNNEL_1_F
ENC_KANTO_ROUTE_036,4131,4131,4131,KANTO_NEW,"source_object=0@(2,7,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_036,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_036,FLAG_KANTO_ROUTE_036_DEFEATED,KANTO_CERT_COUNT>=5,DIALOGUE_KANTO_ROUTE_036,REWARD_KANTO_ROUTE_036,KANTO_DUNGEON_SILPH_CO_10_F
ENC_KANTO_ROUTE_037,4132,4132,4132,KANTO_NEW,"source_object=2@(0,13,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_037,AI_FULL_SMART,Z_MOVE,5,ITEM_KEY_ELECTRIUM_Z,INSTANCE::PARTY_KANTO_ROUTE_037,FLAG_KANTO_ROUTE_037_DEFEATED,KANTO_CERT_COUNT>=5,DIALOGUE_KANTO_ROUTE_037,REWARD_KANTO_ROUTE_037,KANTO_DUNGEON_SILPH_CO_10_F
ENC_KANTO_ROUTE_038,4133,4133,4133,KANTO_NEW,"source_object=3@(16,12,3)",0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_ROUTE_038,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_ROUTE_038,FLAG_KANTO_ROUTE_038_DEFEATED,KANTO_CERT_COUNT>=5,DIALOGUE_KANTO_ROUTE_038,REWARD_KANTO_ROUTE_038,KANTO_DUNGEON_SILPH_CO_11_F
