party_key,encounter_key,battle_format,party_size,level_floor,level_cap,shared_party_policy,sharing_reason,ai_profile_key,trainer_item_keys,gimmick_key,runtime_status,notes
PARTY_TOHOKU_REF_0441,ENC_TOHOKU_REF_0441,SINGLE,1,5,5,UNIQUE_INSTANCE,NONE,AI_BASIC,[],NONE_CURRENT_ABI,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0442,ENC_TOHOKU_REF_0442,SINGLE,1,5,5,UNIQUE_INSTANCE,NONE,AI_BASIC,[],NONE_CURRENT_ABI,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1004,ENC_TOHOKU_REF_1004,DOUBLE,4,3,7,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1005,ENC_TOHOKU_REF_1005,DOUBLE,4,3,7,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1076,ENC_TOHOKU_REF_1076,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1077,ENC_TOHOKU_REF_1077,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1080,ENC_TOHOKU_REF_1080,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1081,ENC_TOHOKU_REF_1081,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1082,ENC_TOHOKU_REF_1082,SINGLE,3,3,7,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1083,ENC_TOHOKU_REF_1083,SINGLE,3,3,7,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1084,ENC_TOHOKU_REF_1084,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1085,ENC_TOHOKU_REF_1085,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1086,ENC_TOHOKU_REF_1086,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1087,ENC_TOHOKU_REF_1087,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1088,ENC_TOHOKU_REF_1088,SINGLE,4,9,13,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1089,ENC_TOHOKU_REF_1089,SINGLE,4,9,13,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1090,ENC_TOHOKU_REF_1090,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1091,ENC_TOHOKU_REF_1091,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1093,ENC_TOHOKU_REF_1093,SINGLE,4,9,13,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1094,ENC_TOHOKU_REF_1094,SINGLE,4,9,13,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1095,ENC_TOHOKU_REF_1095,SINGLE,4,9,13,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1096,ENC_TOHOKU_REF_1096,SINGLE,4,9,13,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1097,ENC_TOHOKU_REF_1097,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_1098,ENC_TOHOKU_REF_1098,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
