slot_type,slot_no,move_name,source,policy,unlock_gate,compatibility_rule
TM,22,どくづき,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,23,アイアンテール,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,24,てっぺき,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,25,だいちのいかり,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,26,でんじほう,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,27,くろいきり,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,28,ブレイブバード,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,29,サイコキネシス,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,30,シャドーボール,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,31,かわらわり,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,32,トライアタック,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,33,ぶちこわす,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,34,バトンタッチ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,35,あやしいひかり,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,36,ヘドロばくだん,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,37,どろばくだん,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,38,いかりのほのお,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,39,ウッドハンマー,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,40,ねっぷう,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,41,きあいだま,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,42,ほうでん,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,43,ドラゴンビート,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,44,おにび,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,45,ダイヤブラスト,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,46,じりょくせん,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,47,つじぎり,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,48,サイコパンチ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,49,フェザーダンス,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,50,だいばくはつ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,51,まもる,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,52,ねむる,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,53,ねごと,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,54,ちょうはつ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,55,リフレクター,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,56,ひかりのかべ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,57,あまごい,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,58,にほんばれ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,59,すなあらし,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,60,ゆきげしき,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,61,ステルスロック,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,62,トリックルーム,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,63,ボルトチェンジ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,64,とんぼがえり,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,65,じならし,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,66,バークアウト,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,67,チャージビーム,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,68,ローキック,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,69,アクロバット,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,70,ベノムショック,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,3～5バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,71,くさむすび,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,72,ニトロチャージ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,73,しおみず,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,74,ドレインパンチ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,75,サイコショック,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,76,イカサマ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,77,ラスターカノン,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,78,ヘドロウェーブ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,79,マジカルシャイン,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,80,じゃれつく,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,81,ボディプレス,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,82,アクアブレイク,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,83,アイアンヘッド,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,84,かみなりパンチ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,85,れいとうパンチ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,86,ほのおのパンチ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,87,タネばくだん,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,88,ダストシュート,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,89,ストーンエッジ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,90,じしん,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,91,10まんボルト,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,92,かえんほうしゃ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,93,れいとうビーム,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,94,ギガドレイン,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,95,はどうだん,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,6～8バッジ,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,96,りゅうのはどう,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,97,スケイルショット,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,98,はたきおとす,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,99,ポルターガイスト,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,100,ねっとう,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,101,クイックターン,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,102,しっとのほのお,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,103,ワイドブレイカー,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,104,とびかかる,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,105,じだんだ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,106,じごくづき,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,107,スマートホーン,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,108,サイコファング,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,109,アイススピナー,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,110,テラバースト,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,111,くさわけ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,112,ひやみず,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,113,とびつく,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,114,どろぼう,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,115,みねうち,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,116,てだすけ,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,117,エレキネット,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,118,ダブルウイング,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,119,こらえる,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TM,120,アンコール,統合版追加TM,一度入手後は再利用可能。高火力・競技技は後期へ,殿堂入り後／カントー認定,DPE互換を土台に、全種自動配布はしない。タイプ・器官・公式習得歴・役割の2条件以上を満たす場合のみ。
TUTOR,1,りゅうせいぐん,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,2,てっていこうせん,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,3,ハードプラント,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,4,ブラストバーン,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,5,ハイドロカノン,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,6,はたきおとす,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,7,おいかぜ,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,8,トリック,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,9,てだすけ,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,10,マジックコート,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,11,いやしのすず,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,12,きりばらい,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
TUTOR,13,はねやすめ,統合版教え技,強力な過去作技・競技技・タイプ奥義を集約,6～8バッジ,レベル技の個性を奪わないよう、広範囲サブウェポンは教え技へ隔離。
