evolution_chain_id,root_name,family,types_in_family,family_category,vega_inclusion,primary_role,recommended_level_up_core,recommended_tm_core,recommended_tutor_core,progression_rule,overcoverage_rule,manual_review_priority
29,マダツボミ,マダツボミ → ウツドン → ウツボット,くさ / どく,通常生態,未収録・追加対象,特殊アタッカー,メガドレイン / やどりぎのタネ / アシッドボム / どくどく / ギガドレイン / ヘドロばくだん / エナジーボール / ヘドロウェーブ,くさむすび / ベノムショック,グラススライダー / ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
30,メノクラゲ,メノクラゲ → ドククラゲ,どく / みず,通常生態,既存（トーホク図鑑212）; 既存（トーホク図鑑213）,特殊アタッカー,アクアジェット / みずのはどう / どくばり / アシッドボム / ハイドロポンプ / あまごい / ヘドロウェーブ / どくどく,アクアブレイク / ベノムショック,クイックターン / ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
31,イシツブテ,イシツブテ → ゴローン → ゴローニャ,いわ / じめん,通常生態,既存（トーホク図鑑315）; 既存（トーホク図鑑316）; 既存（トーホク図鑑317）,物理アタッカー,いわおとし / ステルスロック / どろかけ / すなあらし / いわなだれ / じならし / ストーンエッジ / じしん,ステルスロック / じならし,メテオビーム / ねっさのだいち,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
32,ポニータ,ポニータ → ギャロップ,ほのお,通常生態,未収録・追加対象,物理アタッカー,ひのこ / おにび / フレアドライブ,かえんほうしゃ,ねっぷう,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
33,ヤドン,ヤドン → ヤドラン → ヤドキング,みず / エスパー,通常生態,未収録・追加対象,特殊アタッカー,みずのはどう / あまごい / ねんりき / めいそう / アクアブレイク / なみのり / しねんのずつき / サイコキネシス,アクアブレイク / サイコショック,クイックターン / トリック,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
34,コイル,コイル → レアコイル → ジバコイル,でんき / はがね,人工・無機物,既存（トーホク図鑑058）; 既存（トーホク図鑑059）; 既存（トーホク図鑑060）,特殊アタッカー,スパーク / でんきショック / メタルクロー / ミラーショット / 10まんボルト / でんじは / ラスターカノン / てっぺき,ボルトチェンジ / ラスターカノン,エレキネット / アイアンヘッド,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
35,カモネギ,カモネギ → ネギガナイト,かくとう / ひこう / ノーマル,通常生態,既存（トーホク図鑑365）; 未収録・追加対象,物理アタッカー,ずつき / アンコール / つばさでうつ / おいかぜ / インファイト / ビルドアップ,まもる / アクロバット / ドレインパンチ,てだすけ / おいかぜ / コーチング,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
36,ドードー,ドードー → ドードリオ,ひこう / ノーマル,通常生態,未収録・追加対象,物理アタッカー,ずつき / アンコール / つばさでうつ / おいかぜ / すてみタックル / ブレイブバード,まもる / アクロバット,てだすけ / おいかぜ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
37,パウワウ,パウワウ → ジュゴン,こおり / みず,通常生態,未収録・追加対象,特殊アタッカー,アクアジェット / みずのはどう / ハイドロポンプ / あまごい / ふぶき / ゆきげしき,アクアブレイク / アイススピナー,クイックターン / トリプルアクセル,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
38,ベトベター,ベトベター → ベトベトン,どく,通常生態,未収録・追加対象,物理アタッカー,どくばり / アシッドボム / ダストシュート / どくどく,ベノムショック,ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
39,シェルダー,シェルダー → パルシェン,こおり / みず,通常生態,既存（トーホク図鑑041）; 既存（トーホク図鑑042）,特殊アタッカー,アクアジェット / みずのはどう / ハイドロポンプ / あまごい / ふぶき / ゆきげしき,アクアブレイク / アイススピナー,クイックターン / トリプルアクセル,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
40,ゴース,ゴース → ゴースト → ゲンガー,どく / ゴースト,通常生態,既存（トーホク図鑑063）; 既存（トーホク図鑑064）; 既存（トーホク図鑑065）,特殊アタッカー,おどろかす / おにび / アシッドボム / どくどく / たたりめ / ヘドロばくだん / シャドーボール / ヘドロウェーブ,シャドークロー / ベノムショック,ポルターガイスト / ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
41,イワーク,イワーク → ハガネール,いわ / じめん / はがね,通常生態,未収録・追加対象,物理寄り,いわおとし / ステルスロック / どろかけ / すなあらし / ヘビーボンバー / てっぺき / じしん,ステルスロック / じならし / ラスターカノン,メテオビーム / ねっさのだいち / アイアンヘッド,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
42,スリープ,スリープ → スリーパー,エスパー,通常生態,未収録・追加対象,特殊寄り,ねんりき / めいそう / サイコショック,サイコショック,トリック,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
43,クラブ,クラブ → キングラー,みず,通常生態,既存（トーホク図鑑231）; 既存（トーホク図鑑232）,物理アタッカー,アクアジェット / みずのはどう / たきのぼり / あまごい,アクアブレイク,クイックターン,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
44,ビリリダマ,ビリリダマ → マルマイン,でんき,人工・無機物,既存（トーホク図鑑223）; 既存（トーホク図鑑224）,特殊寄り,でんきショック / でんじは / かみなり,ボルトチェンジ,エレキネット,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
45,タマタマ,タマタマ → ナッシー,くさ / エスパー,通常生態,既存（トーホク図鑑066）; 既存（トーホク図鑑067）,特殊アタッカー,メガドレイン / やどりぎのタネ / ねんりき / めいそう / エナジーボール / サイコショック,くさむすび / サイコショック,グラススライダー / トリック,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
46,カラカラ,カラカラ → ガラガラ,じめん,通常生態,未収録・追加対象,物理アタッカー,どろかけ / すなあらし / ホネブーメラン / じしん,じならし,ねっさのだいち,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
47,バルキー,バルキー → サワムラー → エビワラー → カポエラー,かくとう,ベビィ含有,既存（トーホク図鑑046）; 既存（トーホク図鑑047）; 既存（トーホク図鑑048）; 既存（トーホク図鑑049）,物理寄り,インファイト / ビルドアップ / いわくだき,ドレインパンチ,コーチング,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
48,ベロリンガ,ベロリンガ → ベロベルト,ノーマル,通常生態,既存（トーホク図鑑270）; 既存（トーホク図鑑271）,物理寄り,ずつき / アンコール / すてみタックル,まもる,てだすけ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
49,ドガース,ドガース → マタドガス,どく,通常生態,既存（トーホク図鑑264）; 既存（トーホク図鑑265）,補助寄り両刀,どくばり / アシッドボム / ヘドロばくだん / どくどく / どくびし,ベノムショック,ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
50,サイホーン,サイホーン → サイドン → ドサイドン,いわ / じめん,通常生態,既存（トーホク図鑑071）; 既存（トーホク図鑑072）; 既存（トーホク図鑑073）,物理アタッカー,どろかけ / すなあらし / いわおとし / ステルスロック / じならし / いわなだれ / じしん / ストーンエッジ,じならし / ステルスロック,ねっさのだいち / メテオビーム,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
51,ピンプク,ピンプク → ラッキー → ハピナス,ノーマル,ベビィ含有,既存（トーホク図鑑287）; 既存（トーホク図鑑288）; 既存（トーホク図鑑289）,物理寄り,のしかかり / ハイパーボイス / アンコール / あくび / ずつき,まもる,てだすけ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
52,モンジャラ,モンジャラ → モジャンボ,くさ,通常生態,未収録・追加対象,特殊アタッカー,メガドレイン / やどりぎのタネ / エナジーボール,くさむすび,グラススライダー,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
53,ガルーラ,ガルーラ,ノーマル,通常生態,既存（トーホク図鑑118）,物理アタッカー,ずつき / アンコール,まもる,てだすけ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
54,タッツー,タッツー → シードラ → キングドラ,みず / ドラゴン,通常生態,未収録・追加対象,特殊アタッカー,アクアジェット / みずのはどう / アクアブレイク / なみのり / ハイドロポンプ / あまごい / りゅうせいぐん / りゅうのまい,アクアブレイク / ワイドブレイカー,クイックターン / りゅうせいぐん,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
55,トサキント,トサキント → アズマオウ,みず,通常生態,未収録・追加対象,両刀・可変,アクアジェット / みずのはどう / アクアブレイク / なみのり / あまごい,アクアブレイク,クイックターン,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
56,ヒトデマン,ヒトデマン → スターミー,みず / エスパー,人工・無機物,既存（トーホク図鑑061）; 既存（トーホク図鑑062）,特殊アタッカー,アクアジェット / みずのはどう / ハイドロポンプ / あまごい / サイコショック / めいそう,アクアブレイク / サイコショック,クイックターン / トリック,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
57,マネネ,マネネ → バリヤード → バリコオル,こおり / エスパー / フェアリー,ベビィ含有,未収録・追加対象,特殊アタッカー,サイコキネシス / めいそう / マジカルシャイン / あまえる / ねんりき / ようせいのかぜ / ふぶき / ゆきげしき,サイコショック / マジカルシャイン / アイススピナー,トリック / ミストバースト / トリプルアクセル,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
58,ストライク,ストライク → ハッサム → バサギリ,いわ / はがね / ひこう / むし,通常生態,既存（トーホク図鑑257）; 既存（トーホク図鑑258）; 未収録・追加対象,物理アタッカー,むしくい / ねばねばネット / つばさでうつ / おいかぜ / シザークロス / アイアンヘッド / てっぺき / がんせきアックス,とんぼがえり / アクロバット / ラスターカノン / ステルスロック,むしくい / おいかぜ / アイアンヘッド / メテオビーム,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
