scope,species_key,name,types,role,stage,tohoku_planned_level,kanto_planned_level,recommended_move1,recommended_move2,recommended_move3,recommended_move4,safety_checks
公式,16,ポッポ,ノーマル／ひこう,物理寄り,基礎形,Lv.12～17,Lv.68～72,ずつき,つばさでうつ,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,17,ピジョン,ノーマル／ひこう,物理寄り,中間進化,Lv.12～17,Lv.68～72,のしかかり,ドリルくちばし,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,18,ピジョット,ノーマル／ひこう,物理寄り,進化先／最終形,Lv.12～17,Lv.68～72,のしかかり,ドリルくちばし,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,19,コラッタ,ノーマル,物理寄り,基礎形,Lv.12～17,Lv.68～72,ずつき,アンコール,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,20,ラッタ,ノーマル,物理アタッカー,進化先／最終形,Lv.12～17,Lv.68～72,のしかかり,アンコール,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,21,オニスズメ,ノーマル／ひこう,物理寄り,基礎形,Lv.3～6,Lv.71～75,ずつき,つばさでうつ,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,22,オニドリル,ノーマル／ひこう,物理アタッカー,進化先／最終形,Lv.3～6,Lv.71～75,のしかかり,ドリルくちばし,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,23,アーボ,どく,補助寄り両刀,基礎形,既存値,Lv.76～82,どくばり,アシッドボム,どくどく,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,24,アーボック,どく,物理アタッカー,進化先／最終形,既存値,Lv.76～82,どくづき,どくどく,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,25,ピカチュウ,でんき,特殊寄り,中間進化,既存値,Lv.70～76,10まんボルト,でんじは,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,26,ライチュウ,でんき,特殊アタッカー,進化先／最終形,既存値,Lv.70～76,10まんボルト,でんじは,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,27,サンド,じめん,物理寄り,基礎形,既存値,Lv.72～77,どろかけ,すなあらし,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,28,サンドパン,じめん,物理アタッカー,進化先／最終形,既存値,Lv.72～77,じならし,すなあらし,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,29,ニドラン♀,どく,補助寄り両刀,基礎形,既存値,Lv.71～75,どくばり,アシッドボム,どくどく,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,30,ニドリーナ,どく,補助寄り両刀,中間進化,既存値,Lv.71～75,どくづき,ヘドロばくだん,どくどく,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,31,ニドクイン,どく／じめん,両刀・可変,進化先／最終形,既存値,Lv.71～75,どくづき,ヘドロばくだん,じならし,だいちのちから,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,32,ニドラン♂,どく,補助寄り両刀,基礎形,既存値,Lv.71～75,どくばり,アシッドボム,どくどく,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,33,ニドリーノ,どく,補助寄り両刀,中間進化,既存値,Lv.71～75,どくづき,ヘドロばくだん,どくどく,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,34,ニドキング,どく／じめん,両刀・可変,進化先／最終形,既存値,Lv.71～75,どくづき,ヘドロばくだん,じならし,だいちのちから,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,35,ピッピ,フェアリー,特殊寄り,中間進化,Lv.3～6,Lv.73～80,マジカルシャイン,あまえる,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,36,ピクシー,フェアリー,耐久・補助,進化先／最終形,Lv.3～6,Lv.73～80,じゃれつく,マジカルシャイン,あまえる,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,37,ロコン,ほのお,特殊寄り,基礎形,Lv.45～52,Lv.78～83,ひのこ,おにび,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,38,キュウコン,ほのお,特殊アタッカー,進化先／最終形,Lv.45～52,Lv.78～83,かえんほうしゃ,おにび,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,39,プリン,ノーマル／フェアリー,補助寄り両刀,中間進化,Lv.3～6,Lv.71～75,のしかかり,ハイパーボイス,じゃれつく,マジカルシャイン,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,40,プクリン,ノーマル／フェアリー,耐久・補助,進化先／最終形,Lv.3～6,Lv.71～75,のしかかり,ハイパーボイス,じゃれつく,マジカルシャイン,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,41,ズバット,どく／ひこう,補助寄り両刀,基礎形,Lv.10～14,Lv.73～80,どくばり,アシッドボム,つばさでうつ,かぜおこし,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,42,ゴルバット,どく／ひこう,補助寄り両刀,中間進化,Lv.10～14,Lv.73～80,どくづき,ヘドロばくだん,ドリルくちばし,エアスラッシュ,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,43,ナゾノクサ,くさ／どく,特殊寄り,基礎形,Lv.9～13,Lv.74～79,メガドレイン,アシッドボム,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,44,クサイハナ,くさ／どく,特殊寄り,進化先／最終形,Lv.9～13,Lv.74～79,ギガドレイン,ヘドロばくだん,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,45,ラフレシア,くさ／どく,特殊アタッカー,進化先／最終形,Lv.9～13,Lv.74～79,ギガドレイン,ヘドロばくだん,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,46,パラス,むし／くさ,両刀・可変,基礎形,Lv.38～48／殿堂入り後Lv.55～70,Lv.73～80,むしくい,むしのていこう,はっぱカッター,メガドレイン,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,47,パラセクト,むし／くさ,両刀・可変,進化先／最終形,Lv.38～48／殿堂入り後Lv.55～70,Lv.73～80,シザークロス,むしのさざめき,タネばくだん,ギガドレイン,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,48,コンパン,むし／どく,物理寄り,基礎形,Lv.9～13,Lv.84～89,むしくい,どくばり,ねばねばネット,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,49,モルフォン,むし／どく,特殊アタッカー,進化先／最終形,Lv.9～13,Lv.84～89,むしのさざめき,ヘドロばくだん,ねばねばネット,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,50,ディグダ,じめん,物理寄り,基礎形,既存値,Lv.76～83,どろかけ,すなあらし,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,51,ダグトリオ,じめん,物理アタッカー,進化先／最終形,既存値,Lv.76～83,じならし,すなあらし,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,52,ニャース,ノーマル,物理寄り,基礎形,Lv.12～17,Lv.74～79,ずつき,アンコール,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,53,ペルシアン,ノーマル,物理アタッカー,中間進化,Lv.12～17,Lv.74～79,のしかかり,アンコール,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,54,コダック,みず,両刀・可変,基礎形,Lv.27～33,Lv.75～80,アクアジェット,みずのはどう,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,55,ゴルダック,みず,両刀・可変,進化先／最終形,Lv.27～33,Lv.75～80,アクアブレイク,なみのり,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,56,マンキー,かくとう,物理寄り,基礎形,Lv.44～54／殿堂入り後Lv.60～75,Lv.90～95,いわくだき,ビルドアップ,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,57,オコリザル,かくとう,物理アタッカー,中間進化,Lv.44～54／殿堂入り後Lv.60～75,Lv.90～95,かわらわり,ビルドアップ,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,58,ガーディ,ほのお,特殊寄り,基礎形,Lv.30～40／殿堂入り後Lv.55～70,Lv.78～83,ひのこ,おにび,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,59,ウインディ,ほのお,両刀・可変,進化先／最終形,Lv.30～40／殿堂入り後Lv.55～70,Lv.78～83,ニトロチャージ,かえんほうしゃ,おにび,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,60,ニョロモ,みず,両刀・可変,基礎形,Lv.27～33,Lv.75～80,アクアジェット,みずのはどう,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,61,ニョロゾ,みず,両刀・可変,進化先／最終形,Lv.27～33,Lv.75～80,アクアブレイク,なみのり,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,62,ニョロボン,みず／かくとう,両刀・可変,進化先／最終形,Lv.27～33,Lv.75～80,アクアブレイク,なみのり,かわらわり,はどうだん,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,63,ケーシィ,エスパー,特殊寄り,基礎形,Lv.42～55／殿堂入り後Lv.62～78,Lv.74～79,ねんりき,めいそう,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,64,ユンゲラー,エスパー,特殊寄り,中間進化,Lv.42～55／殿堂入り後Lv.62～78,Lv.74～79,サイコキネシス,めいそう,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,65,フーディン,エスパー,特殊アタッカー,進化先／最終形,Lv.42～55／殿堂入り後Lv.62～78,Lv.74～79,サイコキネシス,めいそう,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,66,ワンリキー,かくとう,物理寄り,基礎形,Lv.31～38,Lv.80～87,いわくだき,ビルドアップ,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,67,ゴーリキー,かくとう,物理寄り,中間進化,Lv.31～38,Lv.80～87,かわらわり,ビルドアップ,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,68,カイリキー,かくとう,物理アタッカー,進化先／最終形,Lv.31～38,Lv.80～87,かわらわり,ビルドアップ,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,69,マダツボミ,くさ／どく,特殊寄り,基礎形,Lv.9～13,Lv.74～79,メガドレイン,アシッドボム,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,70,ウツドン,くさ／どく,特殊寄り,中間進化,Lv.9～13,Lv.74～79,ギガドレイン,ヘドロばくだん,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,71,ウツボット,くさ／どく,特殊アタッカー,進化先／最終形,Lv.9～13,Lv.74～79,ギガドレイン,ヘドロばくだん,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,72,メノクラゲ,みず／どく,補助寄り両刀,基礎形,既存値,Lv.87～92,アクアジェット,みずのはどう,どくばり,アシッドボム,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,73,ドククラゲ,みず／どく,特殊アタッカー,進化先／最終形,既存値,Lv.87～92,なみのり,ヘドロばくだん,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,74,イシツブテ,いわ／じめん,物理寄り,基礎形,既存値,Lv.73～80,いわおとし,どろかけ,ステルスロック,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,75,ゴローン,いわ／じめん,物理寄り,中間進化,既存値,Lv.73～80,いわなだれ,じならし,ステルスロック,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,76,ゴローニャ,いわ／じめん,物理アタッカー,進化先／最終形,既存値,Lv.73～80,いわなだれ,じならし,ステルスロック,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,77,ポニータ,ほのお,特殊寄り,基礎形,Lv.30～40／殿堂入り後Lv.55～70,Lv.83～89,ひのこ,おにび,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,78,ギャロップ,ほのお,物理アタッカー,進化先／最終形,Lv.30～40／殿堂入り後Lv.55～70,Lv.83～89,ニトロチャージ,おにび,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,79,ヤドン,みず／エスパー,特殊寄り,基礎形,Lv.19～25,Lv.88～96,みずのはどう,ねんりき,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,80,ヤドラン,みず／エスパー,両刀・可変,中間進化,Lv.19～25,Lv.88～96,アクアブレイク,なみのり,しねんのずつき,サイコキネシス,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,81,コイル,でんき／はがね,両刀・可変,基礎形,既存値,Lv.82～94,スパーク,でんきショック,メタルクロー,ミラーショット,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,82,レアコイル,でんき／はがね,特殊アタッカー,中間進化,既存値,Lv.82～94,10まんボルト,ラスターカノン,でんじは,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,83,カモネギ,ノーマル／ひこう,物理アタッカー,基礎形,Lv.47～54,Lv.82～87,ずつき,つばさでうつ,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,84,ドードー,ノーマル／ひこう,物理寄り,基礎形,Lv.2～5,Lv.83～89,ずつき,つばさでうつ,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,85,ドードリオ,ノーマル／ひこう,物理アタッカー,進化先／最終形,Lv.2～5,Lv.83～89,のしかかり,ドリルくちばし,アンコール,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,86,パウワウ,みず,両刀・可変,基礎形,Lv.28～35,Lv.88～96,アクアジェット,みずのはどう,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,87,ジュゴン,みず／こおり,特殊アタッカー,進化先／最終形,Lv.28～35,Lv.88～96,なみのり,れいとうビーム,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,88,ベトベター,どく,補助寄り両刀,基礎形,Lv.27～33,Lv.91～98,どくばり,アシッドボム,どくどく,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,89,ベトベトン,どく,物理アタッカー,進化先／最終形,Lv.27～33,Lv.91～98,どくづき,どくどく,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,90,シェルダー,みず,両刀・可変,基礎形,既存値,Lv.88～96,アクアジェット,みずのはどう,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,91,パルシェン,みず／こおり,特殊アタッカー,進化先／最終形,既存値,Lv.88～96,なみのり,れいとうビーム,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,92,ゴース,ゴースト／どく,特殊寄り,基礎形,既存値,Lv.82～90,おどろかす,アシッドボム,おにび,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,93,ゴースト,ゴースト／どく,特殊寄り,中間進化,既存値,Lv.82～90,たたりめ,ヘドロばくだん,おにび,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,94,ゲンガー,ゴースト／どく,特殊アタッカー,進化先／最終形,既存値,Lv.82～90,たたりめ,ヘドロばくだん,おにび,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,95,イワーク,いわ／じめん,物理寄り,基礎形,Lv.30～40／殿堂入り後Lv.55～70,Lv.80～87,いわおとし,どろかけ,ステルスロック,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,96,スリープ,エスパー,特殊寄り,基礎形,Lv.42～55／殿堂入り後Lv.62～78,Lv.76～82,ねんりき,めいそう,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,97,スリーパー,エスパー,特殊寄り,進化先／最終形,Lv.42～55／殿堂入り後Lv.62～78,Lv.76～82,サイコキネシス,めいそう,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,98,クラブ,みず,両刀・可変,基礎形,既存値,Lv.82～87,アクアジェット,みずのはどう,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,99,キングラー,みず,物理アタッカー,進化先／最終形,既存値,Lv.82～87,アクアブレイク,あまごい,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,100,ビリリダマ,でんき,特殊寄り,基礎形,既存値,Lv.82～94,でんきショック,でんじは,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,101,マルマイン,でんき,特殊寄り,進化先／最終形,既存値,Lv.82～94,10まんボルト,でんじは,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,102,タマタマ,くさ／エスパー,特殊寄り,基礎形,既存値,Lv.85～94,メガドレイン,ねんりき,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,103,ナッシー,くさ／エスパー,特殊アタッカー,進化先／最終形,既存値,Lv.85～94,ギガドレイン,サイコキネシス,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,104,カラカラ,じめん,物理寄り,基礎形,Lv.30～40／殿堂入り後Lv.55～70,Lv.82～90,どろかけ,すなあらし,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,105,ガラガラ,じめん,物理アタッカー,進化先／最終形,Lv.30～40／殿堂入り後Lv.55～70,Lv.82～90,じならし,すなあらし,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,106,サワムラー,かくとう,物理アタッカー,進化先／最終形,既存値,Lv.78～84,かわらわり,ビルドアップ,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,107,エビワラー,かくとう,物理アタッカー,進化先／最終形,既存値,Lv.78～84,かわらわり,ビルドアップ,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,108,ベロリンガ,ノーマル,物理寄り,基礎形,既存値,Lv.84～90,ずつき,アンコール,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
