symbol_key,kind,owner,resolution_source,release_requirement,status,notes
EVENT_SPECIAL_NATIONAL_0486,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0487,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0488,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0489,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0490,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0491,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0492,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0493,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0494,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0638,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0639,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0640,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0641,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0642,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0643,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0644,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0645,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0646,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0647,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0648,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0649,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0716,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0717,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0718,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0719,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0720,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0721,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0772,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0773,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0785,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0786,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0787,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0788,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0789,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0790,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0791,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0792,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0793,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0794,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0795,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0796,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0797,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0798,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0799,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0800,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0801,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0802,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0803,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0804,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0805,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0806,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0807,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0808,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0809,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0888,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0889,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0890,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0891,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0892,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0893,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0894,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0895,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0896,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0897,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0898,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0905,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0984,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0985,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0986,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0987,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0988,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0989,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0990,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0991,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0992,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0993,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0994,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_0995,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1001,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1002,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1003,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1004,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1005,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1006,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1007,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1008,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1009,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1010,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1014,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1015,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1016,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1017,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1020,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1021,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1022,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1023,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1024,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_SPECIAL_NATIONAL_1025,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0152,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0155,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0158,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0252,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0255,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0258,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0387,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0390,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0393,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0495,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0498,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0501,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0650,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0653,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0656,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0722,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0725,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0728,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0810,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0813,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0816,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0906,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0909,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_STARTER_LAB_NATIONAL_0912,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1393,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1398,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1401,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1406,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1408,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1413,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1420,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1421,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1424,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_REGIONAL_EGG_1593,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0138,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0140,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0347,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0408,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0410,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0564,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0566,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0696,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0698,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0880,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0881,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0882,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_NATIONAL_0883,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_VEGA_0121,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_VEGA_0388,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_FOSSIL_RESTORE_VEGA_0390,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0122,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0142,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0143,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0144,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0389,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0400,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0401,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0402,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0406,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0409,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_VEGA_ARCHIVE_0410,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0862,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0863,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0864,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0865,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0866,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0867,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0900,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0902,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0903,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0904,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0980,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0981,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_EVOLUTION_SUPPORT_NATIONAL_0982,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_TRADE_EMULATOR_SERVICE,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
EVENT_ECOLOGY_RADAR_TIME_SERVICE,EVENT_KEY,acquisition_runtime,generated event table index,unique and stable,READY_TO_INTEGRATE,
ACQ_HOST_SCRIPT_HOST_STARTER_LAB,SCRIPT_KEY,map script serializer,existing symbol/linker resolver,READY_TO_SERIALIZE,READY_TO_SERIALIZE,
ACQ_HOST_SCRIPT_HOST_REGIONAL_NURSERY,SCRIPT_KEY,map script serializer,existing symbol/linker resolver,READY_TO_SERIALIZE,READY_TO_SERIALIZE,
ACQ_HOST_SCRIPT_HOST_FOSSIL_LAB,SCRIPT_KEY,map script serializer,existing symbol/linker resolver,READY_TO_SERIALIZE,READY_TO_SERIALIZE,
