claim_bit_index,claim_key,event_keys,species_keys,max_claims,migration_seed
0,CLAIM_ENABLING_FORM_1393,EVENT_REGIONAL_EGG_1393,SPECIES_KEY_MEOWTH_G,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
52,SHARED_CAPTURE_KEY_NATIONAL_0243,EVENT_SPECIAL_NATIONAL_0243,SPECIES_KEY_RAIKOU,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
53,SHARED_CAPTURE_KEY_NATIONAL_0244,EVENT_SPECIAL_NATIONAL_0244,SPECIES_KEY_ENTEI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
54,SHARED_CAPTURE_KEY_NATIONAL_0245,EVENT_SPECIAL_NATIONAL_0245,SPECIES_KEY_SUICUNE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
55,SHARED_CAPTURE_KEY_NATIONAL_0249,EVENT_SPECIAL_NATIONAL_0249,SPECIES_KEY_LUGIA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
56,SHARED_CAPTURE_KEY_NATIONAL_0250,EVENT_SPECIAL_NATIONAL_0250,SPECIES_KEY_HO_OH,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
57,SHARED_CAPTURE_KEY_NATIONAL_0251,EVENT_SPECIAL_NATIONAL_0251,SPECIES_KEY_CELEBI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
58,SHARED_CAPTURE_KEY_NATIONAL_0377,EVENT_SPECIAL_NATIONAL_0377,SPECIES_KEY_REGIROCK,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
59,SHARED_CAPTURE_KEY_NATIONAL_0378,EVENT_SPECIAL_NATIONAL_0378,SPECIES_KEY_REGICE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
60,SHARED_CAPTURE_KEY_NATIONAL_0379,EVENT_SPECIAL_NATIONAL_0379,SPECIES_KEY_REGISTEEL,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
61,SHARED_CAPTURE_KEY_NATIONAL_0380,EVENT_SPECIAL_NATIONAL_0380,SPECIES_KEY_LATIAS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
62,SHARED_CAPTURE_KEY_NATIONAL_0381,EVENT_SPECIAL_NATIONAL_0381,SPECIES_KEY_LATIOS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
63,SHARED_CAPTURE_KEY_NATIONAL_0382,EVENT_SPECIAL_NATIONAL_0382,SPECIES_KEY_KYOGRE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
64,SHARED_CAPTURE_KEY_NATIONAL_0383,EVENT_SPECIAL_NATIONAL_0383,SPECIES_KEY_GROUDON,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
65,SHARED_CAPTURE_KEY_NATIONAL_0384,EVENT_SPECIAL_NATIONAL_0384,SPECIES_KEY_RAYQUAZA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
66,SHARED_CAPTURE_KEY_NATIONAL_0385,EVENT_SPECIAL_NATIONAL_0385,SPECIES_KEY_JIRACHI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
67,SHARED_CAPTURE_KEY_NATIONAL_0386,EVENT_SPECIAL_NATIONAL_0386,SPECIES_KEY_DEOXYS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
68,SHARED_CAPTURE_KEY_NATIONAL_0480,EVENT_SPECIAL_NATIONAL_0480,SPECIES_KEY_UXIE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
69,SHARED_CAPTURE_KEY_NATIONAL_0481,EVENT_SPECIAL_NATIONAL_0481,SPECIES_KEY_MESPRIT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
70,SHARED_CAPTURE_KEY_NATIONAL_0482,EVENT_SPECIAL_NATIONAL_0482,SPECIES_KEY_AZELF,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
71,SHARED_CAPTURE_KEY_NATIONAL_0483,EVENT_SPECIAL_NATIONAL_0483,SPECIES_KEY_DIALGA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
72,SHARED_CAPTURE_KEY_NATIONAL_0484,EVENT_SPECIAL_NATIONAL_0484,SPECIES_KEY_PALKIA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
73,SHARED_CAPTURE_KEY_NATIONAL_0485,EVENT_SPECIAL_NATIONAL_0485,SPECIES_KEY_HEATRAN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
74,SHARED_CAPTURE_KEY_NATIONAL_0486,EVENT_SPECIAL_NATIONAL_0486,SPECIES_KEY_REGIGIGAS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
75,SHARED_CAPTURE_KEY_NATIONAL_0487,EVENT_SPECIAL_NATIONAL_0487,SPECIES_KEY_GIRATINA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
76,SHARED_CAPTURE_KEY_NATIONAL_0488,EVENT_SPECIAL_NATIONAL_0488,SPECIES_KEY_CRESSELIA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
77,SHARED_CAPTURE_KEY_NATIONAL_0489,EVENT_SPECIAL_NATIONAL_0489,SPECIES_KEY_PHIONE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
78,SHARED_CAPTURE_KEY_NATIONAL_0490,EVENT_SPECIAL_NATIONAL_0490,SPECIES_KEY_MANAPHY,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
79,SHARED_CAPTURE_KEY_NATIONAL_0491,EVENT_SPECIAL_NATIONAL_0491,SPECIES_KEY_DARKRAI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
80,SHARED_CAPTURE_KEY_NATIONAL_0492,EVENT_SPECIAL_NATIONAL_0492,SPECIES_KEY_SHAYMIN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
81,SHARED_CAPTURE_KEY_NATIONAL_0493,EVENT_SPECIAL_NATIONAL_0493,SPECIES_KEY_ARCEUS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
82,SHARED_CAPTURE_KEY_NATIONAL_0494,EVENT_SPECIAL_NATIONAL_0494,SPECIES_KEY_VICTINI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
83,SHARED_CAPTURE_KEY_NATIONAL_0638,EVENT_SPECIAL_NATIONAL_0638,SPECIES_KEY_COBALION,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
84,SHARED_CAPTURE_KEY_NATIONAL_0639,EVENT_SPECIAL_NATIONAL_0639,SPECIES_KEY_TERRAKION,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
85,SHARED_CAPTURE_KEY_NATIONAL_0640,EVENT_SPECIAL_NATIONAL_0640,SPECIES_KEY_VIRIZION,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
86,SHARED_CAPTURE_KEY_NATIONAL_0641,EVENT_SPECIAL_NATIONAL_0641,SPECIES_KEY_TORNADUS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
87,SHARED_CAPTURE_KEY_NATIONAL_0642,EVENT_SPECIAL_NATIONAL_0642,SPECIES_KEY_THUNDURUS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
88,SHARED_CAPTURE_KEY_NATIONAL_0643,EVENT_SPECIAL_NATIONAL_0643,SPECIES_KEY_RESHIRAM,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
89,SHARED_CAPTURE_KEY_NATIONAL_0644,EVENT_SPECIAL_NATIONAL_0644,SPECIES_KEY_ZEKROM,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
90,SHARED_CAPTURE_KEY_NATIONAL_0645,EVENT_SPECIAL_NATIONAL_0645,SPECIES_KEY_LANDORUS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
91,SHARED_CAPTURE_KEY_NATIONAL_0646,EVENT_SPECIAL_NATIONAL_0646,SPECIES_KEY_KYUREM,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
92,SHARED_CAPTURE_KEY_NATIONAL_0647,EVENT_SPECIAL_NATIONAL_0647,SPECIES_KEY_KELDEO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
93,SHARED_CAPTURE_KEY_NATIONAL_0648,EVENT_SPECIAL_NATIONAL_0648,SPECIES_KEY_MELOETTA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
94,SHARED_CAPTURE_KEY_NATIONAL_0649,EVENT_SPECIAL_NATIONAL_0649,SPECIES_KEY_GENESECT,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
95,SHARED_CAPTURE_KEY_NATIONAL_0716,EVENT_SPECIAL_NATIONAL_0716,SPECIES_KEY_XERNEAS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
96,SHARED_CAPTURE_KEY_NATIONAL_0717,EVENT_SPECIAL_NATIONAL_0717,SPECIES_KEY_YVELTAL,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
97,SHARED_CAPTURE_KEY_NATIONAL_0718,EVENT_SPECIAL_NATIONAL_0718,SPECIES_KEY_ZYGARDE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
98,SHARED_CAPTURE_KEY_NATIONAL_0719,EVENT_SPECIAL_NATIONAL_0719,SPECIES_KEY_DIANCIE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
99,SHARED_CAPTURE_KEY_NATIONAL_0720,EVENT_SPECIAL_NATIONAL_0720,SPECIES_KEY_HOOPA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
100,SHARED_CAPTURE_KEY_NATIONAL_0721,EVENT_SPECIAL_NATIONAL_0721,SPECIES_KEY_VOLCANION,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
101,SHARED_CAPTURE_KEY_NATIONAL_0772,EVENT_SPECIAL_NATIONAL_0772,SPECIES_KEY_TYPE_NULL,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
102,SHARED_CAPTURE_KEY_NATIONAL_0785,EVENT_SPECIAL_NATIONAL_0785,SPECIES_KEY_TAPU_KOKO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
103,SHARED_CAPTURE_KEY_NATIONAL_0786,EVENT_SPECIAL_NATIONAL_0786,SPECIES_KEY_TAPU_LELE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
104,SHARED_CAPTURE_KEY_NATIONAL_0787,EVENT_SPECIAL_NATIONAL_0787,SPECIES_KEY_TAPU_BULU,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
105,SHARED_CAPTURE_KEY_NATIONAL_0788,EVENT_SPECIAL_NATIONAL_0788,SPECIES_KEY_TAPU_FINI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
106,SHARED_CAPTURE_KEY_NATIONAL_0789,EVENT_SPECIAL_NATIONAL_0789,SPECIES_KEY_COSMOG,2,registered/caught evidence when policy flag allows; bounded counter for Cosmog
107,SHARED_CAPTURE_KEY_NATIONAL_0793,EVENT_SPECIAL_NATIONAL_0793,SPECIES_KEY_NIHILEGO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
108,SHARED_CAPTURE_KEY_NATIONAL_0794,EVENT_SPECIAL_NATIONAL_0794,SPECIES_KEY_BUZZWOLE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
109,SHARED_CAPTURE_KEY_NATIONAL_0795,EVENT_SPECIAL_NATIONAL_0795,SPECIES_KEY_PHEROMOSA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
110,SHARED_CAPTURE_KEY_NATIONAL_0796,EVENT_SPECIAL_NATIONAL_0796,SPECIES_KEY_XURKITREE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
111,SHARED_CAPTURE_KEY_NATIONAL_0797,EVENT_SPECIAL_NATIONAL_0797,SPECIES_KEY_CELESTEELA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
112,SHARED_CAPTURE_KEY_NATIONAL_0798,EVENT_SPECIAL_NATIONAL_0798,SPECIES_KEY_KARTANA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
113,SHARED_CAPTURE_KEY_NATIONAL_0799,EVENT_SPECIAL_NATIONAL_0799,SPECIES_KEY_GUZZLORD,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
114,SHARED_CAPTURE_KEY_NATIONAL_0800,EVENT_SPECIAL_NATIONAL_0800,SPECIES_KEY_NECROZMA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
115,SHARED_CAPTURE_KEY_NATIONAL_0801,EVENT_SPECIAL_NATIONAL_0801,SPECIES_KEY_MAGEARNA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
116,SHARED_CAPTURE_KEY_NATIONAL_0802,EVENT_SPECIAL_NATIONAL_0802,SPECIES_KEY_MARSHADOW,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
117,SHARED_CAPTURE_KEY_NATIONAL_0803,EVENT_SPECIAL_NATIONAL_0803,SPECIES_KEY_POIPOLE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
118,SHARED_CAPTURE_KEY_NATIONAL_0805,EVENT_SPECIAL_NATIONAL_0805,SPECIES_KEY_STAKATAKA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
119,SHARED_CAPTURE_KEY_NATIONAL_0806,EVENT_SPECIAL_NATIONAL_0806,SPECIES_KEY_BLACEPHALON,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
120,SHARED_CAPTURE_KEY_NATIONAL_0807,EVENT_SPECIAL_NATIONAL_0807,SPECIES_KEY_ZERAORA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
121,SHARED_CAPTURE_KEY_NATIONAL_0808,EVENT_SPECIAL_NATIONAL_0808,SPECIES_KEY_MELTAN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
122,SHARED_CAPTURE_KEY_NATIONAL_0888,EVENT_SPECIAL_NATIONAL_0888,SPECIES_KEY_ZACIAN,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
123,SHARED_CAPTURE_KEY_NATIONAL_0889,EVENT_SPECIAL_NATIONAL_0889,SPECIES_KEY_ZAMAZENTA,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
124,SHARED_CAPTURE_KEY_NATIONAL_0890,EVENT_SPECIAL_NATIONAL_0890,SPECIES_KEY_ETERNATUS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
125,SHARED_CAPTURE_KEY_NATIONAL_0891,EVENT_SPECIAL_NATIONAL_0891,SPECIES_KEY_KUBFU,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
126,SHARED_CAPTURE_KEY_NATIONAL_0893,EVENT_SPECIAL_NATIONAL_0893,SPECIES_KEY_ZARUDE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
127,SHARED_CAPTURE_KEY_NATIONAL_0894,EVENT_SPECIAL_NATIONAL_0894,SPECIES_KEY_REGIELEKI,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
128,SHARED_CAPTURE_KEY_NATIONAL_0895,EVENT_SPECIAL_NATIONAL_0895,SPECIES_KEY_REGIDRAGO,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
129,SHARED_CAPTURE_KEY_NATIONAL_0896,EVENT_SPECIAL_NATIONAL_0896,SPECIES_KEY_GLASTRIER,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
130,SHARED_CAPTURE_KEY_NATIONAL_0897,EVENT_SPECIAL_NATIONAL_0897,SPECIES_KEY_SPECTRIER,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
131,SHARED_CAPTURE_KEY_NATIONAL_0898,EVENT_SPECIAL_NATIONAL_0898,SPECIES_KEY_CALYREX,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
132,SHARED_CAPTURE_KEY_NATIONAL_0905,EVENT_SPECIAL_NATIONAL_0905,SPECIES_KEY_ENAMORUS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
133,SHARED_CAPTURE_KEY_NATIONAL_0984,EVENT_SPECIAL_NATIONAL_0984,SPECIES_KEY_GREAT_TUSK,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
134,SHARED_CAPTURE_KEY_NATIONAL_0985,EVENT_SPECIAL_NATIONAL_0985,SPECIES_KEY_SCREAM_TAIL,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
135,SHARED_CAPTURE_KEY_NATIONAL_0986,EVENT_SPECIAL_NATIONAL_0986,SPECIES_KEY_BRUTE_BONNET,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
136,SHARED_CAPTURE_KEY_NATIONAL_0987,EVENT_SPECIAL_NATIONAL_0987,SPECIES_KEY_FLUTTER_MANE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
137,SHARED_CAPTURE_KEY_NATIONAL_0988,EVENT_SPECIAL_NATIONAL_0988,SPECIES_KEY_SLITHER_WING,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
138,SHARED_CAPTURE_KEY_NATIONAL_0989,EVENT_SPECIAL_NATIONAL_0989,SPECIES_KEY_SANDY_SHOCKS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
139,SHARED_CAPTURE_KEY_NATIONAL_0990,EVENT_SPECIAL_NATIONAL_0990,SPECIES_KEY_IRON_TREADS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
140,SHARED_CAPTURE_KEY_NATIONAL_0991,EVENT_SPECIAL_NATIONAL_0991,SPECIES_KEY_IRON_BUNDLE,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
141,SHARED_CAPTURE_KEY_NATIONAL_0992,EVENT_SPECIAL_NATIONAL_0992,SPECIES_KEY_IRON_HANDS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
142,SHARED_CAPTURE_KEY_NATIONAL_0993,EVENT_SPECIAL_NATIONAL_0993,SPECIES_KEY_IRON_JUGULIS,1,registered/caught evidence when policy flag allows; bounded counter for Cosmog
