national_no,name,group,vega_existing,event_arc,primary_capture_region,primary_capture_location,secondary_clue_region,secondary_clue_location,unlock_requirement,event_flow,capture_level,primary_reward,secondary_reward,repeatability,capture_safety,shared_flag_policy,design_note
384,レックウザ,伝説,no,海・陸・空の共鳴,トーホク,三島／スフィアいせき上層,カントー,ふたごじま／グレン火口／23ばんどうろ高空,殿堂入り＋各島の環境調査,天候を正常化する短いダンジョン後に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0384_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
385,ジラーチ,幻,no,星の祈り,トーホク,ニューアイランド天文台,カントー,ニビ博物館屋上,殿堂入り＋ほしのかけら7個,夜空観測イベント。RTCなしでも観測装置で夜に固定可能。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0385_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
386,デオキシス,幻,no,隕石DNA,トーホク,D・H異常生態区画,カントー,ニビ博物館・月隕石研究室,殿堂入り＋いんせき入手,培養槽停止後に固定戦。フォルムは隕石端末で変更。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0386_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
480,ユクシー,伝説,no,湖の記憶,カントー,24ばんどうろ河岸／サファリ北／ハナダのどうくつ水晶湖,トーホク,シオウ湖畔／サファリ北湖／ニューアイランド湖,殿堂入り＋三湖の調査,三体は逃走せず固定戦。エムリットのみ短い徘徊演出を選択可。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0480_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
481,エムリット,伝説,no,湖の記憶,トーホク,シオウ湖畔／サファリ北湖／ニューアイランド湖,カントー,24ばんどうろ河岸／サファリ北／ハナダのどうくつ水晶湖,殿堂入り＋三湖の調査,三体は逃走せず固定戦。エムリットのみ短い徘徊演出を選択可。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0481_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
482,アグノム,伝説,no,湖の記憶,トーホク,シオウ湖畔／サファリ北湖／ニューアイランド湖,カントー,24ばんどうろ河岸／サファリ北／ハナダのどうくつ水晶湖,殿堂入り＋三湖の調査,三体は逃走せず固定戦。エムリットのみ短い徘徊演出を選択可。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0482_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
483,ディアルガ,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0483_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
484,パルキア,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0484_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
485,ヒードラン,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0485_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
486,レジギガス,伝説,no,巨人王の目覚め,トーホク,スフィアいせき・巨人の間,カントー,セキエイ高原・石門,6体のレジ系登録,石像に6つの紋章をはめて固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0486_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
487,ギラティナ,伝説,no,反転する月,トーホク,ときのようかん／スフィアいせき裏回廊,カントー,ポケモンタワー屋上／ハナダのどうくつ反転層,殿堂入り＋時空イベント完了,満月と新月を端末で切替え、それぞれ固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0487_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
488,クレセリア,伝説,no,反転する月,トーホク,ときのようかん／スフィアいせき裏回廊,カントー,ポケモンタワー屋上／ハナダのどうくつ反転層,殿堂入り＋時空イベント完了,満月と新月を端末で切替え、それぞれ固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0488_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
489,フィオネ,幻,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0489_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
490,マナフィ,幻,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0490_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
491,ダークライ,幻,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0491_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
492,シェイミ,幻,no,花の楽園,カントー,タマムシ温室・花園,トーホク,ハクジのもり奥,全国研究ランク3,汚染された花畑を回復。グラシデアも同時解禁。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0492_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
493,アルセウス,幻,no,創世の間,トーホク,スフィアいせき最深部,カントー,ハナダのどうくつ・創世門,各世代伝説アーク10件完了,プレート収集を簡略化し、代表18枚ではなく6属性章で解禁。,Lv.100,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0493_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
494,ビクティニ,幻,no,勝利の灯,トーホク,ポケモンじょう小塔,カントー,セキエイ高原・勝利碑,殿堂入り＋連勝10,塔の試練後に固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0494_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
638,コバルオン,伝説,no,聖剣の試練,カントー,ヤマブキ格闘道場／チャンピオンロード,トーホク,チャンピオンロード増設道場,殿堂入り＋格闘調査,三つの実戦課題をクリアして順番に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0638_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
639,テラキオン,伝説,no,聖剣の試練,カントー,ヤマブキ格闘道場／チャンピオンロード,トーホク,チャンピオンロード増設道場,殿堂入り＋格闘調査,三つの実戦課題をクリアして順番に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0639_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
640,ビリジオン,伝説,no,聖剣の試練,カントー,ヤマブキ格闘道場／チャンピオンロード,トーホク,チャンピオンロード増設道場,殿堂入り＋格闘調査,三つの実戦課題をクリアして順番に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0640_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
641,トルネロス,伝説,no,四風の石柱,トーホク,三島＋521ばんどうろ,カントー,9・10・17・20ばんどうろ観測柱,殿堂入り＋天候観測器,天候を切替えて固定戦。うつしかがみを同時入手。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0641_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
642,ボルトロス,伝説,no,四風の石柱,カントー,9・10・17・20ばんどうろ観測柱,トーホク,三島＋521ばんどうろ,殿堂入り＋天候観測器,天候を切替えて固定戦。うつしかがみを同時入手。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0642_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
643,レシラム,伝説,no,白黒の炉心,トーホク,D・Hビル地下反応炉,カントー,むじんはつでんしょ／シルフ動力室,スフィアいせき後,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0643_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
644,ゼクロム,伝説,no,白黒の炉心,トーホク,D・Hビル地下反応炉,カントー,むじんはつでんしょ／シルフ動力室,スフィアいせき後,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0644_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
645,ランドロス,伝説,no,四風の石柱,カントー,9・10・17・20ばんどうろ観測柱,トーホク,三島＋521ばんどうろ,殿堂入り＋天候観測器,天候を切替えて固定戦。うつしかがみを同時入手。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0645_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
646,キュレム,伝説,no,白黒の炉心,トーホク,D・Hビル地下反応炉,カントー,むじんはつでんしょ／シルフ動力室,スフィアいせき後,二つのエネルギーセルを停止し、キュレムを含む三連イベント。合体器具も解禁。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0646_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
647,ケルディオ,幻,no,誓いの入江,カントー,25ばんどうろ岬,トーホク,アーシア島の入江,聖剣3体登録,水上のリングを巡るタイムアタック後に固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0647_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
