national_no,name,identifier,generation,types,evolution_chain_id,family_category,is_legendary,is_mythical,vega_status,integration_action,earliest_gate,primary_area,acquisition_method,encounter_rate_or_limit,conditions,dex_policy,id_policy,root_name,family,integration_mode,tohoku_map_code,tohoku_location,tohoku_method,tohoku_level,tohoku_rate,tohoku_condition,kanto_map_code,kanto_location,kanto_method,kanto_level,kanto_rate,kanto_condition,dual_region_role,table_policy,implementation_priority,tohoku_acquisition_summary,tohoku_final_location,tohoku_final_method,tohoku_final_rate,tohoku_final_condition,kanto_acquisition_summary,kanto_final_location,kanto_final_method,kanto_final_rate,kanto_final_condition,cross_region_completion_rule,source_design
59,ウインディ,arcanine,1,ほのお,25,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,510～513ばんどうろ,進化,―,道具使用＋ほのおのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0059（新規16bit ID）,ガーディ,ガーディ → ウインディ,外来生態レイヤーへ追加,T028,ひのしま,洞窟・屋内オーバーレイ,Lv.30～40／殿堂入り後Lv.55～70,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K07,7ばんどうろ,草むらオーバーレイ,Lv.78～83,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,ガーディをトーホクで捕獲して進化,ひのしま,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,ガーディをカントーで捕獲して進化,7ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
60,ニョロモ,poliwag,1,みず,26,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,こおりのしま,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0060（新規16bit ID）,ニョロモ,ニョロモ → ニョロゾ → ニョロボン → ニョロトノ,外来生態レイヤーへ追加,T512,512ばんどうろ／すいどう,水上オーバーレイ,Lv.27～33,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K25,25ばんどうろ,水上オーバーレイ,Lv.75～80,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,512ばんどうろ／すいどう,水上オーバーレイ,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,25ばんどうろ,水上オーバーレイ,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
61,ニョロゾ,poliwhirl,1,みず,26,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,こおりのしま,進化,―,レベルアップ＋Lv.25以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0061（新規16bit ID）,ニョロモ,ニョロモ → ニョロゾ → ニョロボン → ニョロトノ,外来生態レイヤーへ追加,T512,512ばんどうろ／すいどう,水上オーバーレイ,Lv.27～33,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K25,25ばんどうろ,水上オーバーレイ,Lv.75～80,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,ニョロモをトーホクで捕獲して進化,512ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,ニョロモをカントーで捕獲して進化,25ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
62,ニョロボン,poliwrath,1,みず／かくとう,26,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,こおりのしま,進化,―,道具使用＋みずのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0062（新規16bit ID）,ニョロモ,ニョロモ → ニョロゾ → ニョロボン → ニョロトノ,外来生態レイヤーへ追加,T512,512ばんどうろ／すいどう,水上オーバーレイ,Lv.27～33,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K25,25ばんどうろ,水上オーバーレイ,Lv.75～80,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,ニョロモをトーホクで捕獲して進化,512ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,ニョロモをカントーで捕獲して進化,25ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
63,ケーシィ,abra,1,エスパー,27,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,スフィアいせき,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0063（新規16bit ID）,ケーシィ,ケーシィ → ユンゲラー → フーディン,外来生態レイヤーへ追加,T034,D・Hビル,洞窟・屋内オーバーレイ,Lv.42～55／殿堂入り後Lv.62～78,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K24,24ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,D・Hビル,洞窟・屋内オーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,24ばんどうろ,草むらオーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
64,ユンゲラー,kadabra,1,エスパー,27,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,スフィアいせき,進化,―,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0064（新規16bit ID）,ケーシィ,ケーシィ → ユンゲラー → フーディン,外来生態レイヤーへ追加,T034,D・Hビル,洞窟・屋内オーバーレイ,Lv.42～55／殿堂入り後Lv.62～78,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K24,24ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,ケーシィをトーホクで捕獲して進化,D・Hビル,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,ケーシィをカントーで捕獲して進化,24ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
65,フーディン,alakazam,1,エスパー,27,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,スフィアいせき,進化,―,「つながりのヒモ」を使用。通信交換でも従来通り進化。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0065（新規16bit ID）,ケーシィ,ケーシィ → ユンゲラー → フーディン,外来生態レイヤーへ追加,T034,D・Hビル,洞窟・屋内オーバーレイ,Lv.42～55／殿堂入り後Lv.62～78,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K24,24ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,ケーシィをトーホクで捕獲して進化,D・Hビル,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,ケーシィをカントーで捕獲して進化,24ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
66,ワンリキー,machop,1,かくとう,28,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ちえのどうくつ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0066（新規16bit ID）,ワンリキー,ワンリキー → ゴーリキー → カイリキー,外来生態レイヤーへ追加,T514,514ばんどうろ／すいどう,草むらオーバーレイ,Lv.31～38,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K30,イワヤマトンネル,洞窟・屋内オーバーレイ,Lv.80～87,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,514ばんどうろ／すいどう,草むらオーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,イワヤマトンネル,洞窟・屋内オーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
67,ゴーリキー,machoke,1,かくとう,28,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ちえのどうくつ,進化,―,レベルアップ＋Lv.28以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0067（新規16bit ID）,ワンリキー,ワンリキー → ゴーリキー → カイリキー,外来生態レイヤーへ追加,T514,514ばんどうろ／すいどう,草むらオーバーレイ,Lv.31～38,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K30,イワヤマトンネル,洞窟・屋内オーバーレイ,Lv.80～87,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,ワンリキーをトーホクで捕獲して進化,514ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,ワンリキーをカントーで捕獲して進化,イワヤマトンネル,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
68,カイリキー,machamp,1,かくとう,28,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ちえのどうくつ,進化,―,「つながりのヒモ」を使用。通信交換でも従来通り進化。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0068（新規16bit ID）,ワンリキー,ワンリキー → ゴーリキー → カイリキー,外来生態レイヤーへ追加,T514,514ばんどうろ／すいどう,草むらオーバーレイ,Lv.31～38,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K30,イワヤマトンネル,洞窟・屋内オーバーレイ,Lv.80～87,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,ワンリキーをトーホクで捕獲して進化,514ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,ワンリキーをカントーで捕獲して進化,イワヤマトンネル,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
69,マダツボミ,bellsprout,1,くさ／どく,29,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン東,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0069（新規16bit ID）,マダツボミ,マダツボミ → ウツドン → ウツボット,外来生態レイヤーへ追加,T504,504ばんどうろ／すいどう,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K05,5ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,504ばんどうろ／すいどう,草むらオーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,5ばんどうろ,草むらオーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
70,ウツドン,weepinbell,1,くさ／どく,29,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,レベルアップ＋Lv.21以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0070（新規16bit ID）,マダツボミ,マダツボミ → ウツドン → ウツボット,外来生態レイヤーへ追加,T504,504ばんどうろ／すいどう,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K05,5ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,マダツボミをトーホクで捕獲して進化,504ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,マダツボミをカントーで捕獲して進化,5ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
71,ウツボット,victreebel,1,くさ／どく,29,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,道具使用＋リーフのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0071（新規16bit ID）,マダツボミ,マダツボミ → ウツドン → ウツボット,外来生態レイヤーへ追加,T504,504ばんどうろ／すいどう,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K05,5ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,マダツボミをトーホクで捕獲して進化,504ばんどうろ／すいどう,進化／殿堂入り後DexNavで中間進化が稀に出現,通常野生は基礎種のみ,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,マダツボミをカントーで捕獲して進化,5ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
72,メノクラゲ,tentacool,1,みず／どく,30,通常生態,no,no,既存（トーホク図鑑212）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.212。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_212（実ROMから確定）,メノクラゲ,メノクラゲ → ドククラゲ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K19,19ばんどうろ,釣りオーバーレイ,Lv.87～92,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.212。内部種族ID・図鑑登録・イベント参照を変更しない。,カントー高レベル野生生態,19ばんどうろ,釣りオーバーレイ,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
73,ドククラゲ,tentacruel,1,みず／どく,30,通常生態,no,no,既存（トーホク図鑑213）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.213。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_213（実ROMから確定）,メノクラゲ,メノクラゲ → ドククラゲ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K19,19ばんどうろ,釣りオーバーレイ,Lv.87～92,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.213。内部種族ID・図鑑登録・イベント参照を変更しない。,メノクラゲをカントーで捕獲して進化,19ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
74,イシツブテ,geodude,1,いわ／じめん,31,通常生態,no,no,既存（トーホク図鑑315）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.315。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_315（実ROMから確定）,イシツブテ,イシツブテ → ゴローン → ゴローニャ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K27,おつきみやま,いわくだき／DexNav,Lv.73～80,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.315。内部種族ID・図鑑登録・イベント参照を変更しない。,カントー高レベル野生生態,おつきみやま,いわくだき／DexNav,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
75,ゴローン,graveler,1,いわ／じめん,31,通常生態,no,no,既存（トーホク図鑑316）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.316。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_316（実ROMから確定）,イシツブテ,イシツブテ → ゴローン → ゴローニャ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K27,おつきみやま,いわくだき／DexNav,Lv.73～80,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.316。内部種族ID・図鑑登録・イベント参照を変更しない。,イシツブテをカントーで捕獲して進化,おつきみやま,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
76,ゴローニャ,golem,1,いわ／じめん,31,通常生態,no,no,既存（トーホク図鑑317）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.317。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_317（実ROMから確定）,イシツブテ,イシツブテ → ゴローン → ゴローニャ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K27,おつきみやま,いわくだき／DexNav,Lv.73～80,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.317。内部種族ID・図鑑登録・イベント参照を変更しない。,イシツブテをカントーで捕獲して進化,おつきみやま,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
