evolution_chain_id,root_national_no,family,root_name,generation_first,types,category,vega_existing_members,new_members_to_import,integration_mode,tohoku_map_code,tohoku_location,tohoku_method,tohoku_level,tohoku_rate,tohoku_condition,kanto_map_code,kanto_location,kanto_method,kanto_level,kanto_rate,kanto_condition,dual_region_role,table_policy,implementation_priority
12,29,ニドラン♀ → ニドリーナ → ニドクイン,ニドラン♀,1,どく／じめん,通常生態,ニドラン♀・ニドリーナ・ニドクイン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K03,3ばんどうろ,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
13,32,ニドラン♂ → ニドリーノ → ニドキング,ニドラン♂,1,どく／じめん,通常生態,ニドラン♂・ニドリーノ・ニドキング,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K03,3ばんどうろ,大量発生,Lv.71～75,通常0%／発生中20～35%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
15,37,ロコン → キュウコン,ロコン,1,ほのお,通常生態,なし,ロコン・キュウコン,外来生態レイヤーへ追加,T521,521ばんどうろ／すいどう,草むらオーバーレイ,Lv.45～52,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K07,7ばんどうろ,草むらオーバーレイ,Lv.78～83,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
17,41,ズバット → ゴルバット → クロバット,ズバット,1,ひこう／どく,通常生態,なし,ズバット・ゴルバット・クロバット,外来生態レイヤーへ追加,T505,505ばんどうろ／すいどう,大量発生,Lv.10～14,通常0%／発生中20～35%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K27,おつきみやま,洞窟・屋内オーバーレイ,Lv.73～80,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
18,43,ナゾノクサ → クサイハナ → ラフレシア → キレイハナ,ナゾノクサ,1,どく／くさ,通常生態,なし,ナゾノクサ・クサイハナ・ラフレシア・キレイハナ,外来生態レイヤーへ追加,T504,504ばんどうろ／すいどう,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K05,5ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
19,46,パラス → パラセクト,パラス,1,むし／くさ,通常生態,なし,パラス・パラセクト,外来生態レイヤーへ追加,T036,サファリゾーン東,ずつき／朝昼オーバーレイ,Lv.38～48／殿堂入り後Lv.55～70,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K27,おつきみやま,洞窟・屋内オーバーレイ,Lv.73～80,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
20,48,コンパン → モルフォン,コンパン,1,どく／むし,通常生態,なし,コンパン・モルフォン,外来生態レイヤーへ追加,T504,504ばんどうろ／すいどう,大量発生,Lv.9～13,通常0%／発生中20～35%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K14,14ばんどうろ,大量発生,Lv.84～89,通常0%／発生中20～35%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
21,50,ディグダ → ダグトリオ,ディグダ,1,じめん,通常生態,ディグダ・ダグトリオ,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K28,ディグダのあな,いわくだき／DexNav,Lv.76～83,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
22,52,ニャース → ペルシアン → ニャイキング,ニャース,1,ノーマル／はがね,通常生態,なし,ニャース・ペルシアン・ニャイキング,外来生態レイヤーへ追加,T506,506ばんどうろ／すいどう,大量発生,Lv.12～17,通常0%／発生中20～35%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K05,5ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
23,54,コダック → ゴルダック,コダック,1,みず,通常生態,なし,コダック・ゴルダック,外来生態レイヤーへ追加,T512,512ばんどうろ／すいどう,釣りオーバーレイ,Lv.27～33,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K25,25ばんどうろ,釣りオーバーレイ,Lv.75～80,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
24,56,マンキー → オコリザル → コノヨザル,マンキー,1,かくとう／ゴースト,通常生態,なし,マンキー・オコリザル・コノヨザル,外来生態レイヤーへ追加,T032,ダークタワー,夜間オーバーレイ,Lv.44～54／殿堂入り後Lv.60～75,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K22,22ばんどうろ,夜間オーバーレイ,Lv.90～95,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
25,58,ガーディ → ウインディ,ガーディ,1,ほのお,通常生態,なし,ガーディ・ウインディ,外来生態レイヤーへ追加,T028,ひのしま,洞窟・屋内オーバーレイ,Lv.30～40／殿堂入り後Lv.55～70,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K07,7ばんどうろ,草むらオーバーレイ,Lv.78～83,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
26,60,ニョロモ → ニョロゾ → ニョロボン → ニョロトノ,ニョロモ,1,かくとう／みず,通常生態,なし,ニョロモ・ニョロゾ・ニョロボン・ニョロトノ,外来生態レイヤーへ追加,T512,512ばんどうろ／すいどう,水上オーバーレイ,Lv.27～33,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K25,25ばんどうろ,水上オーバーレイ,Lv.75～80,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
27,63,ケーシィ → ユンゲラー → フーディン,ケーシィ,1,エスパー,通常生態,なし,ケーシィ・ユンゲラー・フーディン,外来生態レイヤーへ追加,T034,D・Hビル,洞窟・屋内オーバーレイ,Lv.42～55／殿堂入り後Lv.62～78,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K24,24ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
28,66,ワンリキー → ゴーリキー → カイリキー,ワンリキー,1,かくとう,通常生態,なし,ワンリキー・ゴーリキー・カイリキー,外来生態レイヤーへ追加,T514,514ばんどうろ／すいどう,草むらオーバーレイ,Lv.31～38,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K30,イワヤマトンネル,洞窟・屋内オーバーレイ,Lv.80～87,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
29,69,マダツボミ → ウツドン → ウツボット,マダツボミ,1,どく／くさ,通常生態,なし,マダツボミ・ウツドン・ウツボット,外来生態レイヤーへ追加,T504,504ばんどうろ／すいどう,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K05,5ばんどうろ,草むらオーバーレイ,Lv.74～79,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
30,72,メノクラゲ → ドククラゲ,メノクラゲ,1,どく／みず,通常生態,メノクラゲ・ドククラゲ,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K19,19ばんどうろ,釣りオーバーレイ,Lv.87～92,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
31,74,イシツブテ → ゴローン → ゴローニャ,イシツブテ,1,じめん／いわ,通常生態,イシツブテ・ゴローン・ゴローニャ,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K27,おつきみやま,いわくだき／DexNav,Lv.73～80,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
32,77,ポニータ → ギャロップ,ポニータ,1,ほのお,通常生態,なし,ポニータ・ギャロップ,外来生態レイヤーへ追加,T028,ひのしま,洞窟・屋内オーバーレイ,Lv.30～40／殿堂入り後Lv.55～70,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K17,17ばんどうろ,草むらオーバーレイ,Lv.83～89,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
33,79,ヤドン → ヤドラン → ヤドキング,ヤドン,1,みず／エスパー,通常生態,なし,ヤドン・ヤドラン・ヤドキング,外来生態レイヤーへ追加,T508,508ばんどうろ／すいどう,水上オーバーレイ,Lv.19～25,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K38,ふたごじま,水上オーバーレイ,Lv.88～96,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
34,81,コイル → レアコイル → ジバコイル,コイル,1,はがね／でんき,人工・無機物,コイル・レアコイル・ジバコイル,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K40,むじんはつでんしょ,屋内異常遭遇／DexNav,Lv.82～94,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
35,83,カモネギ → ネギガナイト,カモネギ,1,ノーマル／かくとう／ひこう,通常生態,カモネギ,ネギガナイト,既存系統の拡張,T522,522ばんどうろ／すいどう,既存個体から追加進化＋ずつき／朝昼オーバーレイ,Lv.47～54,基礎種は既存／進化道具・技条件,ベガ内の既存種を入口にし、未収録の前進化・分岐・追加進化だけを追加。重複する野生個体は作らない。,K12,12ばんどうろ,草むらオーバーレイ＋追加進化道具,Lv.82～87,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクの既存個体を無駄にせず追加進化可能。カントーは進化道具と高レベル素材の供給地。,既存種族IDを固定し、進化先だけ新IDへ接続,P1
36,84,ドードー → ドードリオ,ドードー,1,ノーマル／ひこう,通常生態,なし,ドードー・ドードリオ,外来生態レイヤーへ追加,T501,501ばんどうろ／すいどう,草むらオーバーレイ,Lv.2～5,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K17,17ばんどうろ,草むらオーバーレイ,Lv.83～89,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
37,86,パウワウ → ジュゴン,パウワウ,1,みず／こおり,通常生態,なし,パウワウ・ジュゴン,外来生態レイヤーへ追加,T513,513ばんどうろ／すいどう,釣りオーバーレイ,Lv.28～35,追加抽選4～8%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K38,ふたごじま,釣りオーバーレイ,Lv.88～96,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
38,88,ベトベター → ベトベトン,ベトベター,1,どく,通常生態,なし,ベトベター・ベトベトン,外来生態レイヤーへ追加,T512,512ばんどうろ／すいどう,草むらオーバーレイ,Lv.27～33,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K39,ポケモンやしき,洞窟・屋内オーバーレイ,Lv.91～98,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
39,90,シェルダー → パルシェン,シェルダー,1,みず／こおり,通常生態,シェルダー・パルシェン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K38,ふたごじま,釣りオーバーレイ,Lv.88～96,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
40,92,ゴース → ゴースト → ゲンガー,ゴース,1,どく／ゴースト,通常生態,ゴース・ゴースト・ゲンガー,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K31,ポケモンタワー,夜間オーバーレイ,Lv.82～90,夜間8～12%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
41,95,イワーク → ハガネール,イワーク,1,じめん／いわ／はがね,通常生態,なし,イワーク・ハガネール,外来生態レイヤーへ追加,T028,ひのしま,いわくだき／DexNav,Lv.30～40／殿堂入り後Lv.55～70,通常0%／DexNav 2～5%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K30,イワヤマトンネル,いわくだき／DexNav,Lv.80～87,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
42,96,スリープ → スリーパー,スリープ,1,エスパー,通常生態,なし,スリープ・スリーパー,外来生態レイヤーへ追加,T034,D・Hビル,洞窟・屋内オーバーレイ,Lv.42～55／殿堂入り後Lv.62～78,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K11,11ばんどうろ,草むらオーバーレイ,Lv.76～82,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
43,98,クラブ → キングラー,クラブ,1,みず,通常生態,クラブ・キングラー,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K12,12ばんどうろ,水上オーバーレイ,Lv.82～87,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
44,100,ビリリダマ → マルマイン,ビリリダマ,1,でんき,人工・無機物,ビリリダマ・マルマイン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K40,むじんはつでんしょ,屋内異常遭遇／DexNav,Lv.82～94,通常0%／DexNav 2～5%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
