leader,city,rematch_location,slot,species,level,ability,held_item,move1,move2,move3,move4,battle_role
サザンカ,カラスバシティ,ユキユキやま・慰霊洞,6,ゲンガー,96,のろわれボディ,ゲンガナイト,シャドーボール,ヘドロばくだん,マジカルシャイン,みちづれ,メガ切り札
コナギ,ラピスラシティ,D・Hだんアジト・思念実験室,1,クエスパトラ,93,かそく,きあいのタスキ,ルミナコリジョン,まもる,バトンタッチ,マジカルシャイン,先発・加速
コナギ,ラピスラシティ,D・Hだんアジト・思念実験室,2,リキキリン,94,テイルアーマー,のどスプレー,ハイパーボイス,サイコキネシス,トリックルーム,10まんボルト,速度反転
コナギ,ラピスラシティ,D・Hだんアジト・思念実験室,3,グレンアルマ,95,くだけるよろい,じゃくてんほけん,アーマーキャノン,ワイドフォース,エナジーボール,こらえる,場依存砲台
コナギ,ラピスラシティ,D・Hだんアジト・思念実験室,4,ブリムオン,96,マジックミラー,たべのこし,サイコキネシス,マジカルシャイン,めいそう,トリックルーム,妨害反射
コナギ,ラピスラシティ,D・Hだんアジト・思念実験室,5,メタグロス,97,クリアボディ,とつげきチョッキ,コメットパンチ,しねんのずつき,じしん,バレットパンチ,物理中核
コナギ,ラピスラシティ,D・Hだんアジト・思念実験室,6,フーディン,99,マジックガード,フーディナイト,サイコキネシス,きあいだま,シャドーボール,アンコール,メガ切り札
スレナ／ミュウツー,ニューアイランド,ポケモンじょう・コピーアリーナ,1,メタモン,96,かわりもの,こだわりスカーフ,へんしん,—,—,—,相手エース複製
スレナ／ミュウツー,ニューアイランド,ポケモンじょう・コピーアリーナ,2,ポリゴンZ,97,てきおうりょく,こだわりメガネ,トライアタック,あくのはどう,れいとうビーム,10まんボルト,人工特殊
スレナ／ミュウツー,ニューアイランド,ポケモンじょう・コピーアリーナ,3,ミミッキュ,97,ばけのかわ,いのちのたま,じゃれつく,かげうち,つるぎのまい,のろい,擬態物理
スレナ／ミュウツー,ニューアイランド,ポケモンじょう・コピーアリーナ,4,ゾロアーク（ヒスイ）,98,イリュージョン,きあいのタスキ,うらみつらみ,ハイパーボイス,かえんほうしゃ,わるだくみ,編成偽装
スレナ／ミュウツー,ニューアイランド,ポケモンじょう・コピーアリーナ,5,シルヴァディ,99,ARシステム,メモリ（週替わり）,マルチアタック,すてゼリフ,れいとうビーム,かえんほうしゃ,タイプ可変
スレナ／ミュウツー,ニューアイランド,ポケモンじょう・コピーアリーナ,6,ミュウツー,100,プレッシャー,ミュウツナイトY,サイコブレイク,はどうだん,れいとうビーム,じこさいせい,最終メガ切り札
