form_id_source,source_scope,pokemon_id_source,species_national_no,species_name,pokemon_identifier,form_identifier,japanese_form_name,class,battle_only,mega,acquisition_policy,integration_method,storage_policy,dex_policy,verification
PokeAPI:10025,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,z,Ｚ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10026,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,exclamation,!,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10027,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,question,?,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10034,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,412,412,ミノムッチ,burmy,sandy,すなちのミノ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10035,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,412,412,ミノムッチ,burmy,trash,ゴミのミノ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10269,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,414,414,ガーメイル,mothim,sandy,すなちのミノ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10270,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,414,414,ガーメイル,mothim,trash,ゴミのミノ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10038,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,421,421,チェリム,cherrim,sunshine,ポジフォルム,戦闘中フォーム,yes,no,別個体として捕獲しない,戦闘エンジンのフォームチェンジで一時変化。戦闘終了時に必ず基礎形へ戻す。,独立内部ID（戦闘専用）,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10039,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,422,422,カラナクシ,shellos,east,ひがしのうみ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10040,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,423,423,トリトドン,gastrodon,east,ひがしのうみ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10045,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,fighting,かくとうタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10047,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,flying,ひこうタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10052,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,poison,どくタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10050,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,ground,じめんタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10054,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,rock,いわタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10041,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,bug,むしタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10048,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,ghost,ゴーストタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10055,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,steel,はがねタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10046,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,fire,ほのおタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10056,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,water,みずタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10049,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,grass,くさタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10044,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,electric,でんきタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10053,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,psychic,エスパータイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10051,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,ice,こおりタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10043,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,dragon,ドラゴンタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10042,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,dark,あくタイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10085,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,fairy,フェアリータイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10057,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,493,493,アルセウス,arceus,unknown,？？？タイプ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10068,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,585,585,シキジカ,deerling,summer,なつのすがた,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10069,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,585,585,シキジカ,deerling,autumn,あきのすがた,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10070,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,585,585,シキジカ,deerling,winter,ふゆのすがた,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
