gym_id,gym,leader,slot,pokemon,level,ability,held_item,moves,battle_role,ev_policy,ai_policy
K-GYM03,クチバジム,マチス,3,ジバコイル,85,がんじょう,ふうせん,10まんボルト／ラスターカノン／ボルトチェンジ／ボディプレス,受け崩し,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM03,クチバジム,マチス,4,タイカイデン,85,かちき,こだわりメガネ,かみなり／ぼうふう／ボルトチェンジ／ウェザーボール,雨対応高速,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM03,クチバジム,マチス,5,ヒートロトム,85,ふゆう,オボンのみ,オーバーヒート／ボルトチェンジ／おにび／でんじは,対面操作,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM03,クチバジム,マチス,6,メガライボルト,86,いかく,ライボルトナイト,10まんボルト／かえんほうしゃ／ボルトチェンジ／バークアウト,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM04,タマムシジム,エリカ,1,マスカーニャ,87,へんげんじざい,こだわりハチマキ,トリックフラワー／はたきおとす／とんぼがえり／じゃれつく,高速先発,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM04,タマムシジム,エリカ,2,オリーヴァ,87,こぼれダネ,グランドコート,ギガドレイン／だいちのちから／マジカルシャイン／ちからをすいとる,フィールド展開,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM04,タマムシジム,エリカ,3,ドレディア（ヒスイ）,88,はりきり,こうかくレンズ,しょうりのまい／リーフブレード／インファイト／ねむりごな,物理積み,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM04,タマムシジム,エリカ,4,カミツオロチ,88,さいせいりょく,とつげきチョッキ,きまぐレーザー／ギガドレイン／だいちのちから／ハイドロポンプ,特殊受け,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM04,タマムシジム,エリカ,5,モジャンボ,88,さいせいりょく,ゴツゴツメット,パワーウィップ／はたきおとす／ねむりごな／こうごうせい,物理受け,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM04,タマムシジム,エリカ,6,メガフシギバナ,89,あついしぼう,フシギバナイト,ギガドレイン／ヘドロばくだん／だいちのちから／こうごうせい,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM05,セキチクジム,キョウ,1,ドオー,90,てんねん,くろいヘドロ,どくどく／じしん／じこさいせい／くろいきり,先発・受け,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM05,セキチクジム,キョウ,2,オオニューラ,90,かるわざ,しろいハーブ,フェイタルクロー／インファイト／アクロバット／つるぎのまい,高速崩し,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM05,セキチクジム,キョウ,3,ブロロローム,91,フィルター,ふうせん,ホイールスピン／ダストシュート／10まんばりき／ギアチェンジ,積み,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM05,セキチクジム,キョウ,4,ドヒドイデ,91,さいせいりょく,だっしゅつボタン,トーチカ／なみのり／くろいきり／どくびし,サイクル,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM05,セキチクジム,キョウ,5,ドラピオン,91,スナイパー,ピントレンズ,クロスポイズン／はたきおとす／じしん／つるぎのまい,急所崩し,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM05,セキチクジム,キョウ,6,メガスピアー,92,てきおうりょく,スピアナイト,どくづき／とんぼがえり／ドリルライナー／はたきおとす,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM06,ヤマブキジム,ナツメ,1,クエスパトラ,93,かそく,たべのこし,めいそう／アシストパワー／マジカルシャイン／まもる,先発積み,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM06,ヤマブキジム,ナツメ,2,リキキリン,93,テイルアーマー,のどスプレー,ハイパーボイス／サイコキネシス／10まんボルト／わるだくみ,先制技封じ,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM06,ヤマブキジム,ナツメ,3,ブリムオン,94,マジックミラー,いのちのたま,サイコキネシス／ドレインキッス／マジカルフレイム／トリックルーム,反転展開,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM06,ヤマブキジム,ナツメ,4,イエッサン♀,94,サイコメイカー,グランドコート,ワイドフォース／マジカルシャイン／いやしのねがい／まもる,フィールド展開,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM06,ヤマブキジム,ナツメ,5,メタグロス,94,クリアボディ,とつげきチョッキ,コメットパンチ／しねんのずつき／じしん／バレットパンチ,耐久アタッカー,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM06,ヤマブキジム,ナツメ,6,メガフーディン,95,トレース,フーディナイト,サイコキネシス／きあいだま／シャドーボール／アンコール,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM07,グレンジム,カツラ,1,ラウドボーン,96,てんねん,あつぞこブーツ,フレアソング／シャドーボール／だいちのちから／なまける,先発・積み牽制,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM07,グレンジム,カツラ,2,グレンアルマ,96,もらいび,パワフルハーブ,アーマーキャノン／ワイドフォース／メテオビーム／はどうだん,特殊崩し,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM07,グレンジム,カツラ,3,ソウブレイズ,97,もらいび,クリアチャーム,むねんのつるぎ／かげうち／インファイト／つるぎのまい,物理崩し,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM07,グレンジム,カツラ,4,ウルガモス,97,ほのおのからだ,ラムのみ,ちょうのまい／ほのおのまい／むしのさざめき／ギガドレイン,積み,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM07,グレンジム,カツラ,5,バクガメス,97,シェルアーマー,しろいハーブ,からをやぶる／かえんほうしゃ／りゅうのはどう／ラスターカノン,反撃,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM07,グレンジム,カツラ,6,メガリザードンY,98,ひでり,リザードナイトY,ねっぷう／ソーラービーム／きあいだま／はねやすめ,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM08,トキワジム,グリーン,1,バンギラス,98,すなおこし,さらさらいわ,ストーンエッジ／かみくだく／じしん／ステルスロック,先発・砂,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM08,トキワジム,グリーン,2,ドサイドン,98,ハードロック,とつげきチョッキ,じしん／ロックブラスト／れいとうパンチ／アームハンマー,重戦車,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM08,トキワジム,グリーン,3,ナッシー,99,しゅうかく,オボンのみ,ソーラービーム／サイコキネシス／トリックルーム／ねむりごな,速度反転,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM08,トキワジム,グリーン,4,ギャラドス,99,いかく,ラムのみ,りゅうのまい／たきのぼり／じしん／こおりのキバ,積み,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM08,トキワジム,グリーン,5,ウインディ,99,いかく,こだわりハチマキ,フレアドライブ／しんそく／ワイルドボルト／インファイト,対面処理,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM08,トキワジム,グリーン,6,メガピジョット,100,ノーガード,ピジョットナイト,ぼうふう／ねっぷう／はねやすめ／とんぼがえり,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
