id,file_offset_start,file_offset_end_inclusive,gba_address_start,gba_address_end_inclusive,length,area,severity,vega_ips_output_hex,factory_ups_xor_hex,resolution,note
11,0x00016EE8,0x00016EEA,0x08016EE8,0x08016EEA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
12,0x000171A0,0x000171A2,0x080171A0,0x080171A2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
13,0x00018D54,0x00018D56,0x08018D54,0x08018D56,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
14,0x00018FB4,0x00018FB6,0x08018FB4,0x08018FB6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
15,0x00019400,0x00019402,0x08019400,0x08019402,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
16,0x000198E0,0x000198E2,0x080198E0,0x080198E2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
17,0x00019EF8,0x00019EFA,0x08019EF8,0x08019EFA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
18,0x00019F50,0x00019F52,0x08019F50,0x08019F52,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
19,0x0001A250,0x0001A252,0x0801A250,0x0801A252,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
20,0x0001A31C,0x0001A31E,0x0801A31C,0x0801A31E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
21,0x0001A410,0x0001A412,0x0801A410,0x0801A412,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
22,0x0001A4EC,0x0001A4EE,0x0801A4EC,0x0801A4EE,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
23,0x0001A5C8,0x0001A5CA,0x0801A5C8,0x0801A5CA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
24,0x0001A69C,0x0001A69E,0x0801A69C,0x0801A69E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
25,0x0001A808,0x0001A80A,0x0801A808,0x0801A80A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
26,0x0001C710,0x0001C712,0x0801C710,0x0801C712,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
27,0x0001C8A8,0x0001C8AA,0x0801C8A8,0x0801C8AA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
28,0x0001CAAC,0x0001CAAE,0x0801CAAC,0x0801CAAE,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
29,0x0001D144,0x0001D146,0x0801D144,0x0801D146,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
30,0x0001D1E0,0x0001D1E2,0x0801D1E0,0x0801D1E2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
31,0x0001D2A0,0x0001D2A2,0x0801D2A0,0x0801D2A2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
32,0x0001D400,0x0001D402,0x0801D400,0x0801D402,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
33,0x0001D47C,0x0001D47E,0x0801D47C,0x0801D47E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
34,0x0001D5C4,0x0001D5C6,0x0801D5C4,0x0801D5C6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
35,0x0001D678,0x0001D67A,0x0801D678,0x0801D67A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
36,0x0001D798,0x0001D79A,0x0801D798,0x0801D79A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
37,0x0001D910,0x0001D912,0x0801D910,0x0801D912,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
38,0x0001D9B8,0x0001D9BA,0x0801D9B8,0x0801D9BA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
39,0x0001DA98,0x0001DA9A,0x0801DA98,0x0801DA9A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
40,0x0001DCE8,0x0001DCEA,0x0801DCE8,0x0801DCEA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
41,0x0001DE90,0x0001DE92,0x0801DE90,0x0801DE92,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
42,0x0001DF78,0x0001DF7A,0x0801DF78,0x0801DF7A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
43,0x0001E000,0x0001E002,0x0801E000,0x0801E002,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
44,0x0001E040,0x0001E042,0x0801E040,0x0801E042,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
45,0x0001E120,0x0001E122,0x0801E120,0x0801E122,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
46,0x0001E2AC,0x0001E2AE,0x0801E2AC,0x0801E2AE,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
47,0x0001E30C,0x0001E30E,0x0801E30C,0x0801E30E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
48,0x0001E540,0x0001E542,0x0801E540,0x0801E542,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
49,0x0001E5C4,0x0001E5C6,0x0801E5C4,0x0801E5C6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
50,0x0001E5F4,0x0001E5F6,0x0801E5F4,0x0801E5F6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
51,0x0001E6A4,0x0001E6A6,0x0801E6A4,0x0801E6A6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
52,0x0001E7D8,0x0001E7DA,0x0801E7D8,0x0801E7DA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
53,0x0001E840,0x0001E842,0x0801E840,0x0801E842,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
54,0x0001E8D4,0x0001E8D6,0x0801E8D4,0x0801E8D6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
55,0x0001EA68,0x0001EA6A,0x0801EA68,0x0801EA6A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
56,0x0001ED4C,0x0001ED4E,0x0801ED4C,0x0801ED4E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
57,0x0001EF60,0x0001EF62,0x0801EF60,0x0801EF62,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
58,0x00020968,0x0002096A,0x08020968,0x0802096A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
59,0x000209A0,0x000209A2,0x080209A0,0x080209A2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
60,0x00022B28,0x00022B2A,0x08022B28,0x08022B2A,3,core-engine/hook-area,critical,D065E1,9C5818,PORT,
61,0x00022B4C,0x00022B4E,0x08022B4C,0x08022B4E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
62,0x00022C90,0x00022C92,0x08022C90,0x08022C92,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
63,0x0002313C,0x0002313E,0x0802313C,0x0802313E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
64,0x00023314,0x00023316,0x08023314,0x08023316,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
65,0x00023420,0x00023422,0x08023420,0x08023422,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
66,0x0002349C,0x0002349E,0x0802349C,0x0802349E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
67,0x0002366C,0x0002366E,0x0802366C,0x0802366E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
68,0x000238C4,0x000238C6,0x080238C4,0x080238C6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
69,0x000254E0,0x000254E6,0x080254E0,0x080254E6,7,core-engine/hook-area,critical,D065E108B0CBE0,9C581801BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
70,0x000258E8,0x000258EA,0x080258E8,0x080258EA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
71,0x00026828,0x0002682A,0x08026828,0x0802682A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
72,0x00026C40,0x00026C46,0x08026C40,0x08026C46,7,core-engine/hook-area,critical,D065E108B0CBE0,9C581801BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
73,0x00027E78,0x00027E7A,0x08027E78,0x08027E7A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
74,0x00027F1C,0x00027F1E,0x08027F1C,0x08027F1E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
75,0x00028244,0x00028246,0x08028244,0x08028246,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
76,0x00028324,0x00028326,0x08028324,0x08028326,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
77,0x00028C0C,0x00028C0E,0x08028C0C,0x08028C0E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
78,0x00028E84,0x00028E86,0x08028E84,0x08028E86,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
79,0x00028FC8,0x00028FCE,0x08028FC8,0x08028FCE,7,core-engine/hook-area,critical,D065E108B0CBE0,9C581801BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
80,0x00029958,0x0002995A,0x08029958,0x0802995A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
81,0x000299C8,0x000299CA,0x080299C8,0x080299CA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
82,0x00029A54,0x00029A56,0x08029A54,0x08029A56,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
83,0x0002A4D8,0x0002A4DA,0x0802A4D8,0x0802A4DA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
84,0x0002A5F0,0x0002A5F2,0x0802A5F0,0x0802A5F2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
85,0x0002A628,0x0002A62A,0x0802A628,0x0802A62A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
86,0x0002B298,0x0002B29A,0x0802B298,0x0802B29A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
87,0x0002B658,0x0002B65E,0x0802B658,0x0802B65E,7,core-engine/hook-area,critical,D065E108B0CBE0,9C581801BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
88,0x0002BE98,0x0002BE9A,0x0802BE98,0x0802BE9A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
89,0x0002C7EC,0x0002C7EE,0x0802C7EC,0x0802C7EE,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
90,0x0002E090,0x0002E092,0x0802E090,0x0802E092,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
91,0x0002E1D0,0x0002E1D2,0x0802E1D0,0x0802E1D2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
92,0x0002E278,0x0002E27A,0x0802E278,0x0802E27A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
93,0x00030020,0x00030022,0x08030020,0x08030022,3,core-engine/hook-area,critical,B0BBE0,8CC62E,PORT,0x08E0BBB0: Vega move-name table; 0x1000 bytes to 0x08E0CBB0 = 512 entries x 8 bytes
94,0x0003012C,0x0003012E,0x0803012C,0x0803012E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
95,0x000332B4,0x000332B6,0x080332B4,0x080332B6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
96,0x00037DDC,0x00037DDE,0x08037DDC,0x08037DDE,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
97,0x00037E28,0x00037E2A,0x08037E28,0x08037E2A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
98,0x00038B88,0x00038B8A,0x08038B88,0x08038B8A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
99,0x00038BD4,0x00038BD6,0x08038BD4,0x08038BD6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
100,0x00038D98,0x00038D9A,0x08038D98,0x08038D9A,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
101,0x00039030,0x00039032,0x08039030,0x08039032,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
102,0x00039900,0x00039902,0x08039900,0x08039902,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
103,0x0003E0B8,0x0003E0BA,0x0803E0B8,0x0803E0BA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
104,0x0003E13C,0x0003E13E,0x0803E13C,0x0803E13E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
105,0x0003E3A8,0x0003E3AA,0x0803E3A8,0x0803E3AA,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
106,0x0003E454,0x0003E457,0x0803E454,0x0803E457,4,core-engine/hook-area,critical,B0CBE008,BC683001,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
107,0x0003E4A8,0x0003E4AB,0x0803E4A8,0x0803E4AB,4,core-engine/hook-area,critical,03800849,BC683001,PORT,
108,0x0003E4CC,0x0003E4CE,0x0803E4CC,0x0803E4CE,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
109,0x0003E9C0,0x0003E9C2,0x0803E9C0,0x0803E9C2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
110,0x0003EB20,0x0003EB22,0x0803EB20,0x0803EB22,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
111,0x0003EC7C,0x0003EC7F,0x0803EC7C,0x0803EC7F,4,core-engine/hook-area,critical,B0CBE008,BC683001,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
112,0x0004074C,0x0004074E,0x0804074C,0x0804074E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
113,0x00045214,0x00045216,0x08045214,0x08045216,3,core-engine/hook-area,critical,30668B,C03C81,PORT,0x088B6630: Vega egg-move table target; seen at DPE-JP gEggMoves repoint site 0x08045214; Exact DPE-JP gEggMoves repoint site: 0x08045214
114,0x0004526A,0x0004526A,0x0804526A,0x0804526A,1,core-engine/hook-area,critical,31,3B,PORT,
115,0x0004528C,0x0004528E,0x0804528C,0x0804528E,3,core-engine/hook-area,critical,30668B,C03C81,PORT,0x088B6630: Vega egg-move table target; seen at DPE-JP gEggMoves repoint site 0x08045214
116,0x0004E7B4,0x0004E7B6,0x0804E7B4,0x0804E7B6,3,core-engine/hook-area,critical,B0BBE0,8CC62E,PORT,0x08E0BBB0: Vega move-name table; 0x1000 bytes to 0x08E0CBB0 = 512 entries x 8 bytes
117,0x0006B680,0x0006B682,0x0806B680,0x0806B682,3,core-engine/hook-area,critical,B0BBE0,8CC62E,PORT,0x08E0BBB0: Vega move-name table; 0x1000 bytes to 0x08E0CBB0 = 512 entries x 8 bytes
118,0x00071D75,0x00071D76,0x08071D75,0x08071D76,2,core-engine/hook-area,critical,5BE1,151A,PORT,
119,0x0009AF14,0x0009AF16,0x0809AF14,0x0809AF16,3,core-engine/hook-area,critical,B0BBE0,8CC62E,PORT,0x08E0BBB0: Vega move-name table; 0x1000 bytes to 0x08E0CBB0 = 512 entries x 8 bytes
120,0x000BEAEC,0x000BEAEE,0x080BEAEC,0x080BEAEE,3,core-engine/hook-area,critical,B0BBE0,8CC62E,PORT,0x08E0BBB0: Vega move-name table; 0x1000 bytes to 0x08E0CBB0 = 512 entries x 8 bytes
121,0x000C0C74,0x000C0C76,0x080C0C74,0x080C0C76,3,core-engine/hook-area,critical,B0BBE0,8CC62E,PORT,0x08E0BBB0: Vega move-name table; 0x1000 bytes to 0x08E0CBB0 = 512 entries x 8 bytes
