symbol,source_kind,vega_dex_no,national_no,display_name,protected_old_id,assigned_new_id,graphics_key,cry_key,dex_seen_bit,dex_caught_bit,status,notes
VEGA_NATIVE_015,Vega protected official,15,229,ヘルガー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_015_GFX,VEGA_NATIVE_015_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_016,Vega protected official,16,50,ディグダ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_016_GFX,VEGA_NATIVE_016_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_017,Vega protected official,17,51,ダグトリオ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_017_GFX,VEGA_NATIVE_017_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_018,Vega protected official,18,175,トゲピー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_018_GFX,VEGA_NATIVE_018_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_019,Vega protected official,19,176,トゲチック,ROM抽出で確定,既存値を固定,VEGA_NATIVE_019_GFX,VEGA_NATIVE_019_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_020,Vega protected official,20,468,トゲキッス,ROM抽出で確定,既存値を固定,VEGA_NATIVE_020_GFX,VEGA_NATIVE_020_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_021,Vega protected original,21,,フロン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_021_GFX,VEGA_FAKEMON_021_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_022,Vega protected original,22,,フロルル,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_022_GFX,VEGA_FAKEMON_022_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_023,Vega protected original,23,,フローリア,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_023_GFX,VEGA_FAKEMON_023_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_024,Vega protected official,24,172,ピチュー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_024_GFX,VEGA_NATIVE_024_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_025,Vega protected official,25,25,ピカチュウ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_025_GFX,VEGA_NATIVE_025_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_026,Vega protected official,26,26,ライチュウ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_026_GFX,VEGA_NATIVE_026_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_027,Vega protected original,27,,ゴリチュウ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_027_GFX,VEGA_FAKEMON_027_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_028,Vega protected official,28,227,エアームド,ROM抽出で確定,既存値を固定,VEGA_NATIVE_028_GFX,VEGA_NATIVE_028_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_029,Vega protected official,29,29,ニドラン♀,ROM抽出で確定,既存値を固定,VEGA_NATIVE_029_GFX,VEGA_NATIVE_029_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_030,Vega protected official,30,30,ニドリーナ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_030_GFX,VEGA_NATIVE_030_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_031,Vega protected official,31,31,ニドクイン,ROM抽出で確定,既存値を固定,VEGA_NATIVE_031_GFX,VEGA_NATIVE_031_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_032,Vega protected official,32,32,ニドラン♂,ROM抽出で確定,既存値を固定,VEGA_NATIVE_032_GFX,VEGA_NATIVE_032_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_033,Vega protected official,33,33,ニドリーノ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_033_GFX,VEGA_NATIVE_033_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_034,Vega protected official,34,34,ニドキング,ROM抽出で確定,既存値を固定,VEGA_NATIVE_034_GFX,VEGA_NATIVE_034_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_035,Vega protected official,35,418,ブイゼル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_035_GFX,VEGA_NATIVE_035_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_036,Vega protected official,36,419,フローゼル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_036_GFX,VEGA_NATIVE_036_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_037,Vega protected original,37,,ララベリー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_037_GFX,VEGA_FAKEMON_037_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_038,Vega protected original,38,,セラーナ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_038_GFX,VEGA_FAKEMON_038_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_039,Vega protected official,39,204,クヌギダマ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_039_GFX,VEGA_NATIVE_039_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_040,Vega protected official,40,205,フォレトス,ROM抽出で確定,既存値を固定,VEGA_NATIVE_040_GFX,VEGA_NATIVE_040_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_041,Vega protected official,41,90,シェルダー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_041_GFX,VEGA_NATIVE_041_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_042,Vega protected official,42,91,パルシェン,ROM抽出で確定,既存値を固定,VEGA_NATIVE_042_GFX,VEGA_NATIVE_042_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_043,Vega protected original,43,,マホース,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_043_GFX,VEGA_FAKEMON_043_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_044,Vega protected original,44,,ペガーン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_044_GFX,VEGA_FAKEMON_044_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_045,Vega protected original,45,,ユニサス,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_045_GFX,VEGA_FAKEMON_045_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_046,Vega protected official,46,236,バルキー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_046_GFX,VEGA_NATIVE_046_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_047,Vega protected official,47,106,サワムラー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_047_GFX,VEGA_NATIVE_047_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_048,Vega protected official,48,107,エビワラー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_048_GFX,VEGA_NATIVE_048_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_049,Vega protected official,49,237,カポエラー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_049_GFX,VEGA_NATIVE_049_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_050,Vega protected original,50,,ライノス,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_050_GFX,VEGA_FAKEMON_050_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_051,Vega protected original,51,,メタゲラス,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_051_GFX,VEGA_FAKEMON_051_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_052,Vega protected official,52,359,アブソル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_052_GFX,VEGA_NATIVE_052_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_053,Vega protected original,53,,ディザソル,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_053_GFX,VEGA_FAKEMON_053_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_054,Vega protected official,54,203,キリンリキ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_054_GFX,VEGA_NATIVE_054_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_055,Vega protected original,55,,フォリキー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_055_GFX,VEGA_FAKEMON_055_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_056,Vega protected original,56,,バーニン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_056_GFX,VEGA_FAKEMON_056_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_057,Vega protected original,57,,ファントマ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_057_GFX,VEGA_FAKEMON_057_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_058,Vega protected official,58,81,コイル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_058_GFX,VEGA_NATIVE_058_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_059,Vega protected official,59,82,レアコイル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_059_GFX,VEGA_NATIVE_059_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_060,Vega protected official,60,462,ジバコイル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_060_GFX,VEGA_NATIVE_060_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_061,Vega protected official,61,120,ヒトデマン,ROM抽出で確定,既存値を固定,VEGA_NATIVE_061_GFX,VEGA_NATIVE_061_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_062,Vega protected official,62,121,スターミー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_062_GFX,VEGA_NATIVE_062_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_063,Vega protected official,63,92,ゴース,ROM抽出で確定,既存値を固定,VEGA_NATIVE_063_GFX,VEGA_NATIVE_063_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_064,Vega protected official,64,93,ゴースト,ROM抽出で確定,既存値を固定,VEGA_NATIVE_064_GFX,VEGA_NATIVE_064_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_065,Vega protected official,65,94,ゲンガー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_065_GFX,VEGA_NATIVE_065_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_066,Vega protected official,66,102,タマタマ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_066_GFX,VEGA_NATIVE_066_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_067,Vega protected official,67,103,ナッシー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_067_GFX,VEGA_NATIVE_067_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_068,Vega protected original,68,,テディ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_068_GFX,VEGA_FAKEMON_068_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_069,Vega protected original,69,,ググズリー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_069_GFX,VEGA_FAKEMON_069_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_070,Vega protected original,70,,ハンタマ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_070_GFX,VEGA_FAKEMON_070_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_071,Vega protected official,71,111,サイホーン,ROM抽出で確定,既存値を固定,VEGA_NATIVE_071_GFX,VEGA_NATIVE_071_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_072,Vega protected official,72,112,サイドン,ROM抽出で確定,既存値を固定,VEGA_NATIVE_072_GFX,VEGA_NATIVE_072_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_073,Vega protected official,73,464,ドサイドン,ROM抽出で確定,既存値を固定,VEGA_NATIVE_073_GFX,VEGA_NATIVE_073_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_074,Vega protected official,74,357,トロピウス,ROM抽出で確定,既存値を固定,VEGA_NATIVE_074_GFX,VEGA_NATIVE_074_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_075,Vega protected official,75,137,ポリゴン,ROM抽出で確定,既存値を固定,VEGA_NATIVE_075_GFX,VEGA_NATIVE_075_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_076,Vega protected official,76,233,ポリゴン２,ROM抽出で確定,既存値を固定,VEGA_NATIVE_076_GFX,VEGA_NATIVE_076_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_077,Vega protected official,77,474,ポリゴンＺ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_077_GFX,VEGA_NATIVE_077_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_078,Vega protected official,78,363,タマザラシ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_078_GFX,VEGA_NATIVE_078_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_079,Vega protected official,79,364,トドグラー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_079_GFX,VEGA_NATIVE_079_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_080,Vega protected official,80,365,トドゼルガ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_080_GFX,VEGA_NATIVE_080_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_081,Vega protected original,81,,ダンゴロウ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_081_GFX,VEGA_FAKEMON_081_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_082,Vega protected original,82,,マルマジロ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_082_GFX,VEGA_FAKEMON_082_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_083,Vega protected original,83,,アロフィー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_083_GFX,VEGA_FAKEMON_083_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_084,Vega protected original,84,,リーフィス,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_084_GFX,VEGA_FAKEMON_084_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_085,Vega protected official,85,459,ユキカブリ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_085_GFX,VEGA_NATIVE_085_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_086,Vega protected official,86,460,ユキノオー,ROM抽出で確定,既存値を固定,VEGA_NATIVE_086_GFX,VEGA_NATIVE_086_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_087,Vega protected original,87,,ユカリア,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_087_GFX,VEGA_FAKEMON_087_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_088,Vega protected original,88,,ネクロシア,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_088_GFX,VEGA_FAKEMON_088_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_089,Vega protected original,89,,カプリン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_089_GFX,VEGA_FAKEMON_089_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_090,Vega protected original,90,,ゴートン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_090_GFX,VEGA_FAKEMON_090_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_091,Vega protected original,91,,バフォット,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_091_GFX,VEGA_FAKEMON_091_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_092,Vega protected official,92,241,ミルタンク,ROM抽出で確定,既存値を固定,VEGA_NATIVE_092_GFX,VEGA_NATIVE_092_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_093,Vega protected official,93,213,ツボツボ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_093_GFX,VEGA_NATIVE_093_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_094,Vega protected original,94,,バードン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_094_GFX,VEGA_FAKEMON_094_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_095,Vega protected original,95,,ゴルドー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_095_GFX,VEGA_FAKEMON_095_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_096,Vega protected original,96,,フィニクス,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_096_GFX,VEGA_FAKEMON_096_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_097,Vega protected original,97,,クロッチ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_097_GFX,VEGA_FAKEMON_097_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_098,Vega protected original,98,,コクジャク,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_098_GFX,VEGA_FAKEMON_098_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_099,Vega protected original,99,,シャミネ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_099_GFX,VEGA_FAKEMON_099_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_100,Vega protected original,100,,コーシャン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_100_GFX,VEGA_FAKEMON_100_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_101,Vega protected original,101,,プラズン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_101_GFX,VEGA_FAKEMON_101_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_102,Vega protected original,102,,ボルトック,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_102_GFX,VEGA_FAKEMON_102_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_103,Vega protected original,103,,カワラベ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_103_GFX,VEGA_FAKEMON_103_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_104,Vega protected original,104,,テペトラー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_104_GFX,VEGA_FAKEMON_104_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_105,Vega protected original,105,,ロップル,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_105_GFX,VEGA_FAKEMON_105_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_106,Vega protected original,106,,オタクン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_106_GFX,VEGA_FAKEMON_106_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_107,Vega protected original,107,,ネラー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_107_GFX,VEGA_FAKEMON_107_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_108,Vega protected original,108,,ニートン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_108_GFX,VEGA_FAKEMON_108_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
