map_key,source_map,logical_code,classification,scope_decision,reason,script_policy,sevii
KANTO_DUNGEON_SSANNE_B1_F_ROOM3,SSAnne_B1F_Room3,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_B1_F_ROOM4,SSAnne_B1F_Room4,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_B1_F_ROOM5,SSAnne_B1F_Room5,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_ROOM6,SSAnne_1F_Room6,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_UNDERGROUND_PATH_NORTH_ENTRANCE,UndergroundPath_NorthEntrance,K05,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_UNDERGROUND_PATH_NORTH_SOUTH_TUNNEL,UndergroundPath_NorthSouthTunnel,K05,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_UNDERGROUND_PATH_SOUTH_ENTRANCE,UndergroundPath_SouthEntrance,K06,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_UNDERGROUND_PATH_WEST_ENTRANCE,UndergroundPath_WestEntrance,K07,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_UNDERGROUND_PATH_EAST_WEST_TUNNEL,UndergroundPath_EastWestTunnel,K08,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_UNDERGROUND_PATH_EAST_ENTRANCE,UndergroundPath_EastEntrance,K08,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_DIGLETTS_CAVE_NORTH_ENTRANCE,DiglettsCave_NorthEntrance,K28,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_DIGLETTS_CAVE_B1_F,DiglettsCave_B1F,K28,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_DIGLETTS_CAVE_SOUTH_ENTRANCE,DiglettsCave_SouthEntrance,K28,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_VICTORY_ROAD_1_F,VictoryRoad_1F,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_VICTORY_ROAD_2_F,VictoryRoad_2F,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_VICTORY_ROAD_3_F,VictoryRoad_3F,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F,RocketHideout_B1F,K32,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_ROCKET_HIDEOUT_B2_F,RocketHideout_B2F,K32,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_ROCKET_HIDEOUT_B3_F,RocketHideout_B3F,K32,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_ROCKET_HIDEOUT_B4_F,RocketHideout_B4F,K32,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_ROCKET_HIDEOUT_ELEVATOR,RocketHideout_Elevator,K32,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_1_F,SilphCo_1F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_2_F,SilphCo_2F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_3_F,SilphCo_3F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_4_F,SilphCo_4F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_5_F,SilphCo_5F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_6_F,SilphCo_6F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_7_F,SilphCo_7F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_8_F,SilphCo_8F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_9_F,SilphCo_9F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_10_F,SilphCo_10F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_11_F,SilphCo_11F,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SILPH_CO_ELEVATOR,SilphCo_Elevator,K41,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_MANSION_1_F,PokemonMansion_1F,K39,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_MANSION_2_F,PokemonMansion_2F,K39,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_MANSION_3_F,PokemonMansion_3F,K39,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_MANSION_B1_F,PokemonMansion_B1F,K39,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_CENTER,SafariZone_Center,K34,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_EAST,SafariZone_East,K35,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_NORTH,SafariZone_North,K36,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_WEST,SafariZone_West,K37,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_CENTER_REST_HOUSE,SafariZone_Center_RestHouse,K34,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_EAST_REST_HOUSE,SafariZone_East_RestHouse,K35,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_NORTH_REST_HOUSE,SafariZone_North_RestHouse,K36,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_WEST_REST_HOUSE,SafariZone_West_RestHouse,K37,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SAFARI_ZONE_SECRET_HOUSE,SafariZone_SecretHouse,K34,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_CERULEAN_CAVE_1_F,CeruleanCave_1F,K43,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_CERULEAN_CAVE_2_F,CeruleanCave_2F,K43,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_CERULEAN_CAVE_B1_F,CeruleanCave_B1F,K43,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM,PokemonLeague_LoreleisRoom,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM,PokemonLeague_BrunosRoom,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_LEAGUE_AGATHAS_ROOM,PokemonLeague_AgathasRoom,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_LEAGUE_LANCES_ROOM,PokemonLeague_LancesRoom,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_LEAGUE_CHAMPIONS_ROOM,PokemonLeague_ChampionsRoom,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_LEAGUE_HALL_OF_FAME,PokemonLeague_HallOfFame,K42,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_ROCK_TUNNEL_1_F,RockTunnel_1F,K30,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_ROCK_TUNNEL_B1_F,RockTunnel_B1F,K30,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SEAFOAM_ISLANDS_1_F,SeafoamIslands_1F,K38,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SEAFOAM_ISLANDS_B1_F,SeafoamIslands_B1F,K38,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SEAFOAM_ISLANDS_B2_F,SeafoamIslands_B2F,K38,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SEAFOAM_ISLANDS_B3_F,SeafoamIslands_B3F,K38,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,SeafoamIslands_B4F,K38,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_TOWER_1_F,PokemonTower_1F,K31,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_TOWER_2_F,PokemonTower_2F,K31,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_TOWER_3_F,PokemonTower_3F,K31,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_TOWER_4_F,PokemonTower_4F,K31,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_TOWER_5_F,PokemonTower_5F,K31,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_TOWER_6_F,PokemonTower_6F,K31,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POKEMON_TOWER_7_F,PokemonTower_7F,K31,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_POWER_PLANT,PowerPlant,K40,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_PALLET_TOWN,PalletTown,K47,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_VIRIDIAN_CITY,ViridianCity,K26,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_PEWTER_CITY,PewterCity,K44,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_CERULEAN_CITY,CeruleanCity,K43,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_LAVENDER_TOWN,LavenderTown,K31,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_VERMILION_CITY,VermilionCity,K46,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_CELADON_CITY,CeladonCity,K33,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_FUCHSIA_CITY,FuchsiaCity,K34,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_CINNABAR_ISLAND,CinnabarIsland,K45,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_INDIGO_PLATEAU_EXTERIOR,IndigoPlateau_Exterior,K42,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_SAFFRON_CITY,SaffronCity,K41,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_SAFFRON_CITY_CONNECTION,SaffronCity_Connection,K41,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE1,Route1,K01,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE2,Route2,K02,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE3,Route3,K03,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE4,Route4,K04,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE5,Route5,K05,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE6,Route6,K06,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE7,Route7,K07,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE8,Route8,K08,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE9,Route9,K09,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE10,Route10,K10,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE11,Route11,K11,OUTDOOR,REBUILD,CLEAN_BPRJ_LAYOUT_OVERRIDE,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE12,Route12,K12,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE13,Route13,K13,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE14,Route14,K14,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE15,Route15,K15,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE16,Route16,K16,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE17,Route17,K17,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE18,Route18,K18,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE19,Route19,K19,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE20,Route20,K20,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE21_NORTH,Route21_North,K21,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE21_SOUTH,Route21_South,K21,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE22,Route22,K22,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE23,Route23,K23,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE24,Route24,K24,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_OUTDOOR_ROUTE25,Route25,K25,OUTDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PALLET_TOWN_PLAYERS_HOUSE_1_F,PalletTown_PlayersHouse_1F,K47,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PALLET_TOWN_PLAYERS_HOUSE_2_F,PalletTown_PlayersHouse_2F,K47,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PALLET_TOWN_RIVALS_HOUSE,PalletTown_RivalsHouse,K47,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB,PalletTown_ProfessorOaksLab,K47,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_VIRIDIAN_CITY_HOUSE,ViridianCity_House,K26,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_VIRIDIAN_CITY_GYM,ViridianCity_Gym,K26,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_VIRIDIAN_CITY_SCHOOL,ViridianCity_School,K26,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_VIRIDIAN_CITY_MART,ViridianCity_Mart,K26,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_VIRIDIAN_CITY_POKEMON_CENTER_1_F,ViridianCity_PokemonCenter_1F,K26,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_VIRIDIAN_CITY_POKEMON_CENTER_2_F,ViridianCity_PokemonCenter_2F,K26,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_MUSEUM_1_F,PewterCity_Museum_1F,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_MUSEUM_2_F,PewterCity_Museum_2F,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_GYM,PewterCity_Gym,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_MART,PewterCity_Mart,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_HOUSE1,PewterCity_House1,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_POKEMON_CENTER_1_F,PewterCity_PokemonCenter_1F,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_POKEMON_CENTER_2_F,PewterCity_PokemonCenter_2F,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_PEWTER_CITY_HOUSE2,PewterCity_House2,K44,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_CERULEAN_CITY_HOUSE1,CeruleanCity_House1,K43,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_CERULEAN_CITY_HOUSE2,CeruleanCity_House2,K43,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_CERULEAN_CITY_HOUSE3,CeruleanCity_House3,K43,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_INDOOR_CERULEAN_CITY_POKEMON_CENTER_1_F,CeruleanCity_PokemonCenter_1F,K43,INDOOR,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
