map_key,region,logical_location_key,physical_map_key,group_id,map_id,binding_policy,normal_table_key,status,notes
MAP_KEY_TOHOKU_T511,TOHOKU,T511,VEGA_PHYSICAL_03_029,3,29,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_029,ACTIVE,rooted NORMAL 15 slots; source average Lv19.3; byte-preserved fallback
MAP_KEY_TOHOKU_T512,TOHOKU,T512,VEGA_PHYSICAL_03_031,3,31,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_031,ACTIVE,rooted NORMAL 15 slots; source average Lv19.3; byte-preserved fallback
MAP_KEY_TOHOKU_T513,TOHOKU,T513,VEGA_PHYSICAL_03_030,3,30,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_030,ACTIVE,rooted NORMAL 15 slots; source average Lv20.3; byte-preserved fallback
MAP_KEY_TOHOKU_T514,TOHOKU,T514,VEGA_PHYSICAL_03_032,3,32,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_032,ACTIVE,rooted NORMAL 32 slots; source average Lv12.6; byte-preserved fallback
MAP_KEY_TOHOKU_T515,TOHOKU,T515,VEGA_PHYSICAL_03_033,3,33,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_033,ACTIVE,rooted NORMAL 12 slots; source average Lv33.9; byte-preserved fallback
MAP_KEY_TOHOKU_T516,TOHOKU,T516,VEGA_PHYSICAL_03_034,3,34,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_034,ACTIVE,rooted NORMAL 12 slots; source average Lv31.0; byte-preserved fallback
MAP_KEY_TOHOKU_T517,TOHOKU,T517,VEGA_PHYSICAL_03_035,3,35,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_035,ACTIVE,rooted NORMAL 12 slots; source average Lv30.2; byte-preserved fallback
MAP_KEY_TOHOKU_T518,TOHOKU,T518,VEGA_PHYSICAL_03_036,3,36,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_036,ACTIVE,rooted NORMAL 17 slots; source average Lv15.2; byte-preserved fallback
MAP_KEY_TOHOKU_T519,TOHOKU,T519,VEGA_PHYSICAL_03_037,3,37,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_037,ACTIVE,rooted NORMAL 12 slots; source average Lv13.2; byte-preserved fallback
MAP_KEY_TOHOKU_T520,TOHOKU,T520,VEGA_PHYSICAL_03_042,3,42,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_042,ACTIVE,rooted NORMAL 12 slots; source average Lv14.5; byte-preserved fallback
MAP_KEY_TOHOKU_T521,TOHOKU,T521,VEGA_PHYSICAL_03_043,3,43,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_043,ACTIVE,rooted NORMAL 12 slots; source average Lv20.7; byte-preserved fallback
MAP_KEY_TOHOKU_T522,TOHOKU,T522,VEGA_PHYSICAL_03_041,3,41,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_041,ACTIVE,rooted NORMAL 12 slots; source average Lv21.0; byte-preserved fallback
MAP_KEY_TOHOKU_T523,TOHOKU,T523,VEGA_PHYSICAL_03_038,3,38,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_038,ACTIVE,rooted NORMAL 15 slots; source average Lv20.7; byte-preserved fallback
MAP_KEY_TOHOKU_T024,TOHOKU,T024,VEGA_PHYSICAL_01_083,1,83,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_083,ACTIVE,rooted NORMAL 17 slots; source average Lv32.2; byte-preserved fallback
MAP_KEY_TOHOKU_T025,TOHOKU,T025,VEGA_PHYSICAL_01_007,1,7,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_007,ACTIVE,rooted NORMAL 12 slots; source average Lv32.7; byte-preserved fallback
MAP_KEY_TOHOKU_T026,TOHOKU,T026,VEGA_PHYSICAL_01_009,1,9,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_009,ACTIVE,rooted NORMAL 12 slots; source average Lv32.7; byte-preserved fallback
MAP_KEY_TOHOKU_T027,TOHOKU,T027,VEGA_PHYSICAL_01_001,1,1,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_001,ACTIVE,rooted NORMAL 12 slots; source average Lv33.9; byte-preserved fallback
MAP_KEY_TOHOKU_T028,TOHOKU,T028,VEGA_PHYSICAL_01_053,1,53,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_053,ACTIVE,rooted NORMAL 12 slots; source average Lv34.7; byte-preserved fallback
MAP_KEY_TOHOKU_T029,TOHOKU,T029,VEGA_PHYSICAL_03_045,3,45,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_045,ACTIVE,rooted NORMAL 27 slots; source average Lv35.9; byte-preserved fallback
MAP_KEY_TOHOKU_T030,TOHOKU,T030,VEGA_PHYSICAL_01_040,1,40,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_040,ACTIVE,rooted NORMAL 12 slots; source average Lv44.5; byte-preserved fallback
MAP_KEY_TOHOKU_T031,TOHOKU,T031,VEGA_PHYSICAL_01_041,1,41,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_041,ACTIVE,rooted NORMAL 12 slots; source average Lv45.4; byte-preserved fallback
MAP_KEY_TOHOKU_T032,TOHOKU,T032,VEGA_PHYSICAL_03_064,3,64,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_064,ACTIVE,rooted NORMAL 17 slots; source average Lv46.2; byte-preserved fallback
MAP_KEY_TOHOKU_T033,TOHOKU,T033,VEGA_PHYSICAL_01_061,1,61,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_061,ACTIVE,rooted NORMAL 12 slots; source average Lv46.6; byte-preserved fallback
MAP_KEY_TOHOKU_T034,TOHOKU,T034,VEGA_PHYSICAL_03_063,3,63,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_063,ACTIVE,rooted NORMAL 12 slots; source average Lv47.6; byte-preserved fallback
MAP_KEY_TOHOKU_T035,TOHOKU,T035,VEGA_PHYSICAL_01_109,1,109,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_109,ACTIVE,rooted NORMAL 12 slots; source average Lv48.2; byte-preserved fallback
MAP_KEY_TOHOKU_T036,TOHOKU,T036,VEGA_PHYSICAL_03_048,3,48,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_048,ACTIVE,rooted NORMAL 12 slots; source average Lv48.4; byte-preserved fallback
MAP_KEY_TOHOKU_T037,TOHOKU,T037,VEGA_PHYSICAL_03_057,3,57,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_057,ACTIVE,rooted NORMAL 12 slots; source average Lv48.6; byte-preserved fallback
MAP_KEY_TOHOKU_T038,TOHOKU,T038,VEGA_PHYSICAL_01_055,1,55,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_055,ACTIVE,rooted NORMAL 12 slots; source average Lv48.7; byte-preserved fallback
MAP_KEY_TOHOKU_T039,TOHOKU,T039,VEGA_PHYSICAL_01_085,1,85,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_085,ACTIVE,rooted NORMAL 12 slots; source average Lv48.9; byte-preserved fallback
MAP_KEY_TOHOKU_T040,TOHOKU,T040,VEGA_PHYSICAL_03_054,3,54,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_054,ACTIVE,rooted NORMAL 12 slots; source average Lv49.4; byte-preserved fallback
MAP_KEY_TOHOKU_T041,TOHOKU,T041,VEGA_PHYSICAL_01_099,1,99,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_099,ACTIVE,rooted NORMAL 12 slots; source average Lv49.5; byte-preserved fallback
MAP_KEY_TOHOKU_T042,TOHOKU,T042,VEGA_PHYSICAL_01_011,1,11,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_011,ACTIVE,rooted NORMAL 12 slots; source average Lv49.9; byte-preserved fallback
MAP_KEY_TOHOKU_T043,TOHOKU,T043,VEGA_PHYSICAL_01_106,1,106,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_106,ACTIVE,rooted NORMAL 12 slots; source average Lv49.9; byte-preserved fallback
MAP_KEY_TOHOKU_T044,TOHOKU,T044,VEGA_PHYSICAL_03_060,3,60,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_060,ACTIVE,rooted NORMAL 12 slots; source average Lv50.7; byte-preserved fallback
MAP_KEY_TOHOKU_T045,TOHOKU,T045,VEGA_PHYSICAL_03_047,3,47,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_047,ACTIVE,rooted NORMAL 12 slots; source average Lv50.8; byte-preserved fallback
MAP_KEY_TOHOKU_T046,TOHOKU,T046,VEGA_PHYSICAL_01_118,1,118,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_118,ACTIVE,rooted NORMAL 27 slots; source average Lv54.4; byte-preserved fallback
MAP_KEY_TOHOKU_T047,TOHOKU,T047,VEGA_PHYSICAL_01_111,1,111,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_111,ACTIVE,rooted NORMAL 12 slots; source average Lv64.7; byte-preserved fallback
MAP_KEY_TOHOKU_T048,TOHOKU,T048,VEGA_PHYSICAL_01_115,1,115,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_115,ACTIVE,rooted NORMAL 12 slots; source average Lv78.7; byte-preserved fallback
MAP_KEY_TOHOKU_T049,TOHOKU,T049,VEGA_PHYSICAL_01_117,1,117,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_01_117,ACTIVE,rooted NORMAL 12 slots; source average Lv85.7; byte-preserved fallback
MAP_KEY_KANTO_ROUTE1,KANTO,K01,KANTO_OUTDOOR_ROUTE1,96,12,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K01,ACTIVE,representative=Route1; all physical siblings retain logical_code=K01
MAP_KEY_KANTO_K02,KANTO,K02,KANTO_OUTDOOR_ROUTE2,96,13,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K02,ACTIVE,representative=Route2; all physical siblings retain logical_code=K02
MAP_KEY_KANTO_K03,KANTO,K03,KANTO_OUTDOOR_ROUTE3,96,14,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K03,ACTIVE,representative=Route3; all physical siblings retain logical_code=K03
MAP_KEY_KANTO_K04,KANTO,K04,KANTO_OUTDOOR_ROUTE4,96,15,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K04,ACTIVE,representative=Route4; all physical siblings retain logical_code=K04
MAP_KEY_KANTO_K05,KANTO,K05,KANTO_OUTDOOR_ROUTE5,96,16,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K05,ACTIVE,representative=Route5; all physical siblings retain logical_code=K05
MAP_KEY_KANTO_K06,KANTO,K06,KANTO_OUTDOOR_ROUTE6,96,17,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K06,ACTIVE,representative=Route6; all physical siblings retain logical_code=K06
MAP_KEY_KANTO_K07,KANTO,K07,KANTO_OUTDOOR_ROUTE7,96,18,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K07,ACTIVE,representative=Route7; all physical siblings retain logical_code=K07
MAP_KEY_KANTO_K08,KANTO,K08,KANTO_OUTDOOR_ROUTE8,96,19,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K08,ACTIVE,representative=Route8; all physical siblings retain logical_code=K08
MAP_KEY_KANTO_K09,KANTO,K09,KANTO_OUTDOOR_ROUTE9,96,20,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K09,ACTIVE,representative=Route9; all physical siblings retain logical_code=K09
MAP_KEY_KANTO_K10,KANTO,K10,KANTO_OUTDOOR_ROUTE10,96,21,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K10,ACTIVE,representative=Route10; all physical siblings retain logical_code=K10
MAP_KEY_KANTO_K11,KANTO,K11,KANTO_OUTDOOR_ROUTE11,96,22,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K11,ACTIVE,representative=Route11; all physical siblings retain logical_code=K11
MAP_KEY_KANTO_K12,KANTO,K12,KANTO_OUTDOOR_ROUTE12,96,23,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K12,ACTIVE,representative=Route12; all physical siblings retain logical_code=K12
MAP_KEY_KANTO_K13,KANTO,K13,KANTO_OUTDOOR_ROUTE13,96,24,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K13,ACTIVE,representative=Route13; all physical siblings retain logical_code=K13
MAP_KEY_KANTO_K14,KANTO,K14,KANTO_OUTDOOR_ROUTE14,96,25,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K14,ACTIVE,representative=Route14; all physical siblings retain logical_code=K14
MAP_KEY_KANTO_K15,KANTO,K15,KANTO_OUTDOOR_ROUTE15,96,26,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K15,ACTIVE,representative=Route15; all physical siblings retain logical_code=K15
MAP_KEY_KANTO_K16,KANTO,K16,KANTO_OUTDOOR_ROUTE16,96,27,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K16,ACTIVE,representative=Route16; all physical siblings retain logical_code=K16
MAP_KEY_KANTO_K17,KANTO,K17,KANTO_OUTDOOR_ROUTE17,96,28,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K17,ACTIVE,representative=Route17; all physical siblings retain logical_code=K17
MAP_KEY_KANTO_K18,KANTO,K18,KANTO_OUTDOOR_ROUTE18,96,29,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K18,ACTIVE,representative=Route18; all physical siblings retain logical_code=K18
MAP_KEY_KANTO_K19,KANTO,K19,KANTO_OUTDOOR_ROUTE19,96,30,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K19,ACTIVE,representative=Route19; all physical siblings retain logical_code=K19
MAP_KEY_KANTO_K20,KANTO,K20,KANTO_OUTDOOR_ROUTE20,96,31,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K20,ACTIVE,representative=Route20; all physical siblings retain logical_code=K20
MAP_KEY_KANTO_K21,KANTO,K21,KANTO_OUTDOOR_ROUTE21_NORTH,96,32,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K21,ACTIVE,representative=Route21_North; all physical siblings retain logical_code=K21
MAP_KEY_KANTO_K22,KANTO,K22,KANTO_OUTDOOR_ROUTE22,96,34,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K22,ACTIVE,representative=Route22; all physical siblings retain logical_code=K22
MAP_KEY_KANTO_K23,KANTO,K23,KANTO_OUTDOOR_ROUTE23,96,35,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K23,ACTIVE,representative=Route23; all physical siblings retain logical_code=K23
MAP_KEY_KANTO_K24,KANTO,K24,KANTO_OUTDOOR_ROUTE24,96,36,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K24,ACTIVE,representative=Route24; all physical siblings retain logical_code=K24
MAP_KEY_KANTO_K25,KANTO,K25,KANTO_OUTDOOR_ROUTE25,96,37,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K25,ACTIVE,representative=Route25; all physical siblings retain logical_code=K25
MAP_KEY_KANTO_VIRIDIAN_FOREST,KANTO,K26,KANTO_DUNGEON_VIRIDIAN_FOREST,97,0,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K26,ACTIVE,representative=ViridianForest; all physical siblings retain logical_code=K26
MAP_KEY_KANTO_K27,KANTO,K27,KANTO_DUNGEON_MT_MOON_1_F,97,1,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K27,ACTIVE,representative=MtMoon_1F; all physical siblings retain logical_code=K27
MAP_KEY_KANTO_K28,KANTO,K28,KANTO_DUNGEON_DIGLETTS_CAVE_NORTH_ENTRANCE,97,36,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K28,ACTIVE,representative=DiglettsCave_NorthEntrance; all physical siblings retain logical_code=K28
MAP_KEY_KANTO_K29,KANTO,K29,KANTO_DUNGEON_SSANNE_EXTERIOR,97,4,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K29,ACTIVE,representative=SSAnne_Exterior; all physical siblings retain logical_code=K29
MAP_KEY_KANTO_K30,KANTO,K30,KANTO_DUNGEON_ROCK_TUNNEL_1_F,97,81,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K30,ACTIVE,representative=RockTunnel_1F; all physical siblings retain logical_code=K30
MAP_KEY_KANTO_K31,KANTO,K31,KANTO_DUNGEON_POKEMON_TOWER_1_F,97,88,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K31,ACTIVE,representative=PokemonTower_1F; all physical siblings retain logical_code=K31
MAP_KEY_KANTO_K32,KANTO,K32,KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F,97,42,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K32,ACTIVE,representative=RocketHideout_B1F; all physical siblings retain logical_code=K32
MAP_KEY_KANTO_K33,KANTO,K33,KANTO_OUTDOOR_CELADON_CITY,96,6,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K33,ACTIVE,representative=CeladonCity; all physical siblings retain logical_code=K33
MAP_KEY_KANTO_K34,KANTO,K34,KANTO_OUTDOOR_FUCHSIA_CITY,96,7,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K34,ACTIVE,representative=FuchsiaCity; all physical siblings retain logical_code=K34
MAP_KEY_KANTO_K35,KANTO,K35,KANTO_DUNGEON_SAFARI_ZONE_EAST,97,64,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K35,ACTIVE,representative=SafariZone_East; all physical siblings retain logical_code=K35
MAP_KEY_KANTO_K36,KANTO,K36,KANTO_DUNGEON_SAFARI_ZONE_NORTH,97,65,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K36,ACTIVE,representative=SafariZone_North; all physical siblings retain logical_code=K36
MAP_KEY_KANTO_K37,KANTO,K37,KANTO_DUNGEON_SAFARI_ZONE_WEST,97,66,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K37,ACTIVE,representative=SafariZone_West; all physical siblings retain logical_code=K37
MAP_KEY_KANTO_K38,KANTO,K38,KANTO_DUNGEON_SEAFOAM_ISLANDS_1_F,97,83,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K38,ACTIVE,representative=SeafoamIslands_1F; all physical siblings retain logical_code=K38
MAP_KEY_KANTO_K39,KANTO,K39,KANTO_DUNGEON_POKEMON_MANSION_1_F,97,59,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K39,ACTIVE,representative=PokemonMansion_1F; all physical siblings retain logical_code=K39
MAP_KEY_KANTO_K40,KANTO,K40,KANTO_DUNGEON_POWER_PLANT,97,95,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K40,ACTIVE,representative=PowerPlant; all physical siblings retain logical_code=K40
MAP_KEY_KANTO_K41,KANTO,K41,KANTO_DUNGEON_SILPH_CO_1_F,97,47,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K41,ACTIVE,representative=SilphCo_1F; all physical siblings retain logical_code=K41
MAP_KEY_KANTO_LEAGUE,KANTO,K42,KANTO_DUNGEON_VICTORY_ROAD_1_F,97,39,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K42,ACTIVE,representative=VictoryRoad_1F; all physical siblings retain logical_code=K42
MAP_KEY_KANTO_K43,KANTO,K43,KANTO_DUNGEON_CERULEAN_CAVE_1_F,97,72,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K43,ACTIVE,representative=CeruleanCave_1F; all physical siblings retain logical_code=K43
MAP_KEY_KANTO_K44,KANTO,K44,KANTO_OUTDOOR_PEWTER_CITY,96,2,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K44,ACTIVE,representative=PewterCity; all physical siblings retain logical_code=K44
MAP_KEY_KANTO_K45,KANTO,K45,KANTO_OUTDOOR_CINNABAR_ISLAND,96,8,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K45,ACTIVE,representative=CinnabarIsland; all physical siblings retain logical_code=K45
MAP_KEY_KANTO_VERMILION_TERMINAL,KANTO,K46,KANTO_OUTDOOR_VERMILION_CITY,96,5,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K46,ACTIVE,representative=VermilionCity; all physical siblings retain logical_code=K46
MAP_KEY_KANTO_K47,KANTO,K47,KANTO_OUTDOOR_PALLET_TOWN,96,0,T14_NAMESPACED_PHYSICAL,TABLE_KEY_KANTO_K47,ACTIVE,representative=PalletTown; all physical siblings retain logical_code=K47
