map_key,region,logical_location_key,unlock_key,map_kind,field_pc_allowed,safe_route_key,warning_key
MAP_KEY_KANTO_K18,KANTO,K18,KANTO_CERT_3,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K19,KANTO,K19,KANTO_CERT_4,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K20,KANTO,K20,KANTO_CERT_4,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K21,KANTO,K21,KANTO_CERT_4,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K22,KANTO,K22,KANTO_CERT_5,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K23,KANTO,K23,KANTO_CERT_5,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K24,KANTO,K24,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K25,KANTO,K25,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_VIRIDIAN_FOREST,KANTO,K26,KANTO_EARLY_ACCESS,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K27,KANTO,K27,KANTO_EARLY_ACCESS,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K28,KANTO,K28,KANTO_EARLY_ACCESS,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K29,KANTO,K29,KANTO_CERT_1,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K30,KANTO,K30,KANTO_CERT_1,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K31,KANTO,K31,KANTO_CERT_2,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K32,KANTO,K32,KANTO_CERT_2,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K33,KANTO,K33,KANTO_CERT_2,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K34,KANTO,K34,KANTO_CERT_3,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K35,KANTO,K35,KANTO_CERT_3,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K36,KANTO,K36,KANTO_CERT_3,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K37,KANTO,K37,KANTO_CERT_3,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K38,KANTO,K38,KANTO_CERT_4,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K39,KANTO,K39,KANTO_CERT_5,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K40,KANTO,K40,KANTO_CERT_2,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K41,KANTO,K41,KANTO_CERT_5,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_LEAGUE,KANTO,K42,KANTO_LEAGUE,LEAGUE,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_LEAGUE
MAP_KEY_KANTO_K43,KANTO,K43,KANTO_CERT_6,DUNGEON,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K44,KANTO,K44,KANTO_EARLY_ACCESS,EVENT,false,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K45,KANTO,K45,KANTO_EARLY_ACCESS,TOWN,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_VERMILION_TERMINAL,KANTO,K46,KANTO_EARLY_ACCESS,TOWN,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K47,KANTO,K47,KANTO_EARLY_ACCESS,TOWN,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_TOHOKU_T501,TOHOKU,T501,VEGA_PRE_ENTRY,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T502,TOHOKU,T502,VEGA_PRE_ENTRY,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T503,TOHOKU,T503,VEGA_PRE_ENTRY,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T504,TOHOKU,T504,VEGA_PRE_ENTRY,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T505,TOHOKU,T505,VEGA_BADGE_1,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T506,TOHOKU,T506,VEGA_BADGE_1,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T507,TOHOKU,T507,VEGA_BADGE_1,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T508,TOHOKU,T508,VEGA_BADGE_1,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T509,TOHOKU,T509,VEGA_SHIOU_BADGE_3,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T510,TOHOKU,T510,VEGA_SHIOU_BADGE_3,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T511,TOHOKU,T511,VEGA_SHIOU_BADGE_3,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T512,TOHOKU,T512,VEGA_SHIOU_BADGE_3,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T513,TOHOKU,T513,VEGA_BADGE_5,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T514,TOHOKU,T514,VEGA_BADGE_5,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T515,TOHOKU,T515,VEGA_BADGE_5,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T516,TOHOKU,T516,VEGA_BADGE_5,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T517,TOHOKU,T517,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T518,TOHOKU,T518,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T519,TOHOKU,T519,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T520,TOHOKU,T520,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T521,TOHOKU,T521,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T522,TOHOKU,T522,VEGA_BADGE_7,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T523,TOHOKU,T523,VEGA_BADGE_7,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T024,TOHOKU,T024,VEGA_PRE_ENTRY,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T025,TOHOKU,T025,VEGA_PRE_ENTRY,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T026,TOHOKU,T026,VEGA_BADGE_6,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T027,TOHOKU,T027,VEGA_SHIOU_BADGE_3,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T028,TOHOKU,T028,VEGA_BADGE_5,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T029,TOHOKU,T029,VEGA_BADGE_5,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T030,TOHOKU,T030,VEGA_BADGE_5,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T031,TOHOKU,T031,VEGA_BADGE_5,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T032,TOHOKU,T032,VEGA_BADGE_6,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T033,TOHOKU,T033,VEGA_BADGE_6,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T034,TOHOKU,T034,VEGA_BADGE_6,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T035,TOHOKU,T035,VEGA_BADGE_6,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T036,TOHOKU,T036,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T037,TOHOKU,T037,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T038,TOHOKU,T038,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T039,TOHOKU,T039,VEGA_BADGE_6,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T040,TOHOKU,T040,VEGA_BADGE_7,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T041,TOHOKU,T041,VEGA_BADGE_7,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T042,TOHOKU,T042,VEGA_BADGE_8,LEAGUE,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T043,TOHOKU,T043,VEGA_HALL_OF_FAME,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T044,TOHOKU,T044,VEGA_HALL_OF_FAME,EVENT,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T045,TOHOKU,T045,VEGA_HALL_OF_FAME,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T046,TOHOKU,T046,VEGA_HALL_OF_FAME,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T047,TOHOKU,T047,VEGA_HALL_OF_FAME,ROUTE,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T048,TOHOKU,T048,VEGA_HALL_OF_FAME,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_TOHOKU_T049,TOHOKU,T049,VEGA_HALL_OF_FAME,DUNGEON,false,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
