national_no,name,identifier,generation,types,evolution_chain_id,family_category,is_legendary,is_mythical,vega_status,integration_action,earliest_gate,primary_area,acquisition_method,encounter_rate_or_limit,conditions,dex_policy,id_policy
22,オニドリル,fearow,1,ノーマル／ひこう,8,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,501ばんどうろ,進化,―,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0022（新規16bit ID）
23,アーボ,ekans,1,どく,9,通常生態,no,no,既存（トーホク図鑑261）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.261。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_261（実ROMから確定）
24,アーボック,arbok,1,どく,9,通常生態,no,no,既存（トーホク図鑑262）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.262。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_262（実ROMから確定）
25,ピカチュウ,pikachu,1,でんき,10,ベビィ含有,no,no,既存（トーホク図鑑025）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.025。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_025（実ROMから確定）
26,ライチュウ,raichu,1,でんき,10,ベビィ含有,no,no,既存（トーホク図鑑026）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.026。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_026（実ROMから確定）
27,サンド,sandshrew,1,じめん,11,通常生態,no,no,既存（トーホク図鑑293）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.293。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_293（実ROMから確定）
28,サンドパン,sandslash,1,じめん,11,通常生態,no,no,既存（トーホク図鑑294）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.294。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_294（実ROMから確定）
29,ニドラン♀,nidoran-f,1,どく,12,通常生態,no,no,既存（トーホク図鑑029）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.029。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_029（実ROMから確定）
30,ニドリーナ,nidorina,1,どく,12,通常生態,no,no,既存（トーホク図鑑030）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.030。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_030（実ROMから確定）
31,ニドクイン,nidoqueen,1,どく／じめん,12,通常生態,no,no,既存（トーホク図鑑031）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.031。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_031（実ROMから確定）
32,ニドラン♂,nidoran-m,1,どく,13,通常生態,no,no,既存（トーホク図鑑032）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.032。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_032（実ROMから確定）
33,ニドリーノ,nidorino,1,どく,13,通常生態,no,no,既存（トーホク図鑑033）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.033。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_033（実ROMから確定）
34,ニドキング,nidoking,1,どく／じめん,13,通常生態,no,no,既存（トーホク図鑑034）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.034。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_034（実ROMから確定）
35,ピッピ,clefairy,1,フェアリー,14,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ときのようかん,進化,―,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0035（新規16bit ID）
36,ピクシー,clefable,1,フェアリー,14,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ときのようかん,進化,―,道具使用＋つきのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0036（新規16bit ID）
37,ロコン,vulpix,1,ほのお,15,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ひのしま,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0037（新規16bit ID）
38,キュウコン,ninetales,1,ほのお,15,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ひのしま,進化,―,道具使用＋ほのおのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0038（新規16bit ID）
39,プリン,jigglypuff,1,ノーマル／フェアリー,16,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ニューアイランド,進化,―,レベルアップ＋なつき度160以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0039（新規16bit ID）
40,プクリン,wigglytuff,1,ノーマル／フェアリー,16,ベビィ含有,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ニューアイランド,進化,―,道具使用＋つきのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0040（新規16bit ID）
41,ズバット,zubat,1,どく／ひこう,17,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0041（新規16bit ID）
42,ゴルバット,golbat,1,どく／ひこう,17,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋Lv.22以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0042（新規16bit ID）
43,ナゾノクサ,oddish,1,くさ／どく,18,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン東,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0043（新規16bit ID）
44,クサイハナ,gloom,1,くさ／どく,18,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,レベルアップ＋Lv.21以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0044（新規16bit ID）
45,ラフレシア,vileplume,1,くさ／どく,18,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,道具使用＋リーフのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0045（新規16bit ID）
46,パラス,paras,1,むし／くさ,19,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン東,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0046（新規16bit ID）
47,パラセクト,parasect,1,むし／くさ,19,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,レベルアップ＋Lv.24以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0047（新規16bit ID）
48,コンパン,venonat,1,むし／どく,20,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ハクジのもり,ずつき,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0048（新規16bit ID）
49,モルフォン,venomoth,1,むし／どく,20,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ハクジのもり,進化,―,レベルアップ＋Lv.31以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0049（新規16bit ID）
50,ディグダ,diglett,1,じめん,21,通常生態,no,no,既存（トーホク図鑑016）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.016。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_016（実ROMから確定）
51,ダグトリオ,dugtrio,1,じめん,21,通常生態,no,no,既存（トーホク図鑑017）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.017。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_017（実ROMから確定）
52,ニャース,meowth,1,ノーマル,22,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0052（新規16bit ID）
53,ペルシアン,persian,1,ノーマル,22,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋Lv.28以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0053（新規16bit ID）
54,コダック,psyduck,1,みず,23,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン北,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0054（新規16bit ID）
55,ゴルダック,golduck,1,みず,23,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン北,進化,―,レベルアップ＋Lv.33以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0055（新規16bit ID）
56,マンキー,mankey,1,かくとう,24,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ダークタワー,夜間オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0056（新規16bit ID）
57,オコリザル,primeape,1,かくとう,24,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ダークタワー,進化,―,レベルアップ＋Lv.28以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0057（新規16bit ID）
58,ガーディ,growlithe,1,ほのお,25,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,510～513ばんどうろ,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0058（新規16bit ID）
59,ウインディ,arcanine,1,ほのお,25,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,510～513ばんどうろ,進化,―,道具使用＋ほのおのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0059（新規16bit ID）
60,ニョロモ,poliwag,1,みず,26,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,こおりのしま,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0060（新規16bit ID）
61,ニョロゾ,poliwhirl,1,みず,26,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,こおりのしま,進化,―,レベルアップ＋Lv.25以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0061（新規16bit ID）
62,ニョロボン,poliwrath,1,みず／かくとう,26,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,こおりのしま,進化,―,道具使用＋みずのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0062（新規16bit ID）
63,ケーシィ,abra,1,エスパー,27,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,スフィアいせき,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0063（新規16bit ID）
64,ユンゲラー,kadabra,1,エスパー,27,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,スフィアいせき,進化,―,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0064（新規16bit ID）
65,フーディン,alakazam,1,エスパー,27,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,スフィアいせき,進化,―,「つながりのヒモ」を使用。通信交換でも従来通り進化。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0065（新規16bit ID）
66,ワンリキー,machop,1,かくとう,28,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ちえのどうくつ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0066（新規16bit ID）
67,ゴーリキー,machoke,1,かくとう,28,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ちえのどうくつ,進化,―,レベルアップ＋Lv.28以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0067（新規16bit ID）
68,カイリキー,machamp,1,かくとう,28,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ちえのどうくつ,進化,―,「つながりのヒモ」を使用。通信交換でも従来通り進化。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0068（新規16bit ID）
69,マダツボミ,bellsprout,1,くさ／どく,29,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン東,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0069（新規16bit ID）
70,ウツドン,weepinbell,1,くさ／どく,29,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,レベルアップ＋Lv.21以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0070（新規16bit ID）
71,ウツボット,victreebel,1,くさ／どく,29,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン東,進化,―,道具使用＋リーフのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0071（新規16bit ID）
72,メノクラゲ,tentacool,1,みず／どく,30,通常生態,no,no,既存（トーホク図鑑212）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.212。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_212（実ROMから確定）
73,ドククラゲ,tentacruel,1,みず／どく,30,通常生態,no,no,既存（トーホク図鑑213）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.213。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_213（実ROMから確定）
74,イシツブテ,geodude,1,いわ／じめん,31,通常生態,no,no,既存（トーホク図鑑315）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.315。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_315（実ROMから確定）
75,ゴローン,graveler,1,いわ／じめん,31,通常生態,no,no,既存（トーホク図鑑316）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.316。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_316（実ROMから確定）
76,ゴローニャ,golem,1,いわ／じめん,31,通常生態,no,no,既存（トーホク図鑑317）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.317。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_317（実ROMから確定）
77,ポニータ,ponyta,1,ほのお,32,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,サファリゾーン西,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0077（新規16bit ID）
78,ギャロップ,rapidash,1,ほのお,32,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,サファリゾーン西,進化,―,レベルアップ＋Lv.40以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0078（新規16bit ID）
