evolution_chain_id,root_national_no,family,generation_first,types,category,vega_existing_members,new_members_to_import,integration_mode,earliest_gate,primary_area,primary_method,suggested_rate,condition_design,table_policy,implementation_priority
11,27,サンド → サンドパン,1,じめん,通常生態,サンド・サンドパン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
12,29,ニドラン♀ → ニドリーナ → ニドクイン,1,どく／じめん,通常生態,ニドラン♀・ニドリーナ・ニドクイン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
13,32,ニドラン♂ → ニドリーノ → ニドキング,1,どく／じめん,通常生態,ニドラン♂・ニドリーノ・ニドキング,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
14,173,ピィ → ピッピ → ピクシー,1,フェアリー,ベビィ含有,なし,ピッピ・ピクシー・ピィ,外来生態レイヤーへ追加,殿堂入り後,ときのようかん,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
15,37,ロコン → キュウコン,1,ほのお,通常生態,なし,ロコン・キュウコン,外来生態レイヤーへ追加,殿堂入り後,ひのしま,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
16,174,ププリン → プリン → プクリン,1,ノーマル／フェアリー,ベビィ含有,なし,プリン・プクリン・ププリン,外来生態レイヤーへ追加,殿堂入り後,ニューアイランド,大量発生,発生中20～40%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
17,41,ズバット → ゴルバット → クロバット,1,ひこう／どく,通常生態,なし,ズバット・ゴルバット・クロバット,外来生態レイヤーへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
18,43,ナゾノクサ → クサイハナ → ラフレシア → キレイハナ,1,どく／くさ,通常生態,なし,ナゾノクサ・クサイハナ・ラフレシア・キレイハナ,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン東,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
19,46,パラス → パラセクト,1,むし／くさ,通常生態,なし,パラス・パラセクト,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン東,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
20,48,コンパン → モルフォン,1,どく／むし,通常生態,なし,コンパン・モルフォン,外来生態レイヤーへ追加,殿堂入り後,ハクジのもり,ずつき,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
21,50,ディグダ → ダグトリオ,1,じめん,通常生態,ディグダ・ダグトリオ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
22,52,ニャース → ペルシアン → ニャイキング,1,ノーマル／はがね,通常生態,なし,ニャース・ペルシアン・ニャイキング,外来生態レイヤーへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
23,54,コダック → ゴルダック,1,みず,通常生態,なし,コダック・ゴルダック,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン北,水上,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
24,56,マンキー → オコリザル → コノヨザル,1,かくとう／ゴースト,通常生態,なし,マンキー・オコリザル・コノヨザル,外来生態レイヤーへ追加,殿堂入り後,ダークタワー,夜間オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
25,58,ガーディ → ウインディ,1,ほのお,通常生態,なし,ガーディ・ウインディ,外来生態レイヤーへ追加,殿堂入り後,510～513ばんどうろ,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
26,60,ニョロモ → ニョロゾ → ニョロボン → ニョロトノ,1,かくとう／みず,通常生態,なし,ニョロモ・ニョロゾ・ニョロボン・ニョロトノ,外来生態レイヤーへ追加,殿堂入り後,こおりのしま,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
27,63,ケーシィ → ユンゲラー → フーディン,1,エスパー,通常生態,なし,ケーシィ・ユンゲラー・フーディン,外来生態レイヤーへ追加,殿堂入り後,スフィアいせき,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
28,66,ワンリキー → ゴーリキー → カイリキー,1,かくとう,通常生態,なし,ワンリキー・ゴーリキー・カイリキー,外来生態レイヤーへ追加,殿堂入り後,ちえのどうくつ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
29,69,マダツボミ → ウツドン → ウツボット,1,どく／くさ,通常生態,なし,マダツボミ・ウツドン・ウツボット,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン東,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
30,72,メノクラゲ → ドククラゲ,1,どく／みず,通常生態,メノクラゲ・ドククラゲ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
31,74,イシツブテ → ゴローン → ゴローニャ,1,じめん／いわ,通常生態,イシツブテ・ゴローン・ゴローニャ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
32,77,ポニータ → ギャロップ,1,ほのお,通常生態,なし,ポニータ・ギャロップ,外来生態レイヤーへ追加,殿堂入り後,サファリゾーン西,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
33,79,ヤドン → ヤドラン → ヤドキング,1,みず／エスパー,通常生態,なし,ヤドン・ヤドラン・ヤドキング,外来生態レイヤーへ追加,殿堂入り後,507～509ばんどうろ・水道,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
34,81,コイル → レアコイル → ジバコイル,1,はがね／でんき,人工・無機物,コイル・レアコイル・ジバコイル,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
35,83,カモネギ → ネギガナイト,1,ノーマル／かくとう／ひこう,通常生態,カモネギ,ネギガナイト,既存系統の拡張,バッジ4個以降,既存個体・育て屋・進化アイテム,既存種から進化／タマゴ,―,ベガ内の既存種を入口にし、未収録の前進化・分岐・追加進化だけを追加。重複する野生個体は作らない。,既存種族IDを固定し、進化先だけ新IDへ接続,P1
36,84,ドードー → ドードリオ,1,ノーマル／ひこう,通常生態,なし,ドードー・ドードリオ,外来生態レイヤーへ追加,殿堂入り後,501ばんどうろ,時間帯オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
37,86,パウワウ → ジュゴン,1,みず／こおり,通常生態,なし,パウワウ・ジュゴン,外来生態レイヤーへ追加,殿堂入り後,こおりのしま,釣り,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
38,88,ベトベター → ベトベトン,1,どく,通常生態,なし,ベトベター・ベトベトン,外来生態レイヤーへ追加,殿堂入り後,502ばんどうろ,時間帯オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
39,90,シェルダー → パルシェン,1,みず／こおり,通常生態,シェルダー・パルシェン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
40,92,ゴース → ゴースト → ゲンガー,1,どく／ゴースト,通常生態,ゴース・ゴースト・ゲンガー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
41,95,イワーク → ハガネール,1,じめん／いわ／はがね,通常生態,なし,イワーク・ハガネール,外来生態レイヤーへ追加,殿堂入り後,チャンピオンロード,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
42,96,スリープ → スリーパー,1,エスパー,通常生態,なし,スリープ・スリーパー,外来生態レイヤーへ追加,殿堂入り後,ときのようかん,時間帯オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
43,98,クラブ → キングラー,1,みず,通常生態,クラブ・キングラー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
44,100,ビリリダマ → マルマイン,1,でんき,人工・無機物,ビリリダマ・マルマイン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
45,102,タマタマ → ナッシー,1,くさ／エスパー,通常生態,タマタマ・ナッシー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
46,104,カラカラ → ガラガラ,1,じめん,通常生態,なし,カラカラ・ガラガラ,外来生態レイヤーへ追加,殿堂入り後,ちえのどうくつ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
47,236,バルキー → サワムラー → エビワラー → カポエラー,1,かくとう,ベビィ含有,サワムラー・エビワラー・バルキー・カポエラー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
48,108,ベロリンガ → ベロベルト,1,ノーマル,通常生態,ベロリンガ・ベロベルト,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
49,109,ドガース → マタドガス,1,どく,通常生態,ドガース・マタドガス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
50,111,サイホーン → サイドン → ドサイドン,1,じめん／いわ,通常生態,サイホーン・サイドン・ドサイドン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
51,440,ピンプク → ラッキー → ハピナス,1,ノーマル,ベビィ含有,ラッキー・ハピナス・ピンプク,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
52,114,モンジャラ → モジャンボ,1,くさ,通常生態,なし,モンジャラ・モジャンボ,外来生態レイヤーへ追加,殿堂入り後,ハクジのもり,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
53,115,ガルーラ,1,ノーマル,通常生態,ガルーラ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
54,116,タッツー → シードラ → キングドラ,1,みず／ドラゴン,通常生態,なし,タッツー・シードラ・キングドラ,外来生態レイヤーへ追加,殿堂入り後,シオウ近海,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
55,118,トサキント → アズマオウ,1,みず,通常生態,なし,トサキント・アズマオウ,外来生態レイヤーへ追加,殿堂入り後,シオウ近海,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
56,120,ヒトデマン → スターミー,1,みず／エスパー,人工・無機物,ヒトデマン・スターミー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
57,439,マネネ → バリヤード → バリコオル,1,エスパー／こおり／フェアリー,ベビィ含有,なし,バリヤード・マネネ・バリコオル,外来生態レイヤーへ追加,殿堂入り後,ユキユキやま,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
58,123,ストライク → ハッサム → バサギリ,1,ひこう／いわ／むし／はがね,通常生態,ストライク・ハッサム,バサギリ,既存系統の拡張,バッジ4個以降,既存個体・育て屋・進化アイテム,既存種から進化／タマゴ,―,ベガ内の既存種を入口にし、未収録の前進化・分岐・追加進化だけを追加。重複する野生個体は作らない。,既存種族IDを固定し、進化先だけ新IDへ接続,P1
59,238,ムチュール → ルージュラ,1,エスパー／こおり,ベビィ含有,ルージュラ・ムチュール,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
60,239,エレキッド → エレブー → エレキブル,1,でんき,ベビィ含有,エレブー・エレキッド・エレキブル,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
61,240,ブビィ → ブーバー → ブーバーン,1,ほのお,ベビィ含有,ブーバー・ブビィ・ブーバーン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
62,127,カイロス,1,むし,通常生態,カイロス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
63,128,ケンタロス,1,ノーマル,通常生態,ケンタロス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
64,129,コイキング → ギャラドス,1,ひこう／みず,通常生態,なし,コイキング・ギャラドス,外来生態レイヤーへ追加,殿堂入り後,507～509ばんどうろ・水道,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
65,131,ラプラス,1,みず／こおり,通常生態,ラプラス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
66,132,メタモン,1,ノーマル,人工・無機物,メタモン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
67,133,イーブイ → シャワーズ → サンダース → ブースター → エーフィ → ブラッキー → リーフィア → グレイシア → ニンフィア,1,ノーマル／ほのお／みず／くさ／でんき／エスパー／こおり／あく／フェアリー,通常生態,なし,イーブイ・シャワーズ・サンダース・ブースター・エーフィ・ブラッキー・リーフィア・グレイシア・ニンフィア,外来生態レイヤーへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
68,137,ポリゴン → ポリゴン２ → ポリゴンＺ,1,ノーマル,人工・無機物,ポリゴン・ポリゴン２・ポリゴンＺ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
69,138,オムナイト → オムスター,1,いわ／みず,化石,なし,オムナイト・オムスター,化石復元追加,殿堂入り（一部化石はバッジ5個）,ヒスイシティ考古学室（NPC追加）,化石・復元部品を納品,―,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。,通常野生表には入れない,P2
70,140,カブト → カブトプス,1,いわ／みず,化石,なし,カブト・カブトプス,化石復元追加,殿堂入り（一部化石はバッジ5個）,ヒスイシティ考古学室（NPC追加）,化石・復元部品を納品,―,化石はちえのどうくつ／いわくだき／採掘依頼で反復入手。ガラル化石は2部品合成。,通常野生表には入れない,P2
71,142,プテラ,1,ひこう／いわ,化石,プテラ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
72,446,ゴンベ → カビゴン,1,ノーマル,ベビィ含有,なし,カビゴン・ゴンベ,外来生態レイヤーへ追加,殿堂入り後,504～506ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
73,144,フリーザー,1,ひこう／こおり,伝説,フリーザー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
74,145,サンダー,1,ひこう／でんき,伝説,サンダー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
75,146,ファイヤー,1,ひこう／ほのお,伝説,ファイヤー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
76,147,ミニリュウ → ハクリュー → カイリュー,1,ひこう／ドラゴン,600族,なし,ミニリュウ・ハクリュー・カイリュー,外来生態レイヤーへ追加,殿堂入り後,521～523ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
77,150,ミュウツー,1,エスパー,伝説,ミュウツー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
