vega_dex_no,vega_name,kind,national_species_id,integration_policy,symbolic_internal_id,actual_internal_id,national_dex_link
65,ゲンガー,公式ポケモン,94.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_065,ROM抽出で確定,94.0
66,タマタマ,公式ポケモン,102.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_066,ROM抽出で確定,102.0
67,ナッシー,公式ポケモン,103.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_067,ROM抽出で確定,103.0
68,テディ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_068,ROM抽出で確定,
69,ググズリー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_069,ROM抽出で確定,
70,ハンタマ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_070,ROM抽出で確定,
71,サイホーン,公式ポケモン,111.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_071,ROM抽出で確定,111.0
72,サイドン,公式ポケモン,112.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_072,ROM抽出で確定,112.0
73,ドサイドン,公式ポケモン,464.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_073,ROM抽出で確定,464.0
74,トロピウス,公式ポケモン,357.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_074,ROM抽出で確定,357.0
75,ポリゴン,公式ポケモン,137.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_075,ROM抽出で確定,137.0
76,ポリゴン２,公式ポケモン,233.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_076,ROM抽出で確定,233.0
77,ポリゴンＺ,公式ポケモン,474.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_077,ROM抽出で確定,474.0
78,タマザラシ,公式ポケモン,363.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_078,ROM抽出で確定,363.0
79,トドグラー,公式ポケモン,364.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_079,ROM抽出で確定,364.0
80,トドゼルガ,公式ポケモン,365.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_080,ROM抽出で確定,365.0
81,ダンゴロウ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_081,ROM抽出で確定,
82,マルマジロ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_082,ROM抽出で確定,
83,アロフィー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_083,ROM抽出で確定,
84,リーフィス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_084,ROM抽出で確定,
85,ユキカブリ,公式ポケモン,459.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_085,ROM抽出で確定,459.0
86,ユキノオー,公式ポケモン,460.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_086,ROM抽出で確定,460.0
87,ユカリア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_087,ROM抽出で確定,
88,ネクロシア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_088,ROM抽出で確定,
89,カプリン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_089,ROM抽出で確定,
90,ゴートン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_090,ROM抽出で確定,
91,バフォット,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_091,ROM抽出で確定,
92,ミルタンク,公式ポケモン,241.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_092,ROM抽出で確定,241.0
93,ツボツボ,公式ポケモン,213.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_093,ROM抽出で確定,213.0
94,バードン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_094,ROM抽出で確定,
95,ゴルドー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_095,ROM抽出で確定,
96,フィニクス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_096,ROM抽出で確定,
97,クロッチ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_097,ROM抽出で確定,
98,コクジャク,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_098,ROM抽出で確定,
99,シャミネ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_099,ROM抽出で確定,
100,コーシャン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_100,ROM抽出で確定,
101,プラズン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_101,ROM抽出で確定,
102,ボルトック,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_102,ROM抽出で確定,
103,カワラベ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_103,ROM抽出で確定,
104,テペトラー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_104,ROM抽出で確定,
105,ロップル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_105,ROM抽出で確定,
106,オタクン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_106,ROM抽出で確定,
107,ネラー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_107,ROM抽出で確定,
108,ニートン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_108,ROM抽出で確定,
109,ホーホー,公式ポケモン,163.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_109,ROM抽出で確定,163.0
110,ヨルノズク,公式ポケモン,164.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_110,ROM抽出で確定,164.0
111,ハクタクン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_111,ROM抽出で確定,
112,エレキッド,公式ポケモン,239.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_112,ROM抽出で確定,239.0
113,エレブー,公式ポケモン,125.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_113,ROM抽出で確定,125.0
114,エレキブル,公式ポケモン,466.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_114,ROM抽出で確定,466.0
115,ブビィ,公式ポケモン,240.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_115,ROM抽出で確定,240.0
116,ブーバー,公式ポケモン,126.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_116,ROM抽出で確定,126.0
117,ブーバーン,公式ポケモン,467.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_117,ROM抽出で確定,467.0
118,ガルーラ,公式ポケモン,115.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_118,ROM抽出で確定,115.0
119,リリーラ,公式ポケモン,345.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_119,ROM抽出で確定,345.0
120,ユレイドル,公式ポケモン,346.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_120,ROM抽出で確定,346.0
121,スミロドン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_121,ROM抽出で確定,
122,マカドゥス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_122,ROM抽出で確定,
123,プテラ,公式ポケモン,142.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_123,ROM抽出で確定,142.0
124,ヨーギラス,公式ポケモン,246.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_124,ROM抽出で確定,246.0
125,サナギラス,公式ポケモン,247.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_125,ROM抽出で確定,247.0
126,バンギラス,公式ポケモン,248.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_126,ROM抽出で確定,248.0
127,ダンバル,公式ポケモン,374.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_127,ROM抽出で確定,374.0
128,メタング,公式ポケモン,375.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_128,ROM抽出で確定,375.0
129,メタグロス,公式ポケモン,376.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_129,ROM抽出で確定,376.0
130,フカマル,公式ポケモン,443.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_130,ROM抽出で確定,443.0
131,ガバイト,公式ポケモン,444.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_131,ROM抽出で確定,444.0
132,ガブリアス,公式ポケモン,445.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_132,ROM抽出で確定,445.0
133,タツゴン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_133,ROM抽出で確定,
134,ラグーン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_134,ROM抽出で確定,
135,ドラドーン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_135,ROM抽出で確定,
136,フリーザー,公式ポケモン,144.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_136,ROM抽出で確定,144.0
137,サンダー,公式ポケモン,145.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_137,ROM抽出で確定,145.0
138,ファイヤー,公式ポケモン,146.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_138,ROM抽出で確定,146.0
139,ライコウ,公式ポケモン,243.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_139,ROM抽出で確定,243.0
140,エンテイ,公式ポケモン,244.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_140,ROM抽出で確定,244.0
141,スイクン,公式ポケモン,245.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_141,ROM抽出で確定,245.0
142,ライラプス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_142,ROM抽出で確定,
143,ガニメデ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_143,ROM抽出で確定,
144,ネメア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_144,ROM抽出で確定,
145,ディアルガ,公式ポケモン,483.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_145,ROM抽出で確定,483.0
146,パルキア,公式ポケモン,484.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_146,ROM抽出で確定,484.0
147,ダークライ,公式ポケモン,491.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_147,ROM抽出で確定,491.0
148,ルギア,公式ポケモン,249.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_148,ROM抽出で確定,249.0
149,ホウオウ,公式ポケモン,250.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_149,ROM抽出で確定,250.0
150,ミュウツー,公式ポケモン,150.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_150,ROM抽出で確定,150.0
151,ミュウ,公式ポケモン,151.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_151,ROM抽出で確定,151.0
152,フシギダネ,公式ポケモン,1.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_152,ROM抽出で確定,1.0
153,フシギソウ,公式ポケモン,2.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_153,ROM抽出で確定,2.0
154,フシギバナ,公式ポケモン,3.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_154,ROM抽出で確定,3.0
155,ヒトカゲ,公式ポケモン,4.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_155,ROM抽出で確定,4.0
156,リザード,公式ポケモン,5.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_156,ROM抽出で確定,5.0
157,リザードン,公式ポケモン,6.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_157,ROM抽出で確定,6.0
158,ゼニガメ,公式ポケモン,7.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_158,ROM抽出で確定,7.0
159,カメール,公式ポケモン,8.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_159,ROM抽出で確定,8.0
160,カメックス,公式ポケモン,9.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_160,ROM抽出で確定,9.0
161,バジール,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_161,ROM抽出で確定,
162,バジルス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_162,ROM抽出で確定,
163,バジリール,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_163,ROM抽出で確定,
164,コマシシ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_164,ROM抽出で確定,
165,コマレオ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_165,ROM抽出で確定,
166,コマレオン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_166,ROM抽出で確定,
167,トッコウオ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_167,ROM抽出で確定,
168,ボウソウオ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_168,ROM抽出で確定,
169,バクソウオ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_169,ROM抽出で確定,
170,チェキラ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_170,ROM抽出で確定,
171,チェキッド,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_171,ROM抽出で確定,
172,チェキラス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_172,ROM抽出で確定,
173,リバード,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_173,ROM抽出で確定,
174,ララミンゴ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_174,ROM抽出で確定,
175,パチリス,公式ポケモン,417.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_175,ROM抽出で確定,417.0
176,パチリック,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_176,ROM抽出で確定,
177,パンプリー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_177,ROM抽出で確定,
178,パンプッチ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_178,ROM抽出で確定,
179,ルナビット,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_179,ROM抽出で確定,
180,ルナバイン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_180,ROM抽出で確定,
181,ウソギー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_181,ROM抽出で確定,
182,ウソドロ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_182,ROM抽出で確定,
183,メタモン,公式ポケモン,132.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_183,ROM抽出で確定,132.0
184,ムチュール,公式ポケモン,238.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_184,ROM抽出で確定,238.0
185,ルージュラ,公式ポケモン,124.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_185,ROM抽出で確定,124.0
186,レジュリア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_186,ROM抽出で確定,
187,タダヌキ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_187,ROM抽出で確定,
188,オオムジナ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_188,ROM抽出で確定,
189,ポコキング,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_189,ROM抽出で確定,
190,アスイーツ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_190,ROM抽出で確定,
191,コユキムシ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_191,ROM抽出で確定,
192,ユキタテハ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_192,ROM抽出で確定,
193,ペラップ,公式ポケモン,441.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_193,ROM抽出で確定,441.0
194,オオペラー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_194,ROM抽出で確定,
195,オリバー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_195,ROM抽出で確定,
196,ランペルン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_196,ROM抽出で確定,
197,キーボン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_197,ROM抽出で確定,
198,レディバ,公式ポケモン,165.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_198,ROM抽出で確定,165.0
199,レディアン,公式ポケモン,166.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_199,ROM抽出で確定,166.0
200,レディバル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_200,ROM抽出で確定,
201,アンノーン,公式ポケモン,201.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_201,ROM抽出で確定,201.0
202,ケンタル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_202,ROM抽出で確定,
203,ケンタロス,公式ポケモン,128.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_203,ROM抽出で確定,128.0
204,ルナトーン,公式ポケモン,337.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_204,ROM抽出で確定,337.0
205,ソルロック,公式ポケモン,338.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_205,ROM抽出で確定,338.0
206,アスリスク,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_206,ROM抽出で確定,
207,プラネム,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_207,ROM抽出で確定,
